Time,"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","epsilon","k","kMean","kPrime2Mean","nut","p","pMean","pPrime2Mean","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.40000e-01,7.12070e-03,1.22491e+01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.20440e+03,2.31024e+00,2.29892e+00,3.72137e-03,1.03660e-05,-2.14798e+01,-2.00289e+01,8.80135e+00,2.78655e+01,1,0.00000e+00,-1.20000e-01,1.00000e-01,0.00000e+00
9.40000e-01,8.45437e-03,1.27506e+01,0.00000e+00,2.02380e-03,4.87775e+00,0.00000e+00,9.33180e-06,2.39604e-02,0.00000e+00,-2.30865e-04,0.00000e+00,0.00000e+00,3.63198e+03,2.11683e+00,2.10347e+00,3.11683e-03,5.13193e-05,-2.14792e+01,-2.00284e+01,8.80202e+00,1.78755e+01,1,2.39998e-04,-1.19760e-01,1.00000e-01,0.00000e+00
9.40000e-01,9.78807e-03,1.32521e+01,0.00000e+00,4.04766e-03,9.75565e+00,0.00000e+00,1.86639e-05,4.79215e-02,0.00000e+00,-4.61736e-04,0.00000e+00,0.00000e+00,3.05954e+03,1.92341e+00,1.90803e+00,2.51227e-03,9.22737e-05,-2.14787e+01,-2.00279e+01,8.80270e+00,7.88516e+00,1,4.80004e-04,-1.19520e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.11527e-02,1.37890e+01,0.00000e+00,5.67223e-03,1.37448e+01,0.00000e+00,3.10215e-05,6.70153e-02,0.00000e+00,-6.90316e-04,0.00000e+00,0.00000e+00,2.47643e+03,1.71507e+00,1.69831e+00,1.91335e-03,1.26131e-04,-2.14786e+01,-2.00278e+01,8.80388e+00,0.00000e+00,1,7.20002e-04,-1.19280e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.26332e-02,1.44582e+01,0.00000e+00,5.80121e-03,1.44052e+01,0.00000e+00,5.47140e-05,6.78782e-02,0.00000e+00,-9.10337e-04,0.00000e+00,0.00000e+00,1.85324e+03,1.45085e+00,1.43510e+00,1.33547e-03,1.33407e-04,-2.14807e+01,-2.00292e+01,8.80697e+00,0.00000e+00,1,9.60000e-04,-1.19040e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.41138e-02,1.51274e+01,0.00000e+00,5.93019e-03,1.50656e+01,0.00000e+00,7.84065e-05,6.87410e-02,0.00000e+00,-1.13036e-03,0.00000e+00,0.00000e+00,1.23006e+03,1.18662e+00,1.17190e+00,7.57594e-04,1.40682e-04,-2.14827e+01,-2.00307e+01,8.81006e+00,0.00000e+00,1,1.20000e-03,-1.18800e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.55708e-02,1.57931e+01,0.00000e+00,6.03692e-03,1.57225e+01,0.00000e+00,1.02249e-04,6.95776e-02,0.00000e+00,-1.35017e-03,0.00000e+00,0.00000e+00,6.11387e+02,9.23956e-01,9.10281e-01,1.84948e-04,1.48276e-04,-2.14848e+01,-2.00321e+01,8.81318e+00,0.00000e+00,1,1.44000e-03,-1.18560e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.44870e-02,1.60676e+01,0.00000e+00,3.74363e-03,1.59918e+01,0.00000e+00,1.42194e-04,6.75847e-02,0.00000e+00,-1.54642e-03,0.00000e+00,0.00000e+00,4.81905e+02,8.30002e-01,8.19942e-01,1.78379e-04,1.90165e-04,-2.14923e+01,-2.00382e+01,8.81962e+00,0.00000e+00,1,1.68000e-03,-1.18320e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.34031e-02,1.63421e+01,0.00000e+00,1.45034e-03,1.62611e+01,0.00000e+00,1.82139e-04,6.55917e-02,0.00000e+00,-1.74267e-03,0.00000e+00,0.00000e+00,3.52423e+02,7.36048e-01,7.29603e-01,1.71810e-04,2.32053e-04,-2.14999e+01,-2.00443e+01,8.82605e+00,0.00000e+00,1,1.92000e-03,-1.18080e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.23193e-02,1.66167e+01,0.00000e+00,-8.42951e-04,1.65305e+01,0.00000e+00,2.22084e-04,6.35988e-02,0.00000e+00,-1.93892e-03,0.00000e+00,0.00000e+00,2.22940e+02,6.42094e-01,6.39264e-01,1.65241e-04,2.73942e-04,-2.15074e+01,-2.00504e+01,8.83249e+00,0.00000e+00,1,2.16000e-03,-1.17840e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.06245e-02,1.68280e+01,0.00000e+00,-3.64478e-03,1.67375e+01,0.00000e+00,2.65759e-04,6.18065e-02,0.00000e+00,-2.12451e-03,0.00000e+00,0.00000e+00,1.29367e+02,5.79563e-01,5.79548e-01,1.92851e-04,3.45488e-04,-2.15169e+01,-2.00584e+01,8.84030e+00,0.00000e+00,1,2.40000e-03,-1.17600e-01,1.00000e-01,0.00000e+00
9.40000e-01,7.71475e-03,1.69135e+01,0.00000e+00,-7.45771e-03,1.68208e+01,0.00000e+00,3.16850e-04,6.04134e-02,0.00000e+00,-2.28889e-03,0.00000e+00,0.00000e+00,1.07218e+02,5.79529e-01,5.80737e-01,2.88432e-04,4.76010e-04,-2.15302e+01,-2.00701e+01,8.85084e+00,0.00000e+00,1,2.64000e-03,-1.17360e-01,1.00000e-01,0.00000e+00
9.40000e-01,4.80501e-03,1.69990e+01,0.00000e+00,-1.12706e-02,1.69040e+01,0.00000e+00,3.67940e-04,5.90203e-02,0.00000e+00,-2.45327e-03,0.00000e+00,0.00000e+00,8.50685e+01,5.79495e-01,5.81926e-01,3.84014e-04,6.06532e-04,-2.15435e+01,-2.00819e+01,8.86138e+00,0.00000e+00,1,2.88000e-03,-1.17120e-01,1.00000e-01,0.00000e+00
9.40000e-01,1.89526e-03,1.70845e+01,0.00000e+00,-1.50836e-02,1.69872e+01,0.00000e+00,4.19031e-04,5.76272e-02,0.00000e+00,-2.61766e-03,0.00000e+00,0.00000e+00,6.29190e+01,5.79461e-01,5.83115e-01,4.79595e-04,7.37054e-04,-2.15568e+01,-2.00937e+01,8.87192e+00,0.00000e+00,1,3.12000e-03,-1.16880e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.05553e-03,1.71635e+01,0.00000e+00,-1.89249e-02,1.70641e+01,0.00000e+00,4.71600e-04,5.63515e-02,0.00000e+00,-2.78288e-03,0.00000e+00,0.00000e+00,4.28564e+01,5.81690e-01,5.86440e-01,5.76607e-04,8.79235e-04,-2.15709e+01,-2.01062e+01,8.88298e+00,0.00000e+00,1,3.36000e-03,-1.16640e-01,1.00000e-01,0.00000e+00
9.40000e-01,-4.31548e-03,1.71934e+01,0.00000e+00,-2.29799e-02,1.70931e+01,0.00000e+00,5.35317e-04,5.59629e-02,0.00000e+00,-2.95444e-03,0.00000e+00,0.00000e+00,3.85577e+01,6.01006e-01,6.05898e-01,6.84396e-04,1.10943e-03,-2.15905e+01,-2.01243e+01,8.89788e+00,0.00000e+00,1,3.60000e-03,-1.16400e-01,1.00000e-01,0.00000e+00
9.40000e-01,-7.57542e-03,1.72233e+01,0.00000e+00,-2.70349e-02,1.71221e+01,0.00000e+00,5.99035e-04,5.55743e-02,0.00000e+00,-3.12600e-03,0.00000e+00,0.00000e+00,3.42589e+01,6.20323e-01,6.25356e-01,7.92185e-04,1.33962e-03,-2.16101e+01,-2.01423e+01,8.91279e+00,0.00000e+00,1,3.84000e-03,-1.16160e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.08354e-02,1.72532e+01,0.00000e+00,-3.10899e-02,1.71511e+01,0.00000e+00,6.62752e-04,5.51857e-02,0.00000e+00,-3.29756e-03,0.00000e+00,0.00000e+00,2.99602e+01,6.39639e-01,6.44814e-01,8.99974e-04,1.56981e-03,-2.16297e+01,-2.01603e+01,8.92769e+00,0.00000e+00,1,4.08000e-03,-1.15920e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.40954e-02,1.72831e+01,0.00000e+00,-3.51450e-02,1.71801e+01,0.00000e+00,7.26472e-04,5.47971e-02,0.00000e+00,-3.46913e-03,0.00000e+00,0.00000e+00,2.56613e+01,6.58957e-01,6.64273e-01,1.00777e-03,1.80001e-03,-2.16493e+01,-2.01784e+01,8.94260e+00,0.00000e+00,1,4.32000e-03,-1.15680e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.73596e-02,1.73088e+01,0.00000e+00,-3.91936e-02,1.72051e+01,0.00000e+00,7.94695e-04,5.44887e-02,0.00000e+00,-3.64247e-03,0.00000e+00,0.00000e+00,2.22306e+01,6.78718e-01,6.84103e-01,1.11282e-03,2.04743e-03,-2.16704e+01,-2.01979e+01,8.95844e+00,0.00000e+00,1,4.56000e-03,-1.15440e-01,1.00000e-01,0.00000e+00
