# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000119048   	((2.068998e-06 1.304590e+00 7.769963e-19) (-1.933041e-08 3.135862e-05 -3.833068e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.413038e-20 1.772871e-19 -2.166118e-08) (-5.154365e-22 -3.162777e-21 9.099702e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000260204   	((-2.840646e-06 7.199424e-02 -6.443596e-20) (4.429738e-08 4.484057e-05 4.192986e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.183005e-21 3.234204e-22 1.808252e-07) (6.728222e-24 -3.601721e-24 -1.105968e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000428132   	((-6.888778e-07 6.580750e-02 -6.388621e-20) (7.413695e-08 5.431152e-05 5.107763e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.190947e-21 2.914739e-22 4.857026e-08) (8.270394e-24 -2.526297e-24 -1.833858e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000627546   	((-1.463056e-07 6.078864e-02 -6.230046e-20) (6.563190e-08 6.070112e-05 6.188057e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.161634e-21 2.716099e-22 4.512775e-09) (1.027069e-23 -2.005086e-24 -1.493764e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000861857   	((-1.582335e-07 5.674683e-02 -6.109036e-20) (4.582558e-08 6.540956e-05 7.124024e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.138066e-21 2.559473e-22 2.653335e-08) (1.175524e-23 -1.408861e-24 -9.873727e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00113063    	((2.886383e-07 5.348198e-02 -6.013789e-20) (3.175603e-08 6.922940e-05 7.345754e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.118404e-21 2.424004e-22 -8.559175e-09) (1.114498e-23 -1.366196e-24 -7.073381e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00143647    	((7.422329e-07 5.084267e-02 -5.950850e-20) (1.819497e-08 7.261942e-05 8.253707e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.105550e-21 2.317926e-22 -4.705142e-08) (1.242118e-23 -2.460238e-24 -3.890094e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00177901    	((8.649066e-07 4.860137e-02 -5.885007e-20) (8.420441e-09 7.578212e-05 9.146386e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.091655e-21 2.230194e-22 -6.044206e-08) (1.372041e-23 -2.918532e-24 -1.687449e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00215269    	((8.590279e-07 4.667003e-02 -5.807167e-20) (3.609328e-09 7.864561e-05 9.996490e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.075064e-21 2.158439e-22 -6.960184e-08) (1.511311e-23 -3.536777e-24 -3.581180e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00256571    	((6.927828e-07 4.488758e-02 -5.702597e-20) (1.151649e-09 8.113879e-05 1.113947e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.052610e-21 2.091056e-22 -5.733209e-08) (1.725745e-23 -3.772903e-24 4.621133e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00303035    	((5.306708e-07 4.318543e-02 -5.570877e-20) (4.667577e-09 8.320016e-05 1.233603e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.024367e-21 2.024424e-22 -4.784546e-08) (1.951698e-23 -3.753877e-24 4.084003e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00352818    	((4.928050e-07 4.165683e-02 -5.427244e-20) (1.113564e-09 8.483557e-05 1.199846e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.937208e-22 1.966245e-22 -4.903868e-08) (1.844221e-23 -3.569415e-24 1.171589e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0040675     	((4.154912e-07 4.025783e-02 -5.276744e-20) (-3.554729e-09 8.603045e-05 1.185796e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.618732e-22 1.915064e-22 -4.853338e-08) (1.806068e-23 -3.248298e-24 1.935614e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
