# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 -3.068994e-02 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 -5.421011e-20) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000119048   	((5.943496e-06 1.182465e+00 1.305829e-18) (-4.394263e-07 -2.187171e-03 -5.173018e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.346185e-20 2.079230e-19 -2.420119e-07) (-7.630623e-22 -3.974182e-21 2.065300e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000260204   	((-3.011994e-06 6.732239e-02 -8.655414e-20) (-6.201618e-08 -4.448426e-04 6.005475e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.752125e-21 3.591366e-22 1.666258e-07) (1.130751e-23 -1.640276e-24 7.316492e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000428132   	((-5.502290e-08 5.963949e-02 -7.654009e-20) (-6.396774e-08 -2.434606e-04 5.946171e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.516776e-21 2.787574e-22 1.683624e-08) (1.026357e-23 -8.479473e-25 9.675460e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000627546   	((3.774655e-07 5.449457e-02 -6.937152e-20) (-7.995885e-09 -1.577057e-04 6.153780e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.342042e-21 2.407755e-22 -1.481654e-08) (9.911539e-24 -1.114094e-24 5.172896e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000861857   	((3.624753e-07 5.056980e-02 -6.389813e-20) (-1.675403e-08 -1.422847e-04 6.796446e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.209866e-21 2.225443e-22 -1.626892e-08) (1.065019e-23 -1.705884e-24 3.007993e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00113877    	((9.949475e-07 4.728690e-02 -5.938043e-20) (-7.622111e-08 -1.359729e-04 7.650217e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.102724e-21 2.132927e-22 -7.383378e-08) (1.191176e-23 -2.164412e-24 2.994426e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00145524    	((8.964805e-07 4.461797e-02 -5.580546e-20) (-7.589140e-08 -1.355894e-04 8.490604e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.020296e-21 2.093196e-22 -7.175424e-08) (1.330989e-23 -2.464337e-24 1.143976e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00181127    	((1.045528e-06 4.235342e-02 -5.276369e-20) (-7.252652e-08 -1.342649e-04 9.241236e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.522809e-22 2.077243e-22 -8.202600e-08) (1.459697e-23 -2.822491e-24 6.260220e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00220121    	((8.425669e-07 4.051477e-02 -5.028516e-20) (-5.257561e-08 -1.362179e-04 9.363402e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.986812e-22 2.076039e-22 -6.904357e-08) (1.449667e-23 -3.496598e-24 -9.047073e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00263448    	((6.885374e-07 3.893124e-02 -4.810433e-20) (-5.181860e-08 -1.388878e-04 9.465715e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.528204e-22 2.078033e-22 -5.406193e-08) (1.434655e-23 -3.381625e-24 4.385152e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00309482    	((4.134097e-07 3.759972e-02 -4.620357e-20) (-5.552474e-08 -1.408195e-04 9.391658e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.135617e-22 2.073449e-22 -3.817911e-08) (1.408365e-23 -4.414215e-24 9.586497e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00358805    	((4.675019e-07 3.645163e-02 -4.451336e-20) (-5.352134e-08 -1.424978e-04 8.962941e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.790414e-22 2.065820e-22 -3.774981e-08) (1.297081e-23 -4.720335e-24 1.606979e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00408128    	((3.970243e-07 3.550920e-02 -4.309429e-20) (-4.536581e-08 -1.433593e-04 8.606347e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.502614e-22 2.057484e-22 -2.965834e-08) (1.236370e-23 -5.047333e-24 2.121887e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00457451    	((4.319734e-07 3.471980e-02 -4.187102e-20) (-5.155751e-08 -1.439780e-04 8.371046e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.255036e-22 2.048024e-22 -2.473648e-08) (1.203363e-23 -5.322845e-24 2.540187e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00506773    	((1.254746e-07 3.405123e-02 -4.082655e-20) (1.462970e-08 -1.443891e-04 7.808384e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.044267e-22 2.037982e-22 -2.145510e-08) (1.088646e-23 -6.532527e-24 1.526072e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00556096    	((8.622072e-07 3.347674e-02 -3.990297e-20) (-1.782753e-07 -1.446219e-04 7.551208e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.857239e-22 2.025764e-22 -2.853049e-08) (1.048519e-23 -6.834348e-24 7.172892e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00605419    	((4.643673e-07 3.298104e-02 -3.909648e-20) (-9.560764e-08 -1.449750e-04 7.322113e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.693704e-22 2.015173e-22 -2.197715e-08) (1.021723e-23 -8.489207e-24 4.554878e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00654741    	((6.243582e-07 3.255308e-02 -3.839681e-20) (-1.301266e-07 -1.451300e-04 7.319839e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.552107e-22 2.005273e-22 -2.185654e-08) (1.022490e-23 -6.954469e-24 5.481533e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00704064    	((3.671560e-07 3.218250e-02 -3.778860e-20) (-8.528062e-08 -1.454848e-04 7.184254e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.429149e-22 1.996754e-22 -1.609105e-08) (1.003320e-23 -6.214785e-24 3.809117e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00753387    	((3.779803e-07 3.186084e-02 -3.726269e-20) (-8.686556e-08 -1.456391e-04 6.519206e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.323193e-22 1.988915e-22 -1.477616e-08) (8.574066e-24 -7.362181e-24 4.094876e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00802709    	((3.576662e-07 3.158051e-02 -3.680970e-20) (-8.491793e-08 -1.457112e-04 7.060277e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.232201e-22 1.983642e-22 -1.433549e-08) (9.968122e-24 -7.031063e-24 4.137926e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00852032    	((3.495508e-07 3.133489e-02 -3.640513e-20) (-8.444089e-08 -1.457168e-04 6.051277e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.151091e-22 1.979111e-22 -1.368259e-08) (7.780339e-24 -6.837982e-24 4.147026e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00901355    	((2.636924e-07 3.111918e-02 -3.605975e-20) (-8.790952e-08 -1.456826e-04 6.283807e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.082043e-22 1.975085e-22 -1.235563e-08) (8.287147e-24 -7.140435e-24 4.182103e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00950677    	((2.663826e-07 3.092917e-02 -3.575537e-20) (-7.210376e-08 -1.456492e-04 7.180765e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.021351e-22 1.972376e-22 -1.407910e-08) (1.013948e-23 -6.811340e-24 3.880751e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((3.641980e-07 3.076200e-02 -3.548949e-20) (-7.448668e-08 -1.456044e-04 6.869517e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.968438e-22 1.968679e-22 -1.582507e-08) (9.317585e-24 -6.420160e-24 4.024861e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0105        	((3.689104e-07 3.061190e-02 -3.525038e-20) (-7.718829e-08 -1.455997e-04 6.646012e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.920935e-22 1.966152e-22 -1.424431e-08) (9.045451e-24 -4.832231e-24 4.169444e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.011         	((3.488953e-07 3.047788e-02 -3.503933e-20) (-7.953547e-08 -1.455394e-04 6.753215e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.879204e-22 1.963976e-22 -1.463926e-08) (9.268961e-24 -6.401414e-24 4.219694e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0115        	((3.625319e-07 3.035924e-02 -3.485348e-20) (-8.050131e-08 -1.454821e-04 6.605260e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.842542e-22 1.961990e-22 -1.405249e-08) (8.996883e-24 -6.191589e-24 4.270614e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.012         	((3.346875e-07 3.025320e-02 -3.468895e-20) (-8.177254e-08 -1.454337e-04 6.588147e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.810101e-22 1.960422e-22 -1.406240e-08) (8.989773e-24 -6.251224e-24 4.281561e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0125        	((3.426793e-07 3.015904e-02 -3.454111e-20) (-8.307243e-08 -1.453925e-04 6.604965e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.781056e-22 1.959138e-22 -1.422590e-08) (9.021867e-24 -5.214768e-24 4.298936e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.013         	((3.341758e-07 3.007381e-02 -3.440980e-20) (-8.111492e-08 -1.453466e-04 6.745197e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.755280e-22 1.958141e-22 -1.380957e-08) (9.317253e-24 -6.447318e-24 4.277252e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0135        	((3.240876e-07 2.999822e-02 -3.429355e-20) (-8.369078e-08 -1.453217e-04 6.686076e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.732478e-22 1.957656e-22 -1.365935e-08) (9.197651e-24 -6.189527e-24 4.258533e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.014         	((2.979276e-07 2.993028e-02 -3.418924e-20) (-8.877879e-08 -1.453070e-04 6.550888e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.712037e-22 1.956615e-22 -1.321568e-08) (8.799377e-24 -7.341083e-24 4.259273e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0145        	((3.185797e-07 2.986889e-02 -3.409564e-20) (-8.075483e-08 -1.452884e-04 7.480056e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.693723e-22 1.956873e-22 -1.164923e-08) (1.068359e-23 -6.614534e-24 4.180726e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.772502e-07 2.981413e-02 -3.401337e-20) (-8.402823e-08 -1.452847e-04 6.742131e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.677573e-22 1.957173e-22 -1.213543e-08) (9.314655e-24 -6.832983e-24 4.176591e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0155        	((3.257884e-07 2.976519e-02 -3.393772e-20) (-8.569872e-08 -1.452812e-04 7.340271e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.662763e-22 1.957301e-22 -1.179651e-08) (1.050606e-23 -6.160766e-24 4.250612e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.016         	((2.603938e-07 2.972157e-02 -3.387525e-20) (-8.511987e-08 -1.452782e-04 5.645262e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.650566e-22 1.957482e-22 -1.079515e-08) (7.115059e-24 -6.487817e-24 4.191728e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0165        	((2.631050e-07 2.968225e-02 -3.381384e-20) (-8.273480e-08 -1.452714e-04 7.396618e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.638478e-22 1.958220e-22 -1.105579e-08) (1.053526e-23 -6.575327e-24 4.165340e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.017         	((2.775426e-07 2.964760e-02 -3.376283e-20) (-8.975080e-08 -1.452722e-04 6.331693e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.628454e-22 1.958631e-22 -9.996047e-09) (8.501446e-24 -7.367190e-24 4.309006e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0175        	((2.371681e-07 2.961675e-02 -3.371495e-20) (-8.344721e-08 -1.452689e-04 6.806578e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.618969e-22 1.959660e-22 -1.023498e-08) (9.494868e-24 -6.252884e-24 4.177405e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.018         	((2.457328e-07 2.958985e-02 -3.367441e-20) (-9.213889e-08 -1.452669e-04 6.640602e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.610963e-22 1.960548e-22 -9.491351e-09) (8.950660e-24 -7.205701e-24 4.326147e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0185        	((2.028124e-07 2.956631e-02 -3.363643e-20) (-8.768877e-08 -1.452682e-04 7.315065e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.603311e-22 1.961415e-22 -9.475535e-09) (1.048928e-23 -7.197784e-24 4.219229e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.019         	((2.434578e-07 2.954574e-02 -3.360912e-20) (-9.584499e-08 -1.452676e-04 5.698009e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.597851e-22 1.962439e-22 -8.717941e-09) (7.318995e-24 -7.183568e-24 4.402822e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0195        	((1.793960e-07 2.952858e-02 -3.357837e-20) (-8.952751e-08 -1.452649e-04 7.698594e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.591601e-22 1.963814e-22 -8.628164e-09) (1.118091e-23 -7.227540e-24 4.264827e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((2.305260e-07 2.951423e-02 -3.356159e-20) (-9.460420e-08 -1.452619e-04 6.295282e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.588125e-22 1.965181e-22 -7.947930e-09) (8.452596e-24 -7.412297e-24 4.395412e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0205        	((1.810411e-07 2.950204e-02 -3.353811e-20) (-8.762553e-08 -1.452583e-04 7.161312e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.583255e-22 1.966464e-22 -8.134992e-09) (1.013288e-23 -7.341461e-24 4.241784e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.021         	((2.281618e-07 2.949273e-02 -3.352738e-20) (-9.724707e-08 -1.452549e-04 6.022610e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.580962e-22 1.967916e-22 -7.293448e-09) (7.977019e-24 -7.062306e-24 4.453960e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0215        	((1.719274e-07 2.948544e-02 -3.351190e-20) (-9.365215e-08 -1.452461e-04 7.451800e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.577641e-22 1.969493e-22 -7.776552e-09) (1.080788e-23 -7.628247e-24 4.338719e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.022         	((2.233793e-07 2.948065e-02 -3.350688e-20) (-9.333103e-08 -1.452401e-04 6.276840e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.576439e-22 1.971058e-22 -6.284369e-09) (8.398423e-24 -7.198807e-24 4.409058e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0225        	((1.639164e-07 2.947750e-02 -3.349768e-20) (-8.912591e-08 -1.452358e-04 6.982957e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.574327e-22 1.972541e-22 -6.030598e-09) (9.824266e-24 -7.417413e-24 4.297851e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.023         	((1.809498e-07 2.947637e-02 -3.349641e-20) (-9.488318e-08 -1.452256e-04 6.250141e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.573849e-22 1.974411e-22 -6.036088e-09) (8.368036e-24 -6.911033e-24 4.385690e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0235        	((1.992771e-07 2.947672e-02 -3.349550e-20) (-8.882268e-08 -1.452114e-04 6.152349e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.573498e-22 1.976012e-22 -5.710769e-09) (8.176442e-24 -6.684465e-24 4.333772e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.024         	((2.082734e-07 2.947851e-02 -3.349533e-20) (-9.471509e-08 -1.452046e-04 6.428299e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.573256e-22 1.978030e-22 -5.095445e-09) (8.743746e-24 -6.907020e-24 4.451829e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0245        	((1.461607e-07 2.948150e-02 -3.350259e-20) (-9.853429e-08 -1.451919e-04 6.817078e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.574679e-22 1.979627e-22 -3.707492e-09) (9.559768e-24 -7.948560e-24 4.469522e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.908632e-07 2.948570e-02 -3.350700e-20) (-9.050477e-08 -1.451823e-04 6.342939e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.575383e-22 1.981130e-22 -4.600075e-09) (8.562486e-24 -7.095770e-24 4.395131e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0255        	((1.993391e-07 2.949064e-02 -3.351447e-20) (-9.565741e-08 -1.451745e-04 7.023591e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.576786e-22 1.982743e-22 -3.941377e-09) (9.981529e-24 -6.794092e-24 4.487800e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.026         	((1.923877e-07 2.949668e-02 -3.352490e-20) (-9.868070e-08 -1.451665e-04 6.799428e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.578834e-22 1.984419e-22 -3.251966e-09) (9.633992e-24 -7.855970e-24 4.539491e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0265        	((1.708013e-07 2.950298e-02 -3.353503e-20) (-9.815630e-08 -1.451431e-04 6.547347e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.580941e-22 1.985619e-22 -3.937623e-09) (9.069965e-24 -7.198041e-24 4.500755e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.027         	((1.882038e-07 2.950975e-02 -3.354432e-20) (-9.992766e-08 -1.451311e-04 6.340147e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.582917e-22 1.987198e-22 -3.962313e-09) (8.578766e-24 -7.390884e-24 4.528587e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0275        	((1.701610e-07 2.951743e-02 -3.355365e-20) (-9.563342e-08 -1.451063e-04 6.638222e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.584964e-22 1.988760e-22 -4.231603e-09) (8.924373e-24 -6.291907e-24 4.429056e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
