# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
0.000119048   	7.615321e+04
0.000260204   	3.048149e+02
0.000428132   	1.950255e+02
0.000627546   	1.506450e+02
0.000861857   	1.272940e+02
0.00113877    	1.126151e+02
0.00145524    	1.027790e+02
0.00181127    	9.557231e+01
0.00220121    	9.030374e+01
0.00263448    	8.617190e+01
0.00309482    	8.298035e+01
0.00358805    	8.041887e+01
0.00408128    	7.842835e+01
0.00457451    	7.683844e+01
0.00506773    	7.553588e+01
0.00556096    	7.444760e+01
0.00605419    	7.353270e+01
0.00654741    	7.275472e+01
0.00704064    	7.208896e+01
0.00753387    	7.152026e+01
0.00802709    	7.103592e+01
0.00852032    	7.062306e+01
0.00901355    	7.026140e+01
0.00950677    	6.994228e+01
0.01          	6.965591e+01
0.0105        	6.939283e+01
0.011         	6.915441e+01
0.0115        	6.894383e+01
0.012         	6.875378e+01
0.0125        	6.858720e+01
0.013         	6.843514e+01
0.0135        	6.830509e+01
0.014         	6.818722e+01
0.0145        	6.808110e+01
0.015         	6.798979e+01
0.0155        	6.790771e+01
0.016         	6.783654e+01
0.0165        	6.777613e+01
0.017         	6.772271e+01
0.0175        	6.767680e+01
0.018         	6.764166e+01
0.0185        	6.760712e+01
0.019         	6.758103e+01
0.0195        	6.756223e+01
0.02          	6.754932e+01
0.0205        	6.753679e+01
0.021         	6.753424e+01
0.0215        	6.753140e+01
0.022         	6.753594e+01
0.0225        	6.754089e+01
0.023         	6.755261e+01
0.0235        	6.756540e+01
0.024         	6.758178e+01
0.0245        	6.759961e+01
0.025         	6.762258e+01
0.0255        	6.764249e+01
0.026         	6.766651e+01
0.0265        	6.769296e+01
0.027         	6.771933e+01
0.0275        	6.775159e+01
0.028         	6.778209e+01
0.0285        	6.780997e+01
0.029         	6.783736e+01
0.0295        	6.786603e+01
0.03          	6.789369e+01
0.0305        	6.792233e+01
0.031         	6.795263e+01
0.0315        	6.798275e+01
0.032         	6.801543e+01
0.0325        	6.805013e+01
0.033         	6.808608e+01
0.0335        	6.812618e+01
0.034         	6.816926e+01
0.0345        	6.821624e+01
0.035         	6.826768e+01
0.0355        	6.832456e+01
0.036         	6.838663e+01
0.0365        	6.845764e+01
0.037         	6.853611e+01
0.0375        	6.862734e+01
0.038         	6.871421e+01
0.0385        	6.881722e+01
0.039         	6.893280e+01
0.0395        	6.904436e+01
0.04          	6.917154e+01
0.0405        	6.931266e+01
0.041         	6.945011e+01
0.0415        	6.960331e+01
0.042         	6.976261e+01
0.0425        	6.993128e+01
0.043         	7.009872e+01
0.0435        	7.027856e+01
0.044         	7.046439e+01
0.0445        	7.064982e+01
0.045         	7.084157e+01
0.0455        	7.104003e+01
0.046         	7.123914e+01
0.0465        	7.144114e+01
0.047         	7.163919e+01
0.0475        	7.184588e+01
0.048         	7.205025e+01
0.0485        	7.225193e+01
0.049         	7.244762e+01
0.0495        	7.265058e+01
0.05          	7.284590e+01
0.0505        	7.303976e+01
0.051         	7.322940e+01
0.0515        	7.341285e+01
0.052         	7.359217e+01
0.0525        	7.376598e+01
0.053         	7.393389e+01
0.0535        	7.409711e+01
0.054         	7.425426e+01
0.0545        	7.440254e+01
0.055         	7.454492e+01
0.0555        	7.468633e+01
0.056         	7.481932e+01
0.0565        	7.495240e+01
0.057         	7.507335e+01
0.0575        	7.519637e+01
0.058         	7.530998e+01
0.0585        	7.542556e+01
0.059         	7.553434e+01
0.0595        	7.564768e+01
0.06          	7.575585e+01
0.0605        	7.586301e+01
0.061         	7.597872e+01
0.0615        	7.609189e+01
0.062         	7.620483e+01
0.0625        	7.632668e+01
0.063         	7.643958e+01
0.0635        	7.656832e+01
0.064         	7.669043e+01
0.0645        	7.682587e+01
0.065         	7.695648e+01
0.0655        	7.710102e+01
0.066         	7.724189e+01
0.0665        	7.738751e+01
0.067         	7.753800e+01
0.0675        	7.769137e+01
0.068         	7.784970e+01
0.0685        	7.801147e+01
0.069         	7.817602e+01
0.0695        	7.834221e+01
0.07          	7.850591e+01
0.0705        	7.868009e+01
0.071         	7.884049e+01
0.0715        	7.900981e+01
0.072         	7.917300e+01
0.0725        	7.933113e+01
0.073         	7.948871e+01
0.0735        	7.963918e+01
0.074         	7.977935e+01
0.0745        	7.991468e+01
0.075         	8.004788e+01
0.0755        	8.017039e+01
0.076         	8.029000e+01
0.0765        	8.039094e+01
0.077         	8.048619e+01
0.0775        	8.057079e+01
0.078         	8.065085e+01
0.0785        	8.071756e+01
0.079         	8.077177e+01
0.0795        	8.081487e+01
0.08          	8.085027e+01
0.0805        	8.087197e+01
0.081         	8.088827e+01
0.0815        	8.089313e+01
0.082         	8.089175e+01
0.0825        	8.087780e+01
0.083         	8.085885e+01
0.0835        	8.083699e+01
0.084         	8.080432e+01
0.0845        	8.076814e+01
0.085         	8.072560e+01
0.0855        	8.068345e+01
0.086         	8.063420e+01
0.0865        	8.058025e+01
0.087         	8.052319e+01
0.0875        	8.046450e+01
0.088         	8.041033e+01
0.0885        	8.034981e+01
0.089         	8.029324e+01
0.0895        	8.023318e+01
0.09          	8.017428e+01
0.0905        	8.011418e+01
0.091         	8.005721e+01
0.0915        	8.000287e+01
0.092         	7.994561e+01
0.0925        	7.989128e+01
0.093         	7.984594e+01
0.0935        	7.979976e+01
0.094         	7.975709e+01
0.0945        	7.971171e+01
0.095         	7.967286e+01
0.0955        	7.963803e+01
0.096         	7.960175e+01
0.0965        	7.956724e+01
0.097         	7.954231e+01
0.0975        	7.952024e+01
0.098         	7.949731e+01
0.0985        	7.947381e+01
0.099         	7.945547e+01
0.0995        	7.944342e+01
0.1           	7.942577e+01
0.1005        	7.941066e+01
0.101         	7.940173e+01
0.1015        	7.939305e+01
0.102         	7.939219e+01
0.1025        	7.939068e+01
0.103         	7.938998e+01
0.1035        	7.938603e+01
0.104         	7.938354e+01
0.1045        	7.937930e+01
0.105         	7.938839e+01
0.1055        	7.938767e+01
0.106         	7.939074e+01
0.1065        	7.940416e+01
0.107         	7.941476e+01
0.1075        	7.941470e+01
0.108         	7.942505e+01
0.1085        	7.943208e+01
0.109         	7.944227e+01
0.1095        	7.945602e+01
0.11          	7.947086e+01
0.1105        	7.948148e+01
0.111         	7.948590e+01
0.1115        	7.949995e+01
0.112         	7.951290e+01
0.1125        	7.951727e+01
0.113         	7.952853e+01
0.1135        	7.954670e+01
0.114         	7.955910e+01
0.1145        	7.956462e+01
0.115         	7.957148e+01
0.1155        	7.958393e+01
0.116         	7.959614e+01
0.1165        	7.960835e+01
0.117         	7.962140e+01
0.1175        	7.962477e+01
0.118         	7.963247e+01
0.1185        	7.964507e+01
0.119         	7.965285e+01
0.1195        	7.965936e+01
0.12          	7.966726e+01
0.1205        	7.967582e+01
0.121         	7.968483e+01
0.1215        	7.968891e+01
0.122         	7.969775e+01
0.1225        	7.970563e+01
0.123         	7.971495e+01
