# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.000119048   	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	4.608131e-02
0.000260204   	2.643236e-02	2.025113e-01	8.261981e-01	3.871896e-02	1.731055e-02
0.000428132   	3.200627e-01	2.785092e-02	1.491523e-02	1.392138e-02	9.095214e-03
0.000627546   	1.756009e-01	1.904453e-02	1.115039e-02	1.040529e-02	7.549377e-03
0.000861857   	1.243521e-01	1.592351e-02	1.009794e-02	8.492892e-03	6.654702e-03
0.00113877    	1.079298e-01	1.429170e-02	9.407932e-03	7.305783e-03	6.047643e-03
0.00145524    	1.034596e-01	1.289872e-02	8.626857e-03	6.426569e-03	5.535433e-03
0.00181127    	1.022425e-01	1.172629e-02	7.900174e-03	5.749486e-03	5.151869e-03
0.00220121    	9.953049e-02	1.063707e-02	7.188668e-03	5.192570e-03	4.769365e-03
0.00263448    	9.947955e-02	9.768066e-03	6.653870e-03	4.740402e-03	4.442593e-03
0.00309482    	9.559653e-02	8.920997e-03	6.095178e-03	4.285932e-03	4.047892e-03
0.00358805    	9.299238e-02	8.245140e-03	5.670592e-03	3.919215e-03	3.732678e-03
0.00408128    	8.641491e-02	7.544972e-03	5.180095e-03	3.550687e-03	3.356723e-03
0.00457451    	8.090117e-02	6.982139e-03	4.795761e-03	3.262910e-03	3.065860e-03
0.00506773    	7.603028e-02	6.530615e-03	4.486212e-03	3.035802e-03	2.832396e-03
0.00556096    	7.208375e-02	6.170615e-03	4.230013e-03	2.860220e-03	2.627070e-03
0.00605419    	6.877330e-02	5.864200e-03	4.013585e-03	2.719948e-03	2.455265e-03
0.00654741    	6.588334e-02	5.598350e-03	3.826978e-03	2.606998e-03	2.298503e-03
0.00704064    	6.335176e-02	5.369203e-03	3.662809e-03	2.510296e-03	2.163283e-03
0.00753387    	6.127456e-02	5.162280e-03	3.517546e-03	2.430025e-03	2.039446e-03
0.00802709    	5.956326e-02	4.976316e-03	3.386445e-03	2.358084e-03	1.936464e-03
0.00852032    	5.805312e-02	4.807123e-03	3.270311e-03	2.295470e-03	1.849526e-03
0.00901355    	5.655661e-02	4.650400e-03	3.164850e-03	2.236301e-03	1.766425e-03
0.00950677    	5.512829e-02	4.502737e-03	3.068692e-03	2.180412e-03	1.688425e-03
0.01          	5.388032e-02	4.364876e-03	2.979544e-03	2.128031e-03	1.615264e-03
0.0105        	5.333887e-02	4.252475e-03	2.914392e-03	2.088506e-03	1.556750e-03
0.011         	5.218033e-02	4.125490e-03	2.836143e-03	2.040664e-03	1.496733e-03
0.0115        	5.116311e-02	4.007568e-03	2.764094e-03	1.995660e-03	1.439335e-03
0.012         	5.018372e-02	3.897761e-03	2.696845e-03	1.954296e-03	1.386498e-03
0.0125        	4.940584e-02	3.792116e-03	2.634410e-03	1.915509e-03	1.340043e-03
0.013         	4.868669e-02	3.688412e-03	2.575216e-03	1.878952e-03	1.295842e-03
0.0135        	4.785562e-02	3.588773e-03	2.520324e-03	1.844155e-03	1.253514e-03
0.014         	4.721288e-02	3.498646e-03	2.469249e-03	1.810963e-03	1.213181e-03
0.0145        	4.651520e-02	3.409707e-03	2.420702e-03	1.780321e-03	1.179762e-03
0.015         	4.601641e-02	3.321425e-03	2.375086e-03	1.750092e-03	1.141637e-03
0.0155        	4.531668e-02	3.239989e-03	2.331714e-03	1.721809e-03	1.111835e-03
0.016         	4.490542e-02	3.162025e-03	2.290366e-03	1.694389e-03	1.080249e-03
0.0165        	4.443411e-02	3.083560e-03	2.251292e-03	1.669131e-03	1.053882e-03
0.017         	4.392871e-02	3.010239e-03	2.213876e-03	1.644698e-03	1.023388e-03
0.0175        	4.350940e-02	2.941765e-03	2.178003e-03	1.623057e-03	1.000264e-03
0.018         	4.307215e-02	2.870331e-03	2.143547e-03	1.601167e-03	9.766439e-04
0.0185        	4.266634e-02	2.805980e-03	2.110610e-03	1.581180e-03	9.528437e-04
0.019         	4.233016e-02	2.744014e-03	2.078874e-03	1.562183e-03	9.374917e-04
0.0195        	4.195109e-02	2.680063e-03	2.047597e-03	1.544778e-03	9.179374e-04
0.02          	4.160948e-02	2.624177e-03	2.018224e-03	1.528375e-03	9.021519e-04
0.0205        	4.124990e-02	2.564263e-03	1.989015e-03	1.513839e-03	8.905776e-04
0.021         	4.084593e-02	2.511114e-03	1.961019e-03	1.499692e-03	8.763506e-04
0.0215        	4.049153e-02	2.457731e-03	1.933628e-03	1.486306e-03	8.628307e-04
0.022         	4.012166e-02	2.405551e-03	1.907069e-03	1.474347e-03	8.515000e-04
0.0225        	3.979816e-02	2.356402e-03	1.881096e-03	1.462183e-03	8.410059e-04
0.023         	3.938530e-02	2.307251e-03	1.855809e-03	1.451000e-03	8.337365e-04
0.0235        	3.910038e-02	2.260320e-03	1.831070e-03	1.440497e-03	8.241029e-04
0.024         	3.868592e-02	2.213669e-03	1.806604e-03	1.430429e-03	8.130055e-04
0.0245        	3.834435e-02	2.170860e-03	1.783077e-03	1.420622e-03	8.057806e-04
0.025         	3.794911e-02	2.125218e-03	1.759553e-03	1.410988e-03	7.975474e-04
0.0255        	3.760831e-02	2.085455e-03	1.736450e-03	1.401824e-03	7.910885e-04
0.026         	3.713510e-02	2.041796e-03	1.713602e-03	1.392251e-03	7.844693e-04
0.0265        	3.677429e-02	2.003363e-03	1.691215e-03	1.383002e-03	7.778212e-04
0.027         	3.637663e-02	1.962145e-03	1.668599e-03	1.372845e-03	7.694755e-04
0.0275        	3.589830e-02	1.924226e-03	1.646624e-03	1.363384e-03	7.603150e-04
0.028         	3.560528e-02	1.884987e-03	1.624740e-03	1.353443e-03	7.527103e-04
0.0285        	3.511517e-02	1.847219e-03	1.602388e-03	1.341908e-03	7.461203e-04
0.029         	3.464954e-02	1.808749e-03	1.580256e-03	1.329956e-03	7.361338e-04
0.0295        	3.417524e-02	1.770545e-03	1.557698e-03	1.316866e-03	7.284882e-04
0.03          	3.369250e-02	1.731340e-03	1.534894e-03	1.302714e-03	7.167275e-04
0.0305        	3.323619e-02	1.691847e-03	1.511931e-03	1.287850e-03	7.074908e-04
0.031         	3.268936e-02	1.652276e-03	1.488488e-03	1.271603e-03	6.992394e-04
0.0315        	3.214346e-02	1.610598e-03	1.464684e-03	1.253601e-03	6.869701e-04
0.032         	3.155493e-02	1.570775e-03	1.440246e-03	1.234127e-03	6.790373e-04
0.0325        	3.098340e-02	1.528686e-03	1.415420e-03	1.214003e-03	6.661982e-04
0.033         	3.031380e-02	1.487275e-03	1.390007e-03	1.191986e-03	6.571768e-04
0.0335        	2.965701e-02	1.445363e-03	1.363803e-03	1.168660e-03	6.453922e-04
0.034         	2.901834e-02	1.402906e-03	1.337456e-03	1.144380e-03	6.369276e-04
0.0345        	2.826914e-02	1.361210e-03	1.310332e-03	1.117991e-03	6.228797e-04
0.035         	2.751759e-02	1.319636e-03	1.282693e-03	1.090445e-03	6.132320e-04
0.0355        	2.679040e-02	1.278810e-03	1.254597e-03	1.061788e-03	6.005743e-04
0.036         	2.601175e-02	1.239089e-03	1.226342e-03	1.033045e-03	5.884858e-04
0.0365        	2.531987e-02	1.200044e-03	1.197577e-03	1.003587e-03	5.751055e-04
0.037         	2.456971e-02	1.162966e-03	1.168794e-03	9.736272e-04	5.615152e-04
0.0375        	2.386340e-02	1.126624e-03	1.139929e-03	9.437879e-04	5.508231e-04
0.038         	2.331776e-02	1.093252e-03	1.111035e-03	9.145034e-04	5.413256e-04
0.0385        	2.260312e-02	1.060208e-03	1.081967e-03	8.850956e-04	5.281515e-04
0.039         	2.180071e-02	1.029894e-03	1.053187e-03	8.563395e-04	5.170606e-04
0.0395        	2.130334e-02	1.001387e-03	1.024910e-03	8.289439e-04	5.086233e-04
0.04          	2.090842e-02	9.748358e-04	9.967240e-04	8.028069e-04	4.975276e-04
0.0405        	2.002908e-02	9.500077e-04	9.688987e-04	7.772203e-04	4.861981e-04
0.041         	1.964926e-02	9.282725e-04	9.416354e-04	7.540789e-04	4.784186e-04
0.0415        	1.921472e-02	9.074428e-04	9.145003e-04	7.319855e-04	4.683973e-04
0.042         	1.858550e-02	8.898694e-04	8.880948e-04	7.116902e-04	4.583770e-04
0.0425        	1.815666e-02	8.724336e-04	8.621331e-04	6.929278e-04	4.510772e-04
0.043         	1.787287e-02	8.575493e-04	8.370197e-04	6.749052e-04	4.448436e-04
0.0435        	1.756490e-02	8.438500e-04	8.121254e-04	6.576246e-04	4.381041e-04
0.044         	1.711805e-02	8.309009e-04	7.880342e-04	6.422965e-04	4.314889e-04
0.0445        	1.693472e-02	8.207393e-04	7.646655e-04	6.274914e-04	4.246895e-04
0.045         	1.670945e-02	8.112989e-04	7.416387e-04	6.136156e-04	4.161903e-04
0.0455        	1.633711e-02	8.049998e-04	7.194228e-04	6.000335e-04	4.094251e-04
0.046         	1.608527e-02	7.975507e-04	6.977555e-04	5.868028e-04	4.013190e-04
0.0465        	1.591007e-02	7.923887e-04	6.768219e-04	5.743396e-04	3.963348e-04
0.047         	1.576758e-02	7.859869e-04	6.566980e-04	5.620763e-04	3.898619e-04
0.0475        	1.556275e-02	7.806487e-04	6.369104e-04	5.499249e-04	3.823606e-04
0.048         	1.519429e-02	7.736667e-04	6.179558e-04	5.383175e-04	3.767540e-04
0.0485        	1.507629e-02	7.670263e-04	5.996860e-04	5.268946e-04	3.719605e-04
0.049         	1.471196e-02	7.593265e-04	5.821021e-04	5.158875e-04	3.658215e-04
0.0495        	1.459201e-02	7.513342e-04	5.652679e-04	5.047376e-04	3.570379e-04
0.05          	1.425241e-02	7.429047e-04	5.489473e-04	4.941660e-04	3.520939e-04
0.0505        	1.394143e-02	7.328687e-04	5.333403e-04	4.835813e-04	3.453560e-04
0.051         	1.364087e-02	7.233038e-04	5.183084e-04	4.733517e-04	3.394708e-04
0.0515        	1.336471e-02	7.120498e-04	5.040343e-04	4.633958e-04	3.322123e-04
0.052         	1.306636e-02	7.009608e-04	4.902973e-04	4.535096e-04	3.283946e-04
0.0525        	1.279119e-02	6.886010e-04	4.772373e-04	4.439125e-04	3.209833e-04
0.053         	1.246739e-02	6.764486e-04	4.647916e-04	4.347302e-04	3.155644e-04
0.0535        	1.215528e-02	6.633070e-04	4.529094e-04	4.257078e-04	3.100516e-04
0.054         	1.188660e-02	6.501639e-04	4.416256e-04	4.168267e-04	3.046083e-04
0.0545        	1.192316e-02	6.383678e-04	4.312411e-04	4.084639e-04	3.022689e-04
0.055         	1.156939e-02	6.243280e-04	4.208448e-04	4.001220e-04	2.965606e-04
0.0555        	1.153206e-02	6.125979e-04	4.111747e-04	3.922317e-04	2.920339e-04
0.056         	1.118852e-02	5.994432e-04	4.016782e-04	3.845152e-04	2.867720e-04
0.0565        	1.088295e-02	5.883512e-04	3.929255e-04	3.771575e-04	2.826314e-04
0.057         	1.070392e-02	5.782481e-04	3.845698e-04	3.699794e-04	2.776848e-04
0.0575        	1.044557e-02	5.668717e-04	3.764839e-04	3.628288e-04	2.724327e-04
0.058         	1.036945e-02	5.584491e-04	3.689083e-04	3.561366e-04	2.696267e-04
0.0585        	1.010245e-02	5.497543e-04	3.613683e-04	3.497693e-04	2.647434e-04
0.059         	9.997695e-03	5.415574e-04	3.543272e-04	3.435714e-04	2.619019e-04
0.0595        	9.891900e-03	5.344935e-04	3.474233e-04	3.373483e-04	2.564750e-04
0.06          	9.725631e-03	5.287610e-04	3.406790e-04	3.313597e-04	2.537376e-04
0.0605        	9.486711e-03	5.237992e-04	3.339888e-04	3.256448e-04	2.493941e-04
0.061         	9.721326e-03	5.196842e-04	3.278319e-04	3.199095e-04	2.448143e-04
0.0615        	9.603995e-03	5.171508e-04	3.215280e-04	3.146174e-04	2.419633e-04
0.062         	9.307212e-03	5.144637e-04	3.150770e-04	3.092116e-04	2.394755e-04
0.0625        	9.339023e-03	5.112378e-04	3.089425e-04	3.038340e-04	2.341748e-04
0.063         	9.253380e-03	5.077777e-04	3.027103e-04	2.985266e-04	2.309053e-04
0.0635        	9.122408e-03	5.030598e-04	2.962704e-04	2.933602e-04	2.266048e-04
0.064         	8.932532e-03	4.971518e-04	2.898807e-04	2.882454e-04	2.239487e-04
0.0645        	8.915938e-03	4.922453e-04	2.833963e-04	2.829420e-04	2.208654e-04
0.065         	8.643075e-03	4.852857e-04	2.768509e-04	2.775426e-04	2.163114e-04
0.0655        	8.620617e-03	4.788620e-04	2.702181e-04	2.723555e-04	2.130333e-04
0.066         	8.328268e-03	4.715277e-04	2.634451e-04	2.668381e-04	2.091628e-04
0.0665        	8.154901e-03	4.653070e-04	2.566347e-04	2.617215e-04	2.058298e-04
0.067         	7.844220e-03	4.581380e-04	2.496032e-04	2.562154e-04	2.019549e-04
0.0675        	7.695002e-03	4.504235e-04	2.424135e-04	2.509172e-04	1.974661e-04
0.068         	7.753838e-03	4.439899e-04	2.353137e-04	2.449970e-04	1.930551e-04
0.0685        	7.488902e-03	4.385818e-04	2.279189e-04	2.393289e-04	1.886784e-04
0.069         	7.330631e-03	4.319983e-04	2.206496e-04	2.335106e-04	1.846684e-04
0.0695        	7.192891e-03	4.268349e-04	2.133087e-04	2.271364e-04	1.798262e-04
0.07          	7.140764e-03	4.238064e-04	2.059649e-04	2.213684e-04	1.744957e-04
0.0705        	7.317218e-03	4.215739e-04	1.990992e-04	2.153523e-04	1.698029e-04
0.071         	7.283286e-03	4.191602e-04	1.917537e-04	2.090008e-04	1.651869e-04
0.0715        	7.305634e-03	4.181713e-04	1.845645e-04	2.030355e-04	1.621885e-04
0.072         	6.963458e-03	4.157662e-04	1.774317e-04	1.964088e-04	1.581162e-04
0.0725        	7.012639e-03	4.132356e-04	1.705164e-04	1.902498e-04	1.527809e-04
0.073         	6.887593e-03	4.087308e-04	1.635330e-04	1.837094e-04	1.477685e-04
0.0735        	6.789718e-03	4.042352e-04	1.570717e-04	1.770072e-04	1.429952e-04
0.074         	6.527408e-03	3.977705e-04	1.504852e-04	1.704977e-04	1.379151e-04
0.0745        	6.313072e-03	3.902038e-04	1.440625e-04	1.635137e-04	1.337518e-04
0.075         	6.181106e-03	3.829256e-04	1.381825e-04	1.571580e-04	1.282493e-04
0.0755        	5.907231e-03	3.739997e-04	1.323778e-04	1.508386e-04	1.246311e-04
0.076         	5.891408e-03	3.642724e-04	1.270092e-04	1.445279e-04	1.205879e-04
0.0765        	5.804946e-03	3.536891e-04	1.219098e-04	1.382563e-04	1.140653e-04
0.077         	5.459835e-03	3.423153e-04	1.169185e-04	1.321342e-04	1.101940e-04
0.0775        	5.201090e-03	3.301708e-04	1.121671e-04	1.262562e-04	1.071523e-04
0.078         	5.060863e-03	3.182825e-04	1.080276e-04	1.205621e-04	1.028146e-04
0.0785        	4.775490e-03	3.053189e-04	1.041025e-04	1.149243e-04	9.962017e-05
0.079         	4.588856e-03	2.925170e-04	1.008003e-04	1.095092e-04	9.617792e-05
0.0795        	4.609373e-03	2.797428e-04	9.781350e-05	1.046582e-04	9.128838e-05
0.08          	4.502202e-03	2.663636e-04	9.483688e-05	9.950968e-05	8.875557e-05
0.0805        	4.085355e-03	2.528464e-04	9.200690e-05	9.487399e-05	8.511338e-05
0.081         	3.885774e-03	2.406648e-04	8.958366e-05	9.084737e-05	8.322160e-05
0.0815        	3.537124e-03	2.279393e-04	8.742340e-05	8.672451e-05	8.077227e-05
0.082         	3.482412e-03	2.160398e-04	8.559306e-05	8.272293e-05	7.648203e-05
0.0825        	3.330150e-03	2.041909e-04	8.376375e-05	7.911960e-05	7.464815e-05
0.083         	3.232918e-03	1.934633e-04	8.212869e-05	7.598373e-05	7.317797e-05
0.0835        	3.220340e-03	1.838181e-04	8.075219e-05	7.295074e-05	6.910987e-05
0.084         	3.041417e-03	1.735633e-04	7.901185e-05	7.027043e-05	6.849657e-05
0.0845        	2.840057e-03	1.638052e-04	7.730726e-05	6.772999e-05	6.710934e-05
0.085         	2.827253e-03	1.560886e-04	7.586028e-05	6.577777e-05	6.640383e-05
0.0855        	2.623065e-03	1.478993e-04	7.413817e-05	6.360018e-05	6.553006e-05
0.086         	2.321581e-03	1.404062e-04	7.226486e-05	6.209877e-05	6.520792e-05
0.0865        	2.365270e-03	1.339900e-04	7.053826e-05	6.071839e-05	6.407047e-05
0.087         	2.304367e-03	1.282389e-04	6.861865e-05	5.968732e-05	6.342073e-05
0.0875        	2.262868e-03	1.233440e-04	6.688825e-05	5.839115e-05	6.157436e-05
0.088         	2.193563e-03	1.184968e-04	6.503930e-05	5.744276e-05	6.172225e-05
0.0885        	2.099892e-03	1.149912e-04	6.313103e-05	5.673453e-05	6.055268e-05
0.089         	2.247037e-03	1.112350e-04	6.109685e-05	5.601133e-05	5.924745e-05
0.0895        	2.091667e-03	1.088067e-04	5.931036e-05	5.534291e-05	5.852848e-05
0.09          	1.941759e-03	1.058655e-04	5.713254e-05	5.455642e-05	5.809882e-05
