# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	1.151523e+01	1.444246e+01	1.193225e+01
0             	back	7.887793e+00	1.019306e+01	7.999643e+00
0             	sides	1.122379e+01	1.122676e+01	1.122528e+01
0.01          	splitter	3.250908e+01	5.614638e+01	3.662664e+01
0.01          	back	7.152200e+00	1.279049e+01	1.060397e+01
0.01          	sides	9.670137e+00	2.830396e+01	1.648209e+01
0.02          	splitter	3.305994e+01	5.680237e+01	3.714437e+01
0.02          	back	1.008209e+01	1.344970e+01	1.165445e+01
0.02          	sides	9.704735e+00	2.891463e+01	1.872551e+01
0.03          	splitter	3.323847e+01	5.708907e+01	3.732442e+01
0.03          	back	9.974523e+00	1.304743e+01	1.142245e+01
0.03          	sides	9.704621e+00	2.857917e+01	2.121497e+01
0.04          	splitter	3.333684e+01	5.724196e+01	3.744709e+01
0.04          	back	9.374075e+00	1.245214e+01	1.118121e+01
0.04          	sides	9.704616e+00	2.844196e+01	2.191482e+01
0.05          	splitter	3.347776e+01	5.742530e+01	3.759936e+01
0.05          	back	8.745898e+00	1.216646e+01	1.093588e+01
0.05          	sides	9.704613e+00	2.839988e+01	2.217165e+01
0.06          	splitter	3.348329e+01	5.742443e+01	3.760458e+01
0.06          	back	8.285022e+00	1.194681e+01	1.073982e+01
0.06          	sides	9.704619e+00	2.832105e+01	2.234247e+01
0.07          	splitter	3.348190e+01	5.742307e+01	3.760273e+01
0.07          	back	7.934271e+00	1.171084e+01	1.057132e+01
0.07          	sides	9.704622e+00	2.832801e+01	2.243277e+01
0.08          	splitter	3.348121e+01	5.742246e+01	3.760174e+01
0.08          	back	7.666496e+00	1.176875e+01	1.043893e+01
0.08          	sides	9.704623e+00	2.835232e+01	2.246864e+01
0.09          	splitter	3.348093e+01	5.742211e+01	3.760116e+01
0.09          	back	7.480586e+00	1.178925e+01	1.034408e+01
0.09          	sides	9.704623e+00	2.837188e+01	2.246562e+01
0.1           	splitter	3.348071e+01	5.742190e+01	3.760083e+01
0.1           	back	7.339212e+00	1.166856e+01	1.027566e+01
0.1           	sides	9.704624e+00	2.838342e+01	2.245707e+01
0.11          	splitter	3.348048e+01	5.742191e+01	3.760059e+01
0.11          	back	7.183391e+00	1.189011e+01	1.018469e+01
0.11          	sides	9.704623e+00	2.838967e+01	2.245459e+01
0.12          	splitter	3.348044e+01	5.742178e+01	3.760037e+01
0.12          	back	7.055953e+00	1.163728e+01	1.009034e+01
0.12          	sides	9.704624e+00	2.839737e+01	2.245688e+01
0.13          	splitter	3.348040e+01	5.742158e+01	3.760020e+01
0.13          	back	6.945800e+00	1.180222e+01	1.001795e+01
0.13          	sides	9.704623e+00	2.840544e+01	2.246085e+01
0.14          	splitter	3.348013e+01	5.742160e+01	3.760003e+01
0.14          	back	6.851546e+00	1.185849e+01	9.969559e+00
0.14          	sides	9.704623e+00	2.840692e+01	2.246433e+01
0.15          	splitter	3.348010e+01	5.742157e+01	3.759991e+01
0.15          	back	6.778937e+00	1.164084e+01	9.935297e+00
0.15          	sides	9.704624e+00	2.841009e+01	2.246678e+01
0.16          	splitter	3.348019e+01	5.742140e+01	3.759982e+01
0.16          	back	6.716668e+00	1.175088e+01	9.908992e+00
0.16          	sides	9.704623e+00	2.841738e+01	2.246860e+01
0.17          	splitter	3.348006e+01	5.742132e+01	3.759974e+01
0.17          	back	6.660806e+00	1.168798e+01	9.854307e+00
0.17          	sides	9.704623e+00	2.841923e+01	2.247004e+01
0.18          	splitter	3.347987e+01	5.742144e+01	3.759964e+01
0.18          	back	6.605263e+00	1.173347e+01	9.795625e+00
0.18          	sides	9.704624e+00	2.841658e+01	2.247130e+01
0.19          	splitter	3.347999e+01	5.742136e+01	3.759957e+01
0.19          	back	6.554458e+00	1.161862e+01	9.769950e+00
0.19          	sides	9.704624e+00	2.842202e+01	2.247243e+01
0.2           	splitter	3.348005e+01	5.742121e+01	3.759950e+01
0.2           	back	6.509442e+00	1.153446e+01	9.738435e+00
0.2           	sides	9.704622e+00	2.842876e+01	2.247345e+01
0.21          	splitter	3.347973e+01	5.742119e+01	3.759943e+01
0.21          	back	6.467355e+00	1.160579e+01	9.680374e+00
0.21          	sides	9.704623e+00	2.842380e+01	2.247439e+01
0.22          	splitter	3.347975e+01	5.742135e+01	3.759938e+01
0.22          	back	6.423002e+00	1.165925e+01	9.703860e+00
