# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
1.19904e-05   	6.529779e+05
1.53659e-05   	5.823477e+04
1.93952e-05   	1.372179e+04
2.41479e-05   	5.827891e+03
2.96716e-05   	3.504278e+03
3.59979e-05   	2.481112e+03
4.3156e-05    	1.887536e+03
5.11792e-05   	1.487551e+03
6.01019e-05   	1.204209e+03
6.94615e-05   	1.015562e+03
7.91499e-05   	8.748929e+02
8.90312e-05   	7.599555e+02
9.90931e-05   	6.704776e+02
0.00010929    	5.985894e+02
0.000119486   	5.420400e+02
0.000129662   	4.937092e+02
0.000139817   	4.515742e+02
0.000149961   	4.144869e+02
0.000160084   	3.845809e+02
0.000170197   	3.579910e+02
0.000180289   	3.355391e+02
0.000190371   	3.163763e+02
0.000200432   	2.988774e+02
0.000210473   	2.835414e+02
0.000220483   	2.699634e+02
0.000230472   	2.577152e+02
0.000240441   	2.459459e+02
0.000250389   	2.362697e+02
0.000260318   	2.274577e+02
0.000270226   	2.196913e+02
0.000280114   	2.125223e+02
0.000289992   	2.062529e+02
0.00029985    	2.001528e+02
0.000309688   	1.946194e+02
0.000319515   	1.894858e+02
0.000329323   	1.849658e+02
0.000339121   	1.805042e+02
0.00034891    	1.765911e+02
0.000358688   	1.726260e+02
0.000368446   	1.689238e+02
0.000378195   	1.658135e+02
0.000387933   	1.630053e+02
0.000397672   	1.602681e+02
0.000407401   	1.578581e+02
0.00041713    	1.553832e+02
0.000426849   	1.530114e+02
0.000436568   	1.508383e+02
0.000446286   	1.488164e+02
0.000456005   	1.467283e+02
0.000465724   	1.449547e+02
0.000475443   	1.432331e+02
0.000485162   	1.413750e+02
0.000494891   	1.397555e+02
0.00050462    	1.382602e+02
0.000514359   	1.370231e+02
0.000524098   	1.358169e+02
0.000533847   	1.344288e+02
0.000543605   	1.331049e+02
0.000553374   	1.319417e+02
0.000563154   	1.308178e+02
0.000572943   	1.297223e+02
0.000582752   	1.287038e+02
0.000592572   	1.276842e+02
0.000602402   	1.266376e+02
0.000612253   	1.257055e+02
0.000622114   	1.248726e+02
0.000631996   	1.238598e+02
0.000641888   	1.230615e+02
0.000651802   	1.224058e+02
0.000661736   	1.216096e+02
0.000671681   	1.208432e+02
0.000681647   	1.200986e+02
0.000691635   	1.194240e+02
0.000701644   	1.187396e+02
0.000711674   	1.180639e+02
0.000721726   	1.173776e+02
0.000731801   	1.168789e+02
0.000741886   	1.162553e+02
0.000751993   	1.155977e+02
0.000762122   	1.150230e+02
0.000772274   	1.144563e+02
0.000782459   	1.138779e+02
0.000792666   	1.134588e+02
0.000802897   	1.129066e+02
0.00081315    	1.124234e+02
0.000823426   	1.119539e+02
0.000833737   	1.114376e+02
0.000844071   	1.110316e+02
0.000854428   	1.105398e+02
0.000864809   	1.101241e+02
0.000875226   	1.096595e+02
0.000885666   	1.092854e+02
0.00089613    	1.088179e+02
0.00090663    	1.084001e+02
0.000917155   	1.079883e+02
0.000927704   	1.075933e+02
0.000938278   	1.072019e+02
0.000948889   	1.068666e+02
0.000959525   	1.065090e+02
0.000970186   	1.061188e+02
0.000980872   	1.057767e+02
0.000991596   	1.054007e+02
0.00100235    	1.050299e+02
0.00101312    	1.047168e+02
0.00102392    	1.044180e+02
0.00103475    	1.041041e+02
0.00104562    	1.037241e+02
0.00105651    	1.034557e+02
0.00106743    	1.030982e+02
0.00107838    	1.028025e+02
0.00108935    	1.025042e+02
0.00110035    	1.021753e+02
0.00111138    	1.019166e+02
0.00112244    	1.016457e+02
0.00113352    	1.013315e+02
0.00114463    	1.010604e+02
0.00115577    	1.008154e+02
0.00116694    	1.005509e+02
0.00117813    	1.002814e+02
