# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1.19904e-05   	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	2.861033e-02
1.53659e-05   	8.487521e-02	1.339653e-01	6.744210e-01	1.166854e-01	1.264423e-01
1.93952e-05   	2.776044e-01	1.389949e-01	2.049561e-01	9.403302e-03	4.392340e-03
2.41479e-05   	2.321304e-01	4.565685e-02	6.893340e-02	7.541201e-03	3.163439e-03
2.96716e-05   	2.019372e-01	2.161375e-02	3.437515e-02	6.451000e-03	3.269926e-03
3.59979e-05   	1.748841e-01	1.375616e-02	2.348435e-02	5.665488e-03	3.323889e-03
4.3156e-05    	1.579634e-01	1.127580e-02	1.884183e-02	5.112556e-03	3.311114e-03
5.11792e-05   	1.446703e-01	9.990625e-03	1.610265e-02	4.710822e-03	3.259175e-03
6.01019e-05   	1.296846e-01	9.114958e-03	1.419075e-02	4.421961e-03	3.149023e-03
6.94615e-05   	1.058693e-01	8.141824e-03	1.218748e-02	4.042779e-03	2.944778e-03
7.91499e-05   	1.045957e-01	7.857936e-03	1.120955e-02	3.940006e-03	2.805485e-03
8.90312e-05   	9.707313e-02	6.958441e-03	9.717182e-03	3.440204e-03	2.564318e-03
9.90931e-05   	8.140312e-02	6.272123e-03	8.600601e-03	3.186940e-03	2.382868e-03
0.00010929    	6.884588e-02	5.741322e-03	7.725372e-03	2.993797e-03	2.239740e-03
0.000119486   	6.075766e-02	5.285353e-03	6.953001e-03	2.813843e-03	2.104575e-03
0.000129662   	5.683176e-02	4.943956e-03	6.365266e-03	2.649913e-03	2.017262e-03
0.000139817   	5.796313e-02	4.754549e-03	5.923081e-03	2.513130e-03	1.952875e-03
0.000149961   	5.481076e-02	4.388935e-03	5.415440e-03	2.378135e-03	1.871349e-03
0.000160084   	4.638148e-02	4.061359e-03	5.019879e-03	2.267549e-03	1.791679e-03
0.000170197   	3.804287e-02	3.820987e-03	4.729354e-03	2.177264e-03	1.720929e-03
0.000180289   	3.378414e-02	3.623552e-03	4.473121e-03	2.092804e-03	1.672846e-03
0.000190371   	3.155756e-02	3.469534e-03	4.259092e-03	2.020861e-03	1.626012e-03
0.000200432   	2.792907e-02	3.336963e-03	4.068743e-03	1.952302e-03	1.578976e-03
0.000210473   	2.582179e-02	3.212970e-03	3.892744e-03	1.888520e-03	1.533047e-03
0.000220483   	2.385089e-02	3.099098e-03	3.730901e-03	1.828874e-03	1.487362e-03
0.000230472   	2.310169e-02	3.003033e-03	3.588143e-03	1.776756e-03	1.450685e-03
0.000240441   	2.107443e-02	2.915731e-03	3.454353e-03	1.731326e-03	1.413272e-03
0.000250389   	2.039649e-02	2.830050e-03	3.324214e-03	1.688338e-03	1.377089e-03
0.000260318   	1.946513e-02	2.760781e-03	3.212859e-03	1.647297e-03	1.342160e-03
0.000270226   	1.693544e-02	2.697705e-03	3.110688e-03	1.607857e-03	1.309163e-03
0.000280114   	1.592503e-02	2.641369e-03	3.018291e-03	1.571126e-03	1.280562e-03
0.000289992   	1.636627e-02	2.591294e-03	2.934397e-03	1.538374e-03	1.252861e-03
0.00029985    	1.493288e-02	2.547215e-03	2.856072e-03	1.506884e-03	1.226865e-03
0.000309688   	1.416684e-02	2.503289e-03	2.779571e-03	1.476799e-03	1.200685e-03
0.000319515   	1.421985e-02	2.466253e-03	2.710827e-03	1.448100e-03	1.177317e-03
0.000329323   	1.371035e-02	2.428928e-03	2.643369e-03	1.420100e-03	1.152669e-03
0.000339121   	1.326067e-02	2.398875e-03	2.584685e-03	1.395736e-03	1.130671e-03
