# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	1.151523e+01	1.444246e+01	1.193225e+01
0             	back	7.887793e+00	1.019306e+01	7.999643e+00
0             	sides	1.122379e+01	1.122676e+01	1.122528e+01
0.01          	splitter	3.278536e+01	5.653653e+01	3.691871e+01
0.01          	back	1.160744e+01	1.884073e+01	1.574740e+01
0.01          	sides	9.691837e+00	2.873189e+01	1.522610e+01
0.02          	splitter	3.308375e+01	5.695992e+01	3.718488e+01
0.02          	back	1.151068e+01	1.734077e+01	1.431912e+01
0.02          	sides	9.715362e+00	2.882100e+01	1.903179e+01
0.03          	splitter	3.327391e+01	5.724494e+01	3.737211e+01
0.03          	back	1.143660e+01	1.565358e+01	1.295903e+01
0.03          	sides	9.715866e+00	2.829249e+01	2.136221e+01
0.04          	splitter	3.341944e+01	5.753478e+01	3.755651e+01
0.04          	back	1.143587e+01	1.445055e+01	1.219960e+01
0.04          	sides	9.715942e+00	2.807426e+01	2.191945e+01
0.05          	splitter	3.346421e+01	5.754221e+01	3.759591e+01
0.05          	back	1.055604e+01	1.361929e+01	1.170651e+01
0.05          	sides	9.715938e+00	2.812986e+01	2.216455e+01
0.06          	splitter	3.346494e+01	5.754616e+01	3.759619e+01
0.06          	back	9.722331e+00	1.300638e+01	1.135723e+01
0.06          	sides	9.715959e+00	2.819493e+01	2.230816e+01
0.07          	splitter	3.346440e+01	5.754611e+01	3.759447e+01
0.07          	back	9.002964e+00	1.260578e+01	1.108673e+01
0.07          	sides	9.715946e+00	2.824613e+01	2.236585e+01
0.08          	splitter	3.346341e+01	5.754552e+01	3.759319e+01
0.08          	back	8.405013e+00	1.240393e+01	1.085520e+01
0.08          	sides	9.715943e+00	2.829874e+01	2.239168e+01
0.09          	splitter	3.346240e+01	5.754564e+01	3.759231e+01
0.09          	back	7.955809e+00	1.225096e+01	1.065724e+01
0.09          	sides	9.715950e+00	2.832635e+01	2.240853e+01
0.1           	splitter	3.346312e+01	5.754505e+01	3.759171e+01
0.1           	back	7.622374e+00	1.215495e+01	1.048879e+01
0.1           	sides	9.715945e+00	2.835746e+01	2.242191e+01
0.11          	splitter	3.346057e+01	5.754471e+01	3.759135e+01
0.11          	back	7.373669e+00	1.208617e+01	1.035974e+01
0.11          	sides	9.715944e+00	2.835699e+01	2.243090e+01
0.12          	splitter	3.346188e+01	5.754470e+01	3.759122e+01
0.12          	back	7.191645e+00	1.203790e+01	1.025628e+01
0.12          	sides	9.715957e+00	2.836680e+01	2.243629e+01
0.13          	splitter	3.346080e+01	5.754674e+01	3.759139e+01
0.13          	back	7.055712e+00	1.199211e+01	1.017574e+01
0.13          	sides	9.715928e+00	2.844618e+01	2.243892e+01
0.14          	splitter	3.346236e+01	5.755050e+01	3.759213e+01
0.14          	back	6.953090e+00	1.197091e+01	1.011537e+01
0.14          	sides	9.715973e+00	2.849527e+01	2.243821e+01
0.15          	splitter	3.346151e+01	5.755414e+01	3.759383e+01
0.15          	back	6.881772e+00	1.197475e+01	1.007152e+01
0.15          	sides	9.715919e+00	2.851994e+01	2.243227e+01
0.16          	splitter	3.345684e+01	5.755810e+01	3.759739e+01
0.16          	back	6.838375e+00	1.197896e+01	1.006142e+01
0.16          	sides	9.715963e+00	2.847004e+01	2.241728e+01
0.17          	splitter	3.345693e+01	5.756078e+01	3.760397e+01
0.17          	back	6.835784e+00	1.201961e+01	1.005843e+01
0.17          	sides	9.715972e+00	2.864729e+01	2.238770e+01
0.18          	splitter	3.345744e+01	5.756312e+01	3.761433e+01
0.18          	back	6.895554e+00	1.207393e+01	1.011485e+01
0.18          	sides	9.715917e+00	2.871594e+01	2.233693e+01
0.19          	splitter	3.346694e+01	5.757598e+01	3.762756e+01
0.19          	back	7.078040e+00	1.217727e+01	1.024379e+01
0.19          	sides	9.716073e+00	2.861027e+01	2.226604e+01
0.2           	splitter	3.347937e+01	5.759511e+01	3.764047e+01
0.2           	back	7.475721e+00	1.237725e+01	1.052655e+01
0.2           	sides	9.715840e+00	2.892423e+01	2.218738e+01
0.21          	splitter	3.349838e+01	5.761362e+01	3.765088e+01
0.21          	back	8.372402e+00	1.332295e+01	1.104908e+01
0.21          	sides	9.716130e+00	2.953264e+01	2.211953e+01
0.22          	splitter	3.348301e+01	5.762153e+01	3.765693e+01
0.22          	back	9.872458e+00	1.478749e+01	1.182509e+01
