# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-2.051891e-10 1.895038e-04 8.384151e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-8.953028e-26 1.341124e-24 2.492415e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((-1.456495e-05 6.898081e-01 7.450189e-19) (8.938356e-08 1.646884e-04 -2.466535e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.145016e-20 3.903829e-20 1.365794e-06) (-9.257643e-24 -2.048821e-23 2.562378e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
2             	((-8.170169e-05 9.810925e-01 9.510164e-19) (1.044847e-06 -7.668906e-05 -9.460649e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.297792e-20 5.424197e-20 -1.877934e-06) (-3.152698e-22 -1.379020e-22 -3.527194e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
3             	((-1.582415e-04 9.174115e-01 7.382895e-19) (2.095125e-06 -1.442555e-04 -1.248262e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.720295e-21 5.062902e-20 1.649420e-05) (-5.419017e-23 2.395947e-24 -8.264006e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
4             	((-5.577180e-05 6.649063e-01 3.231568e-19) (2.504121e-06 -1.348010e-04 1.961677e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.339789e-21 3.684971e-20 2.323364e-05) (2.705011e-23 -2.841571e-23 -6.397326e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
5             	((2.865623e-06 3.633746e-01 -9.840134e-20) (1.703750e-06 -9.309637e-05 4.295430e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.320848e-21 2.025937e-20 2.175686e-05) (5.276768e-23 -1.264720e-22 -1.840657e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
6             	((7.244254e-05 1.100672e-01 -3.765205e-19) (4.221728e-07 -5.162865e-05 3.152753e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.488490e-21 6.112541e-21 1.686775e-05) (2.361582e-23 -1.106243e-22 4.146886e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
7             	((1.294057e-04 -6.015070e-02 -4.709907e-19) (4.491776e-07 -2.200542e-05 1.870392e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.008077e-21 -3.566433e-21 1.158675e-05) (-6.039563e-24 -7.207973e-23 4.623169e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
8             	((1.294350e-04 -1.456030e-01 -4.162541e-19) (3.170080e-07 -1.287335e-05 -2.023864e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.666905e-21 -8.626675e-21 9.235955e-06) (-2.990696e-23 -1.204543e-23 3.227768e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
9             	((7.401186e-05 -1.694919e-01 -2.828801e-19) (2.610498e-07 -1.314767e-05 -3.118259e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.491930e-21 -1.027851e-20 8.779126e-06) (-7.731031e-23 8.749700e-23 -1.897733e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((2.163695e-05 -1.490760e-01 -1.077579e-19) (7.663386e-07 -1.420239e-05 -3.569377e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.004479e-21 -9.464965e-21 7.945908e-06) (-5.499668e-23 8.512889e-23 -5.101537e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
11            	((-1.740359e-05 -1.074606e-01 5.763672e-20) (4.759537e-07 -4.739884e-06 -4.630093e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.208035e-21 -7.424092e-21 6.298337e-06) (-5.502257e-23 1.463967e-22 -6.392546e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
12            	((-1.493057e-05 -5.991377e-02 1.774638e-19) (4.624863e-07 1.389086e-05 -4.158823e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.749050e-21 -4.923063e-21 2.596829e-06) (-4.327645e-23 1.077523e-22 -5.712595e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
13            	((-4.517568e-06 -1.925782e-02 2.318326e-19) (1.848925e-07 4.052900e-05 -3.836812e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.417295e-21 -2.633523e-21 -2.425712e-07) (-4.481453e-23 8.682566e-23 -4.608911e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
14            	((1.091422e-05 9.847421e-03 2.255184e-19) (-2.510204e-08 7.240000e-05 -2.972268e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.305624e-21 -8.078260e-22 -1.374788e-06) (-3.964256e-23 5.544064e-23 -3.575866e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
15            	((4.346141e-05 2.936144e-02 1.782031e-19) (-2.076240e-07 1.059305e-04 -1.835220e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.675966e-21 6.314968e-22 -2.854084e-06) (-2.945419e-23 2.372059e-23 -2.783782e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
16            	((7.306679e-05 3.966730e-02 1.053539e-19) (-2.848377e-07 1.365207e-04 -3.177439e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.715179e-21 1.651621e-21 -3.247677e-06) (-1.232642e-23 -1.014370e-23 -2.367910e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
17            	((9.081564e-05 4.419972e-02 2.973888e-20) (-3.912130e-07 1.606147e-04 1.552261e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.062411e-22 2.359514e-21 -2.507296e-06) (1.254312e-23 -4.700197e-23 -1.866358e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
