# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
100           	6.463632e+01
200           	6.332468e+01
300           	7.027623e+01
400           	8.083554e+01
500           	8.374866e+01
600           	8.256908e+01
700           	8.462962e+01
800           	8.566076e+01
900           	8.412830e+01
1000          	8.232609e+01
1100          	8.150323e+01
1200          	8.140716e+01
1300          	8.162335e+01
1400          	8.190372e+01
1500          	8.221478e+01
1600          	8.251416e+01
1700          	8.272054e+01
1800          	8.297606e+01
1900          	8.322299e+01
2000          	8.348835e+01
