# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.651155e-02
2             	1.833840e-01	3.199198e-01	3.521238e-01	4.125330e-01	1.081691e-01
3             	1.128214e-01	2.036961e-01	2.383031e-01	2.152736e-01	1.220776e-01
4             	7.986322e-02	1.301101e-01	1.656476e-01	1.121820e-01	5.730271e-02
5             	7.678587e-02	9.452014e-02	1.035657e-01	8.270754e-02	3.396441e-02
6             	1.644000e-01	6.755016e-02	5.000134e-02	6.514914e-02	2.201316e-02
7             	3.809372e-01	4.934951e-02	2.427053e-02	5.232971e-02	1.557231e-02
8             	2.124105e-01	5.093307e-02	5.110881e-02	4.172935e-02	1.210240e-02
9             	1.711357e-01	5.348076e-02	6.095214e-02	3.369041e-02	1.037540e-02
10            	1.583236e-01	5.407130e-02	5.673452e-02	2.789583e-02	9.454950e-03
11            	1.916333e-01	4.755692e-02	4.117190e-02	2.372872e-02	9.004647e-03
12            	3.408617e-01	3.973293e-02	2.225881e-02	2.080042e-02	8.475585e-03
13            	2.424638e-01	3.385092e-02	2.575529e-02	1.904630e-02	8.196409e-03
14            	1.609025e-01	3.045583e-02	3.354961e-02	1.790146e-02	7.803398e-03
15            	1.408692e-01	2.787485e-02	3.186280e-02	1.728592e-02	7.682825e-03
16            	1.544100e-01	2.394192e-02	2.458063e-02	1.671361e-02	7.801608e-03
17            	2.136462e-01	1.912529e-02	1.494612e-02	1.619842e-02	7.806610e-03
18            	3.592907e-01	1.564064e-02	8.599537e-03	1.560093e-02	7.536494e-03
19            	3.464909e-01	1.506219e-02	1.018242e-02	1.509749e-02	7.527752e-03
20            	2.613059e-01	1.499104e-02	1.319375e-02	1.463151e-02	7.774424e-03
21            	2.203064e-01	1.435999e-02	1.343891e-02	1.425973e-02	7.743060e-03
22            	1.985767e-01	1.325471e-02	1.159113e-02	1.392874e-02	7.629982e-03
23            	2.032562e-01	1.215123e-02	8.474588e-03	1.363934e-02	7.587733e-03
24            	2.243137e-01	1.106119e-02	7.068718e-03	1.335098e-02	7.911270e-03
25            	1.978847e-01	9.945174e-03	7.269232e-03	1.299589e-02	8.061204e-03
26            	1.895429e-01	9.166700e-03	7.309660e-03	1.258106e-02	7.939897e-03
27            	1.847388e-01	9.064327e-03	6.775290e-03	1.213013e-02	7.714295e-03
28            	1.779562e-01	9.302332e-03	6.143732e-03	1.163244e-02	7.465487e-03
29            	1.724165e-01	9.314155e-03	5.504728e-03	1.115851e-02	7.129207e-03
30            	1.652560e-01	9.058684e-03	4.935623e-03	1.070268e-02	6.898643e-03
31            	1.546025e-01	8.609378e-03	4.618318e-03	1.033087e-02	6.609803e-03
32            	1.386292e-01	8.124313e-03	4.485220e-03	1.000156e-02	6.405855e-03
33            	1.328273e-01	7.713856e-03	4.394424e-03	9.715978e-03	6.218036e-03
34            	1.397803e-01	7.422529e-03	4.271655e-03	9.487794e-03	6.028178e-03
35            	1.483180e-01	7.110930e-03	4.119673e-03	9.280218e-03	5.896500e-03
36            	1.501911e-01	6.731609e-03	3.944517e-03	9.090162e-03	5.771265e-03
37            	1.426718e-01	6.325110e-03	3.904868e-03	8.932544e-03	5.642694e-03
38            	1.288411e-01	5.985668e-03	3.989025e-03	8.769780e-03	5.553081e-03
39            	1.122789e-01	5.809256e-03	4.058712e-03	8.606453e-03	5.416650e-03
40            	9.596410e-02	5.693186e-03	4.066352e-03	8.460343e-03	5.294672e-03
41            	8.283620e-02	5.598304e-03	3.995441e-03	8.304567e-03	5.183398e-03
42            	7.371088e-02	5.534892e-03	3.870569e-03	8.143253e-03	5.077519e-03
43            	7.080362e-02	5.485852e-03	3.692889e-03	7.986354e-03	4.986205e-03
44            	7.177178e-02	5.426189e-03	3.488812e-03	7.830512e-03	4.885231e-03
45            	7.315199e-02	5.356613e-03	3.315614e-03	7.676251e-03	4.772005e-03
46            	7.221306e-02	5.286791e-03	3.245545e-03	7.518301e-03	4.668592e-03
47            	6.863727e-02	5.221066e-03	3.246281e-03	7.362761e-03	4.556831e-03
48            	6.267393e-02	5.155310e-03	3.264386e-03	7.207590e-03	4.457839e-03
49            	5.580591e-02	5.073138e-03	3.267878e-03	7.066359e-03	4.347609e-03
50            	4.933434e-02	4.964066e-03	3.245422e-03	6.943232e-03	4.260019e-03
51            	4.378344e-02	4.833811e-03	3.205177e-03	6.822431e-03	4.173092e-03
52            	4.140041e-02	4.699979e-03	3.155349e-03	6.689488e-03	4.103561e-03
53            	4.133444e-02	4.575946e-03	3.105539e-03	6.575868e-03	4.031746e-03
54            	4.251049e-02	4.474862e-03	3.063176e-03	6.461976e-03	3.980268e-03
55            	4.232137e-02	4.398554e-03	3.035618e-03	6.365571e-03	3.924281e-03
56            	4.089993e-02	4.340820e-03	3.032611e-03	6.257877e-03	3.864278e-03
57            	3.846378e-02	4.297517e-03	3.027711e-03	6.155933e-03	3.822371e-03
58            	3.553406e-02	4.258231e-03	3.010247e-03	6.050221e-03	3.773504e-03
59            	3.256081e-02	4.214767e-03	2.979879e-03	5.947752e-03	3.724748e-03
60            	2.985606e-02	4.164956e-03	2.938506e-03	5.849440e-03	3.673045e-03
61            	2.793041e-02	4.110187e-03	2.889995e-03	5.753077e-03	3.623055e-03
62            	2.731951e-02	4.052884e-03	2.842283e-03	5.665169e-03	3.561491e-03
63            	2.718446e-02	3.997483e-03	2.809353e-03	5.571251e-03	3.502338e-03
64            	2.693399e-02	3.944773e-03	2.788642e-03	5.481427e-03	3.456655e-03
65            	2.608788e-02	3.892260e-03	2.774238e-03	5.394189e-03	3.400045e-03
66            	2.479449e-02	3.840260e-03	2.761526e-03	5.312163e-03	3.339918e-03
67            	2.348033e-02	3.787607e-03	2.748618e-03	5.236274e-03	3.293318e-03
68            	2.225994e-02	3.735166e-03	2.734141e-03	5.161550e-03	3.257750e-03
69            	2.106718e-02	3.682208e-03	2.716586e-03	5.088276e-03	3.211437e-03
70            	2.041996e-02	3.632733e-03	2.697948e-03	5.019638e-03	3.178568e-03
71            	2.055493e-02	3.587294e-03	2.678536e-03	4.958138e-03	3.142231e-03
72            	2.091434e-02	3.544320e-03	2.659346e-03	4.898690e-03	3.111096e-03
73            	2.106168e-02	3.502913e-03	2.641754e-03	4.835167e-03	3.075805e-03
74            	2.083035e-02	3.464003e-03	2.625292e-03	4.775423e-03	3.050838e-03
75            	2.024280e-02	3.427206e-03	2.608983e-03	4.718071e-03	3.019930e-03
76            	1.960683e-02	3.390911e-03	2.592650e-03	4.661862e-03	2.987351e-03
77            	1.903501e-02	3.354753e-03	2.576574e-03	4.608426e-03	2.961768e-03
78            	1.856958e-02	3.317436e-03	2.560034e-03	4.556681e-03	2.930131e-03
79            	1.821473e-02	3.280873e-03	2.544070e-03	4.503820e-03	2.895341e-03
80            	1.797252e-02	3.245135e-03	2.529640e-03	4.455969e-03	2.870854e-03
81            	1.786155e-02	3.210036e-03	2.516245e-03	4.407615e-03	2.845481e-03
82            	1.785831e-02	3.175855e-03	2.503368e-03	4.363668e-03	2.811882e-03
83            	1.780262e-02	3.143129e-03	2.490708e-03	4.319948e-03	2.787275e-03
84            	1.765067e-02	3.111418e-03	2.478156e-03	4.279148e-03	2.757350e-03
85            	1.749108e-02	3.079788e-03	2.465962e-03	4.239105e-03	2.727250e-03
86            	1.735264e-02	3.048211e-03	2.453493e-03	4.199122e-03	2.707919e-03
87            	1.722221e-02	3.018713e-03	2.440429e-03	4.162771e-03	2.682610e-03
88            	1.714757e-02	2.990090e-03	2.427206e-03	4.129158e-03	2.651954e-03
89            	1.717257e-02	2.961454e-03	2.413756e-03	4.096479e-03	2.633110e-03
90            	1.714719e-02	2.934015e-03	2.399883e-03	4.064719e-03	2.613800e-03
91            	1.712605e-02	2.908282e-03	2.385900e-03	4.035021e-03	2.587907e-03
92            	1.704546e-02	2.884747e-03	2.372450e-03	4.004899e-03	2.567787e-03
93            	1.692130e-02	2.860250e-03	2.359095e-03	3.973944e-03	2.544908e-03
94            	1.680942e-02	2.835836e-03	2.345465e-03	3.941306e-03	2.521419e-03
95            	1.673198e-02	2.812645e-03	2.331686e-03	3.911995e-03	2.501999e-03
96            	1.668179e-02	2.790338e-03	2.317850e-03	3.882971e-03	2.474890e-03
97            	1.664258e-02	2.767655e-03	2.304619e-03	3.856123e-03	2.449215e-03
98            	1.657885e-02	2.744047e-03	2.291887e-03	3.830391e-03	2.426702e-03
99            	1.654061e-02	2.720914e-03	2.279388e-03	3.804572e-03	2.405839e-03
100           	1.654361e-02	2.698805e-03	2.266312e-03	3.775823e-03	2.377195e-03
101           	1.654203e-02	2.678052e-03	2.253135e-03	3.751277e-03	2.359525e-03
102           	1.650473e-02	2.656599e-03	2.240079e-03	3.726855e-03	2.336852e-03
103           	1.647459e-02	2.634550e-03	2.226975e-03	3.702658e-03	2.312612e-03
104           	1.647218e-02	2.612850e-03	2.214203e-03	3.675078e-03	2.295158e-03
105           	1.645664e-02	2.592859e-03	2.201467e-03	3.649329e-03	2.273671e-03
106           	1.642380e-02	2.574092e-03	2.188736e-03	3.627324e-03	2.247789e-03
107           	1.640777e-02	2.554918e-03	2.175225e-03	3.605574e-03	2.229965e-03
108           	1.637776e-02	2.535526e-03	2.161652e-03	3.581593e-03	2.210379e-03
109           	1.637487e-02	2.516144e-03	2.148481e-03	3.558517e-03	2.187826e-03
110           	1.635438e-02	2.498358e-03	2.135495e-03	3.533566e-03	2.169361e-03
111           	1.628427e-02	2.482039e-03	2.122300e-03	3.510209e-03	2.150129e-03
112           	1.619880e-02	2.464566e-03	2.109093e-03	3.487416e-03	2.125566e-03
113           	1.620265e-02	2.446296e-03	2.096113e-03	3.463478e-03	2.110121e-03
114           	1.620571e-02	2.427607e-03	2.083570e-03	3.440960e-03	2.088892e-03
115           	1.618127e-02	2.410271e-03	2.070837e-03	3.419133e-03	2.066930e-03
116           	1.612894e-02	2.394571e-03	2.058336e-03	3.397913e-03	2.049525e-03
117           	1.607579e-02	2.378285e-03	2.045693e-03	3.376597e-03	2.031606e-03
118           	1.602070e-02	2.361538e-03	2.033261e-03	3.355128e-03	2.008726e-03
119           	1.600270e-02	2.344204e-03	2.020881e-03	3.333815e-03	1.994135e-03
120           	1.599942e-02	2.327725e-03	2.008224e-03	3.312277e-03	1.972400e-03
121           	1.599113e-02	2.313555e-03	1.995458e-03	3.291708e-03	1.952733e-03
122           	1.594776e-02	2.298702e-03	1.982943e-03	3.271574e-03	1.937056e-03
123           	1.590965e-02	2.283579e-03	1.970950e-03	3.250719e-03	1.921214e-03
124           	1.586629e-02	2.268193e-03	1.958758e-03	3.229709e-03	1.901013e-03
125           	1.584547e-02	2.253138e-03	1.946301e-03	3.210364e-03	1.887236e-03
126           	1.580591e-02	2.240462e-03	1.934128e-03	3.191594e-03	1.869177e-03
127           	1.575803e-02	2.227899e-03	1.922348e-03	3.172293e-03	1.849650e-03
128           	1.569500e-02	2.214554e-03	1.910725e-03	3.154212e-03	1.836051e-03
129           	1.565002e-02	2.200694e-03	1.899136e-03	3.135402e-03	1.820106e-03
130           	1.559575e-02	2.186298e-03	1.887496e-03	3.115122e-03	1.801341e-03
131           	1.557500e-02	2.173304e-03	1.876186e-03	3.096453e-03	1.789277e-03
132           	1.554297e-02	2.161903e-03	1.864828e-03	3.077506e-03	1.772507e-03
133           	1.551322e-02	2.149887e-03	1.853393e-03	3.059644e-03	1.757002e-03
134           	1.544356e-02	2.137475e-03	1.842310e-03	3.042360e-03	1.743263e-03
135           	1.540088e-02	2.124537e-03	1.831388e-03	3.023948e-03	1.730104e-03
136           	1.536236e-02	2.111858e-03	1.820826e-03	3.006053e-03	1.712290e-03
137           	1.534179e-02	2.101025e-03	1.810106e-03	2.988759e-03	1.699993e-03
138           	1.529294e-02	2.090264e-03	1.799556e-03	2.972689e-03	1.685516e-03
139           	1.525562e-02	2.078738e-03	1.789105e-03	2.956053e-03	1.668836e-03
140           	1.522140e-02	2.066279e-03	1.778671e-03	2.940000e-03	1.656713e-03
141           	1.521751e-02	2.053527e-03	1.768506e-03	2.923513e-03	1.644626e-03
142           	1.516179e-02	2.042591e-03	1.758178e-03	2.907800e-03	1.628149e-03
143           	1.511408e-02	2.033063e-03	1.747985e-03	2.891205e-03	1.618795e-03
144           	1.506496e-02	2.023100e-03	1.738084e-03	2.875250e-03	1.604509e-03
145           	1.504325e-02	2.011927e-03	1.728333e-03	2.859858e-03	1.590103e-03
146           	1.501293e-02	1.999907e-03	1.718767e-03	2.845227e-03	1.577802e-03
147           	1.497777e-02	1.988032e-03	1.708957e-03	2.829209e-03	1.566521e-03
148           	1.490190e-02	1.978321e-03	1.699229e-03	2.814459e-03	1.550690e-03
149           	1.482826e-02	1.968912e-03	1.689639e-03	2.798919e-03	1.541632e-03
150           	1.476284e-02	1.958713e-03	1.680158e-03	2.783433e-03	1.528404e-03
151           	1.473956e-02	1.947673e-03	1.670815e-03	2.768394e-03	1.513739e-03
152           	1.470760e-02	1.936240e-03	1.661526e-03	2.754706e-03	1.502834e-03
153           	1.469163e-02	1.925951e-03	1.652252e-03	2.739510e-03	1.492194e-03
154           	1.461318e-02	1.917720e-03	1.643017e-03	2.725754e-03	1.476353e-03
155           	1.454663e-02	1.909215e-03	1.633648e-03	2.711741e-03	1.468254e-03
156           	1.449379e-02	1.899770e-03	1.624555e-03	2.697305e-03	1.455742e-03
157           	1.446225e-02	1.888879e-03	1.615640e-03	2.682888e-03	1.442779e-03
158           	1.440261e-02	1.877542e-03	1.606743e-03	2.669687e-03	1.432213e-03
159           	1.435889e-02	1.868188e-03	1.597846e-03	2.654996e-03	1.422726e-03
160           	1.427559e-02	1.860058e-03	1.588536e-03	2.641424e-03	1.407627e-03
161           	1.421645e-02	1.851678e-03	1.579259e-03	2.627584e-03	1.400128e-03
162           	1.413920e-02	1.842113e-03	1.570532e-03	2.613934e-03	1.388246e-03
163           	1.409773e-02	1.831439e-03	1.561746e-03	2.600106e-03	1.375126e-03
164           	1.404062e-02	1.820124e-03	1.552878e-03	2.587477e-03	1.366680e-03
165           	1.398042e-02	1.811062e-03	1.543844e-03	2.574673e-03	1.357421e-03
166           	1.388064e-02	1.802863e-03	1.534716e-03	2.562264e-03	1.343745e-03
167           	1.381181e-02	1.794068e-03	1.525374e-03	2.548884e-03	1.336569e-03
168           	1.372149e-02	1.784312e-03	1.515900e-03	2.535947e-03	1.325445e-03
169           	1.366871e-02	1.773663e-03	1.506996e-03	2.522133e-03	1.314066e-03
170           	1.360088e-02	1.762488e-03	1.497987e-03	2.509084e-03	1.305434e-03
171           	1.352842e-02	1.752419e-03	1.488808e-03	2.495991e-03	1.297598e-03
172           	1.343532e-02	1.743323e-03	1.479777e-03	2.484306e-03	1.284993e-03
173           	1.336543e-02	1.734586e-03	1.470067e-03	2.470813e-03	1.279106e-03
174           	1.324207e-02	1.725108e-03	1.460179e-03	2.458264e-03	1.269274e-03
175           	1.315295e-02	1.714766e-03	1.450534e-03	2.444730e-03	1.258501e-03
176           	1.306256e-02	1.704213e-03	1.441309e-03	2.431092e-03	1.249740e-03
177           	1.297831e-02	1.695028e-03	1.431941e-03	2.417816e-03	1.241776e-03
178           	1.287517e-02	1.685191e-03	1.422628e-03	2.405513e-03	1.229191e-03
179           	1.282021e-02	1.675317e-03	1.412868e-03	2.392868e-03	1.223733e-03
180           	1.272269e-02	1.666018e-03	1.402789e-03	2.380341e-03	1.214874e-03
181           	1.262281e-02	1.656906e-03	1.392684e-03	2.367315e-03	1.204891e-03
182           	1.252885e-02	1.647552e-03	1.382805e-03	2.354530e-03	1.197152e-03
183           	1.243993e-02	1.639191e-03	1.372941e-03	2.340869e-03	1.190211e-03
184           	1.232788e-02	1.629892e-03	1.363364e-03	2.328167e-03	1.177186e-03
185           	1.224702e-02	1.620040e-03	1.353567e-03	2.315182e-03	1.171395e-03
186           	1.233649e-02	1.610768e-03	1.343581e-03	2.302880e-03	1.165898e-03
