# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	1.151523e+01	1.444246e+01	1.193225e+01
0             	fuel_inlet	3.044244e+02	3.044244e+02	3.044244e+02
0             	back	7.887793e+00	1.019306e+01	7.999643e+00
0             	sides	1.122379e+01	1.122676e+01	1.122528e+01
100           	splitter	2.934100e+01	5.288196e+01	3.324703e+01
100           	fuel_inlet	2.952537e+01	1.259390e+02	6.858513e+01
100           	back	1.076748e+01	1.630792e+01	1.392397e+01
100           	sides	1.698815e+01	2.730183e+01	2.184427e+01
200           	splitter	3.266986e+01	5.668665e+01	3.676543e+01
200           	fuel_inlet	3.008794e+01	1.281504e+02	6.950635e+01
200           	back	1.117226e+01	1.813031e+01	1.456712e+01
200           	sides	1.698265e+01	2.751885e+01	2.268721e+01
300           	splitter	3.333680e+01	5.733369e+01	3.745277e+01
300           	fuel_inlet	2.815848e+01	1.284591e+02	6.879394e+01
300           	back	1.093430e+01	1.832274e+01	1.441680e+01
300           	sides	1.698503e+01	2.791325e+01	2.329721e+01
400           	splitter	3.348204e+01	5.748354e+01	3.760848e+01
400           	fuel_inlet	2.790299e+01	1.282732e+02	6.855591e+01
400           	back	1.081266e+01	1.787471e+01	1.401620e+01
400           	sides	1.698382e+01	2.822068e+01	2.356227e+01
500           	splitter	3.350592e+01	5.749778e+01	3.763558e+01
500           	fuel_inlet	2.822402e+01	1.278733e+02	6.854638e+01
500           	back	1.095466e+01	1.744534e+01	1.373661e+01
500           	sides	1.698155e+01	2.825838e+01	2.364010e+01
600           	splitter	3.350525e+01	5.749476e+01	3.763480e+01
600           	fuel_inlet	2.851746e+01	1.276628e+02	6.858773e+01
600           	back	1.066171e+01	1.708488e+01	1.333170e+01
600           	sides	1.698497e+01	2.802098e+01	2.365007e+01
700           	splitter	3.350134e+01	5.749363e+01	3.763274e+01
700           	fuel_inlet	2.859053e+01	1.274032e+02	6.862691e+01
700           	back	1.073880e+01	1.682935e+01	1.312733e+01
700           	sides	1.698089e+01	2.799601e+01	2.363493e+01
800           	splitter	3.350077e+01	5.749248e+01	3.763198e+01
800           	fuel_inlet	2.861278e+01	1.272349e+02	6.865092e+01
800           	back	1.046508e+01	1.666672e+01	1.293703e+01
800           	sides	1.698527e+01	2.802690e+01	2.360653e+01
900           	splitter	3.349868e+01	5.749263e+01	3.763201e+01
900           	fuel_inlet	2.840880e+01	1.272388e+02	6.865926e+01
900           	back	1.048723e+01	1.655788e+01	1.287883e+01
900           	sides	1.698174e+01	2.802096e+01	2.358312e+01
1000          	splitter	3.350127e+01	5.749326e+01	3.763263e+01
1000          	fuel_inlet	2.840582e+01	1.270719e+02	6.865456e+01
1000          	back	1.053763e+01	1.649096e+01	1.278828e+01
1000          	sides	1.698252e+01	2.806193e+01	2.357186e+01
