# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	T             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.509095e-01	N/A
2.59207e-05   	1.454392e-01	2.129865e-01	8.656161e-02	3.506052e-02	3.211941e-02	N/A
4.17025e-05   	1.045075e-01	1.509746e-01	7.107164e-02	2.474631e-02	2.314910e-02	N/A
5.9359e-05    	9.557871e-02	1.150484e-01	6.651495e-02	2.082449e-02	1.862689e-02	N/A
7.84024e-05   	8.901519e-02	9.297879e-02	6.172744e-02	1.741027e-02	1.508361e-02	N/A
9.76303e-05   	7.812925e-02	7.688466e-02	5.407679e-02	1.396409e-02	1.191425e-02	N/A
0.000116971   	6.817850e-02	7.084622e-02	4.742657e-02	1.170236e-02	9.937435e-03	N/A
0.000136311   	5.949027e-02	6.777667e-02	4.151943e-02	1.039784e-02	8.735822e-03	N/A
0.000155576   	5.265162e-02	6.429607e-02	3.641007e-02	9.688407e-03	8.072206e-03	N/A
0.000174841   	4.747046e-02	5.914814e-02	3.219583e-02	9.345679e-03	7.838205e-03	N/A
0.000194182   	4.474525e-02	5.186848e-02	2.879587e-02	9.207643e-03	7.797701e-03	N/A
0.000213523   	4.192699e-02	4.407477e-02	2.587516e-02	9.115206e-03	7.789422e-03	N/A
0.000232864   	3.906173e-02	3.837663e-02	2.347174e-02	9.037725e-03	7.764899e-03	N/A
0.000252205   	3.633306e-02	3.506120e-02	2.193463e-02	8.878006e-03	7.682215e-03	N/A
0.000271584   	3.426129e-02	3.339739e-02	2.091700e-02	8.702058e-03	7.499049e-03	N/A
0.000290964   	3.241099e-02	3.195173e-02	1.988396e-02	8.428862e-03	7.276838e-03	N/A
0.000310343   	3.100716e-02	3.018298e-02	1.910837e-02	8.152274e-03	7.010348e-03	N/A
0.000329722   	2.967196e-02	2.816727e-02	1.817334e-02	7.857985e-03	6.709737e-03	N/A
