"T","TMean","TPrime2Mean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","kMean","kPrime2Mean","nut","p","pMean","pPrime2Mean","rho","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.882388e+02,2.882388e+02,8.484609e-11,4.900448e-02,1.671670e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.367043e-04,3.584274e+06,2.077026e+02,2.077026e+02,6.548603e-11,1.288474e-04,1.294920e+05,1.300017e+05,8.931252e+04,1.561539e+00,2.292090e+02,1,0.000000e+00,-1.200000e-01,1.000000e-01,0.000000e+00
2.878654e+02,2.878654e+02,4.085992e-11,3.620373e-02,1.717147e+02,0.000000e+00,4.711192e-03,6.449995e+01,0.000000e+00,4.009689e-09,5.422566e-04,0.000000e+00,-3.139108e-07,0.000000e+00,0.000000e+00,7.519542e-04,3.036328e+06,1.845528e+02,1.845528e+02,4.793333e-11,4.655969e-04,1.294919e+05,1.300017e+05,8.931238e+04,1.563577e+00,1.470356e+02,1,2.399981e-04,-1.197600e-01,1.000000e-01,0.000000e+00
2.874919e+02,2.874919e+02,-3.127605e-12,2.340258e-02,1.762625e+02,0.000000e+00,9.422529e-03,1.290019e+02,0.000000e+00,8.019502e-09,1.084530e-03,0.000000e+00,-6.278312e-07,0.000000e+00,0.000000e+00,1.267220e-03,2.488365e+06,1.614024e+02,1.614024e+02,3.038009e-11,8.023567e-04,1.294918e+05,1.300017e+05,8.931226e+04,1.565615e+00,6.485965e+01,1,4.800037e-04,-1.195200e-01,1.000000e-01,0.000000e+00
2.870805e+02,2.870805e+02,-4.288764e-11,5.884683e-03,1.809682e+02,0.000000e+00,5.722292e-03,1.810275e+02,0.000000e+00,1.236710e-08,1.487405e-03,0.000000e+00,-8.651617e-07,0.000000e+00,0.000000e+00,1.823559e-03,1.941396e+06,1.385327e+02,1.385327e+02,1.455836e-11,1.162384e-03,1.294915e+05,1.300015e+05,8.931191e+04,1.567861e+00,0.000000e+00,1,7.200018e-04,-1.192800e-01,1.000000e-01,0.000000e+00
2.865272e+02,2.865272e+02,-6.681603e-11,-2.930431e-02,1.862655e+02,0.000000e+00,-2.948827e-02,1.863223e+02,0.000000e+00,1.798053e-08,1.368137e-03,0.000000e+00,-8.156123e-07,0.000000e+00,0.000000e+00,2.533822e-03,1.398082e+06,1.167117e+02,1.167117e+02,5.221094e-12,1.609613e-03,1.294908e+05,1.300007e+05,8.931076e+04,1.570887e+00,0.000000e+00,1,9.599999e-04,-1.190400e-01,1.000000e-01,0.000000e+00
2.859738e+02,2.859738e+02,-9.074442e-11,-6.449329e-02,1.915630e+02,0.000000e+00,-6.469883e-02,1.916171e+02,0.000000e+00,2.359397e-08,1.248869e-03,0.000000e+00,-7.660628e-07,0.000000e+00,0.000000e+00,3.244085e-03,8.547678e+05,9.489082e+01,9.489082e+01,-4.116173e-12,2.056842e-03,1.294901e+05,1.299999e+05,8.930961e+04,1.573913e+00,0.000000e+00,1,1.199998e-03,-1.188000e-01,1.000000e-01,0.000000e+00
2.854231e+02,2.854231e+02,-1.151373e-10,-9.979094e-02,1.968253e+02,0.000000e+00,-1.000181e-01,1.968769e+02,0.000000e+00,2.924446e-08,1.130311e-03,0.000000e+00,-7.163777e-07,0.000000e+00,0.000000e+00,3.975975e-03,3.158242e+05,7.327854e+01,7.327854e+01,-1.325346e-11,2.517733e-03,1.294893e+05,1.299991e+05,8.930844e+04,1.576924e+00,0.000000e+00,1,1.440004e-03,-1.185600e-01,1.000000e-01,0.000000e+00
2.851598e+02,2.851598e+02,-1.895273e-10,-1.466858e-01,1.982874e+02,0.000000e+00,-1.469364e-01,1.983381e+02,0.000000e+00,3.887175e-08,1.088730e-03,0.000000e+00,-6.522259e-07,0.000000e+00,0.000000e+00,7.037325e-03,2.499367e+05,7.423699e+01,7.423699e+01,-7.964313e-13,4.450231e-03,1.294870e+05,1.299966e+05,8.930469e+04,1.578351e+00,0.000000e+00,1,1.680002e-03,-1.183200e-01,1.000000e-01,0.000000e+00
2.848965e+02,2.848965e+02,-2.639174e-10,-1.935807e-01,1.997495e+02,0.000000e+00,-1.938548e-01,1.997992e+02,0.000000e+00,4.849904e-08,1.047149e-03,0.000000e+00,-5.880741e-07,0.000000e+00,0.000000e+00,1.009868e-02,1.840491e+05,7.519543e+01,7.519543e+01,1.166060e-11,6.382729e-03,1.294846e+05,1.299942e+05,8.930094e+04,1.579778e+00,0.000000e+00,1,1.920000e-03,-1.180800e-01,1.000000e-01,0.000000e+00
2.846332e+02,2.846332e+02,-3.383075e-10,-2.404756e-01,2.012116e+02,0.000000e+00,-2.407732e-01,2.012604e+02,0.000000e+00,5.812634e-08,1.005567e-03,0.000000e+00,-5.239223e-07,0.000000e+00,0.000000e+00,1.316002e-02,1.181616e+05,7.615388e+01,7.615388e+01,2.411763e-11,8.315227e-03,1.294823e+05,1.299917e+05,8.929719e+04,1.581205e+00,0.000000e+00,1,2.159998e-03,-1.178400e-01,1.000000e-01,0.000000e+00
2.844308e+02,2.844308e+02,-3.516016e-10,-2.877230e-01,2.023072e+02,0.000000e+00,-2.880438e-01,2.023553e+02,0.000000e+00,6.895782e-08,9.752229e-04,0.000000e+00,-4.529803e-07,0.000000e+00,0.000000e+00,1.713009e-02,7.123825e+04,7.819788e+01,7.819788e+01,3.433601e-11,1.082092e-02,1.294793e+05,1.299886e+05,8.929245e+04,1.582289e+00,0.000000e+00,1,2.400003e-03,-1.176000e-01,1.000000e-01,0.000000e+00
2.843493e+02,2.843493e+02,-2.433885e-10,-3.356672e-01,2.026737e+02,0.000000e+00,-3.360104e-01,2.027216e+02,0.000000e+00,8.218317e-08,9.672289e-04,0.000000e+00,-3.685407e-07,0.000000e+00,0.000000e+00,2.290701e-02,6.203478e+04,8.240057e+01,8.240057e+01,4.010128e-11,1.446634e-02,1.294749e+05,1.299842e+05,8.928576e+04,1.582690e+00,0.000000e+00,1,2.640001e-03,-1.173600e-01,1.000000e-01,0.000000e+00
2.842679e+02,2.842679e+02,-1.351753e-10,-3.836114e-01,2.030401e+02,0.000000e+00,-3.839771e-01,2.030879e+02,0.000000e+00,9.540852e-08,9.592348e-04,0.000000e+00,-2.841011e-07,0.000000e+00,0.000000e+00,2.868393e-02,5.283130e+04,8.660326e+01,8.660326e+01,4.586655e-11,1.811175e-02,1.294706e+05,1.299799e+05,8.927907e+04,1.583091e+00,0.000000e+00,1,2.880000e-03,-1.171200e-01,1.000000e-01,0.000000e+00
2.841865e+02,2.841865e+02,-2.696215e-11,-4.315556e-01,2.034066e+02,0.000000e+00,-4.319437e-01,2.034542e+02,0.000000e+00,1.086339e-07,9.512408e-04,0.000000e+00,-1.996615e-07,0.000000e+00,0.000000e+00,3.446085e-02,4.362782e+04,9.080595e+01,9.080595e+01,5.163182e-11,2.175717e-02,1.294663e+05,1.299756e+05,8.927238e+04,1.583491e+00,0.000000e+00,1,3.119998e-03,-1.168800e-01,1.000000e-01,0.000000e+00
2.841104e+02,2.841104e+02,6.360238e-11,-4.794442e-01,2.037476e+02,0.000000e+00,-4.798549e-01,2.037949e+02,0.000000e+00,1.223386e-07,9.439873e-04,0.000000e+00,-1.193633e-07,0.000000e+00,0.000000e+00,4.038692e-02,3.525274e+04,9.494956e+01,9.494956e+01,5.612694e-11,2.549658e-02,1.294618e+05,1.299711e+05,8.926547e+04,1.583860e+00,0.000000e+00,1,3.360003e-03,-1.166400e-01,1.000000e-01,0.000000e+00
2.840750e+02,2.840750e+02,2.087161e-11,-5.269004e-01,2.038954e+02,0.000000e+00,-5.273350e-01,2.039428e+02,0.000000e+00,1.396595e-07,9.423280e-04,0.000000e+00,-7.035903e-08,0.000000e+00,0.000000e+00,4.743765e-02,3.313539e+04,9.864597e+01,9.864597e+01,5.102953e-11,2.994480e-02,1.294561e+05,1.299654e+05,8.925695e+04,1.583989e+00,0.000000e+00,1,3.600001e-03,-1.164000e-01,1.000000e-01,0.000000e+00
2.840396e+02,2.840396e+02,-2.185916e-11,-5.743564e-01,2.040433e+02,0.000000e+00,-5.748151e-01,2.040906e+02,0.000000e+00,1.569805e-07,9.406685e-04,0.000000e+00,-2.135478e-08,0.000000e+00,0.000000e+00,5.448839e-02,3.101805e+04,1.023424e+02,1.023424e+02,4.593212e-11,3.439302e-02,1.294505e+05,1.299597e+05,8.924844e+04,1.584118e+00,0.000000e+00,1,3.839999e-03,-1.161600e-01,1.000000e-01,0.000000e+00
