# Region type : patch sides
# Faces  :    260
# Area   :    3.200000e-03
# Time        	average(wallHeatFlux)
0             	9.256966e+04
5.99988e-07   	9.256199e+04
1.31994e-06   	9.255317e+04
2.18383e-06   	9.254324e+04
3.22041e-06   	9.253222e+04
4.46426e-06   	9.251996e+04
5.95679e-06   	9.250597e+04
7.74784e-06   	9.248951e+04
9.89671e-06   	9.246974e+04
1.24748e-05   	9.244583e+04
1.55679e-05   	9.241704e+04
1.92796e-05   	9.238246e+04
2.37333e-05   	9.234100e+04
2.90767e-05   	9.229130e+04
3.54889e-05   	9.223168e+04
4.31835e-05   	9.216015e+04
5.24113e-05   	9.207435e+04
6.34765e-05   	9.203660e+04
7.64484e-05   	9.200192e+04
9.13487e-05   	9.195287e+04
0.000108172   	9.188467e+04
0.000126906   	9.178018e+04
0.00014604    	9.164929e+04
0.000165063   	9.167033e+04
0.00018416    	9.165524e+04
0.000203369   	9.159566e+04
0.000222654   	9.161614e+04
0.000241977   	9.166384e+04
0.000261299   	9.166844e+04
0.000280661   	9.163389e+04
0.000300022   	9.174289e+04
0.000319422   	9.180258e+04
0.000338822   	9.181440e+04
0.000358222   	9.189981e+04
0.000377622   	9.197881e+04
0.000397022   	9.201028e+04
0.000416461   	9.208652e+04
0.0004359     	9.217883e+04
0.000455339   	9.222332e+04
0.000474779   	9.222759e+04
0.000494218   	9.234398e+04
0.000513657   	9.241466e+04
0.000533096   	9.244128e+04
0.000552535   	9.254334e+04
0.000571975   	9.262710e+04
0.000591414   	9.266188e+04
0.000610853   	9.275528e+04
0.000630292   	9.283728e+04
0.000649732   	9.286677e+04
0.000669171   	9.294718e+04
0.00068861    	9.301048e+04
0.000708049   	9.301686e+04
0.000727489   	9.307223e+04
0.000746969   	9.310143e+04
0.000766408   	9.307304e+04
0.000785847   	9.310484e+04
0.000805164   	9.310869e+04
0.000822097   	9.307628e+04
0.000837394   	9.310640e+04
0.00085149    	9.313285e+04
0.000864807   	9.314071e+04
