# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
0.01          	3.000000e+02
0.02          	3.000000e+02
0.03          	3.000000e+02
0.04          	3.000000e+02
0.05          	3.000000e+02
0.06          	3.000000e+02
0.07          	3.000000e+02
0.08          	3.000000e+02
0.09          	3.000000e+02
0.1           	3.000000e+02
0.11          	3.000000e+02
0.12          	3.000000e+02
0.13          	3.000000e+02
0.14          	3.000000e+02
0.15          	3.000000e+02
0.16          	3.000000e+02
0.17          	3.000000e+02
0.18          	3.000000e+02
0.19          	3.000000e+02
0.2           	3.000000e+02
