# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
5.99988e-07   	3.000016e+02
1.31994e-06   	3.000036e+02
2.18383e-06   	3.000059e+02
3.22041e-06   	3.000086e+02
4.46426e-06   	3.000118e+02
5.95679e-06   	3.000155e+02
7.74784e-06   	3.000199e+02
9.89671e-06   	3.000251e+02
1.24748e-05   	3.000312e+02
1.55679e-05   	3.000384e+02
1.92796e-05   	3.000468e+02
2.37333e-05   	3.000567e+02
2.90767e-05   	3.000684e+02
3.54889e-05   	3.000822e+02
4.31835e-05   	3.000985e+02
5.24113e-05   	3.001178e+02
6.34765e-05   	3.001409e+02
7.64484e-05   	3.001679e+02
9.13487e-05   	3.001990e+02
0.000108172   	3.002345e+02
0.000126906   	3.002744e+02
0.00014604    	3.003159e+02
0.000165063   	3.003577e+02
0.00018416    	3.004004e+02
0.000203369   	3.004441e+02
0.000222654   	3.004886e+02
0.000241977   	3.005338e+02
0.000261299   	3.005794e+02
0.000280661   	3.006256e+02
0.000300022   	3.006723e+02
0.000319422   	3.007194e+02
0.000338822   	3.007668e+02
0.000358222   	3.008147e+02
0.000377622   	3.008628e+02
0.000397022   	3.009113e+02
0.000416461   	3.009602e+02
0.0004359     	3.010094e+02
0.000455339   	3.010589e+02
0.000474779   	3.011087e+02
0.000494218   	3.011587e+02
0.000513657   	3.012090e+02
0.000533096   	3.012595e+02
0.000552535   	3.013103e+02
0.000571975   	3.013614e+02
0.000591414   	3.014127e+02
0.000610853   	3.014644e+02
0.000630292   	3.015163e+02
0.000649732   	3.015686e+02
0.000669171   	3.016211e+02
0.00068861    	3.016740e+02
0.000708049   	3.017273e+02
0.000727489   	3.017809e+02
0.000746969   	3.018351e+02
0.000766408   	3.018896e+02
0.000785847   	3.019446e+02
0.000805164   	3.020000e+02
0.000822097   	3.020492e+02
0.000837394   	3.020942e+02
0.00085149    	3.021363e+02
0.000864807   	3.021767e+02
0.000877583   	3.022162e+02
0.000889995   	3.022553e+02
0.000902157   	3.022946e+02
0.000914144   	3.023343e+02
0.000926021   	3.023748e+02
0.000937836   	3.024165e+02
0.00094962    	3.024596e+02
0.000961405   	3.025045e+02
0.00097322    	3.025517e+02
0.000985082   	3.026014e+02
0.000997022   	3.026542e+02
0.00100904    	3.027107e+02
0.00102118    	3.027714e+02
0.00103342    	3.028368e+02
0.00104581    	3.029079e+02
0.00105835    	3.029853e+02
0.00107103    	3.030697e+02
0.00108388    	3.031622e+02
0.0010969     	3.032636e+02
0.00111009    	3.033748e+02
0.00112346    	3.034968e+02
0.00113701    	3.036304e+02
0.00115073    	3.037762e+02
