# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((9.159340e-16 -3.552714e-15 5.364101e-18) (0.000000e+00 -1.313888e-01 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.527422e-20 3.534142e-19 -2.775558e-17) (0.000000e+00 0.000000e+00 -2.168404e-19) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((4.993010e-05 6.938903e+00 -5.652701e-19) (-9.146209e-06 -1.418161e-02 -6.689781e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.043898e-20 5.944647e-19 -3.274516e-07) (-1.355828e-22 -4.008537e-21 3.347758e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((5.611301e-05 6.508480e+00 1.731085e-19) (-7.317909e-06 -1.452280e-02 -2.179557e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.182818e-21 6.009726e-19 -1.314514e-06) (-3.662483e-22 -4.440622e-21 2.620766e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.032271e-05 6.780626e+00 8.129334e-20) (-8.557399e-06 -1.487069e-02 -2.258493e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.501582e-21 6.199006e-19 -1.459525e-06) (-3.818197e-22 -4.646608e-21 2.937490e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.791998e-05 6.960580e+00 5.397662e-20) (-8.966593e-06 -1.520425e-02 -2.725762e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.966956e-22 6.345894e-19 -1.160674e-06) (-4.481746e-22 -4.750204e-21 3.125925e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((-1.330250e-05 7.121653e+00 4.338284e-20) (-9.157387e-06 -1.554077e-02 -2.845770e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.031422e-22 6.484992e-19 -4.051073e-07) (-4.710812e-22 -4.843352e-21 3.197062e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((8.903455e-06 7.280172e+00 2.412691e-20) (-9.714264e-06 -1.585546e-02 -2.670431e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.436249e-22 6.617298e-19 -8.708526e-07) (-4.487171e-22 -4.913498e-21 3.382713e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.813492e-06 7.428365e+00 9.123648e-21) (-1.003262e-05 -1.615321e-02 -2.751487e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.675327e-22 6.742385e-19 -9.363608e-07) (-4.618478e-22 -4.988973e-21 3.482043e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((1.025911e-05 7.568564e+00 -5.727838e-21) (-1.035150e-05 -1.643384e-02 -2.533854e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.083288e-22 6.860334e-19 -9.925672e-07) (-4.363709e-22 -5.064066e-21 3.620113e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((8.402108e-07 7.702115e+00 -2.153314e-20) (-1.064153e-05 -1.669872e-02 -2.865252e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.148795e-22 6.972231e-19 -3.863826e-07) (-4.786945e-22 -5.131753e-21 3.716363e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.150698e-06 7.827058e+00 -3.409990e-20) (-1.075974e-05 -1.694913e-02 -2.891697e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.429011e-22 7.077410e-19 -6.804854e-07) (-4.840411e-22 -5.199236e-21 3.760610e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((7.423813e-06 7.940947e+00 -3.832707e-20) (-1.104616e-05 -1.719015e-02 -2.931319e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.121189e-22 7.177217e-19 -8.477728e-07) (-4.904402e-22 -5.258053e-21 3.845303e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
