# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.767210e+05
0.02          	1.776050e+05
0.03          	1.832839e+05
0.04          	1.876552e+05
0.05          	1.917884e+05
0.06          	1.957269e+05
0.07          	1.994474e+05
0.08          	2.029584e+05
0.09          	2.062799e+05
0.1           	2.094143e+05
0.11          	2.123755e+05
0.12          	2.148727e+05
0.13          	2.171970e+05
0.14          	2.194387e+05
0.15          	2.215708e+05
0.16          	2.236010e+05
0.17          	2.255231e+05
0.18          	2.273540e+05
0.19          	2.291254e+05
0.2           	2.307995e+05
