# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
5.99988e-07   	1.013250e+05
1.31994e-06   	1.013251e+05
2.18383e-06   	1.013251e+05
3.22041e-06   	1.013252e+05
4.46426e-06   	1.013254e+05
5.95679e-06   	1.013257e+05
7.74784e-06   	1.013261e+05
9.89671e-06   	1.013266e+05
1.24748e-05   	1.013273e+05
1.55679e-05   	1.013282e+05
1.92796e-05   	1.013294e+05
2.37333e-05   	1.013307e+05
2.90767e-05   	1.013323e+05
3.54889e-05   	1.013341e+05
4.31835e-05   	1.013360e+05
5.24113e-05   	1.013380e+05
6.34765e-05   	1.013400e+05
7.64484e-05   	1.013418e+05
9.13487e-05   	1.013435e+05
0.000108172   	1.013452e+05
0.000126906   	1.013469e+05
0.00014604    	1.013487e+05
0.000165063   	1.013507e+05
0.00018416    	1.013530e+05
0.000203369   	1.013556e+05
0.000222654   	1.013586e+05
0.000241977   	1.013618e+05
0.000261299   	1.013652e+05
0.000280661   	1.013688e+05
0.000300022   	1.013725e+05
0.000319422   	1.013762e+05
0.000338822   	1.013800e+05
0.000358222   	1.013838e+05
0.000377622   	1.013875e+05
0.000397022   	1.013912e+05
0.000416461   	1.013949e+05
0.0004359     	1.013985e+05
0.000455339   	1.014020e+05
0.000474779   	1.014054e+05
0.000494218   	1.014087e+05
0.000513657   	1.014119e+05
0.000533096   	1.014150e+05
0.000552535   	1.014180e+05
0.000571975   	1.014209e+05
0.000591414   	1.014237e+05
0.000610853   	1.014265e+05
0.000630292   	1.014291e+05
0.000649732   	1.014318e+05
0.000669171   	1.014344e+05
0.00068861    	1.014370e+05
0.000708049   	1.014396e+05
0.000727489   	1.014423e+05
0.000746969   	1.014450e+05
0.000766408   	1.014478e+05
0.000785847   	1.014508e+05
0.000805164   	1.014541e+05
0.000822097   	1.014573e+05
0.000837394   	1.014606e+05
0.00085149    	1.014640e+05
0.000864807   	1.014676e+05
0.000877583   	1.014716e+05
0.000889995   	1.014760e+05
0.000902157   	1.014811e+05
0.000914144   	1.014869e+05
0.000926021   	1.014936e+05
0.000937836   	1.015015e+05
0.00094962    	1.015106e+05
0.000961405   	1.015213e+05
0.00097322    	1.015339e+05
0.000985082   	1.015486e+05
0.000997022   	1.015660e+05
0.00100904    	1.015864e+05
0.00102118    	1.016105e+05
0.00103342    	1.016388e+05
0.00104581    	1.016719e+05
0.00105835    	1.017108e+05
0.00107103    	1.017561e+05
0.00108388    	1.018089e+05
0.0010969     	1.018701e+05
0.00111009    	1.019408e+05
0.00112346    	1.020221e+05
0.00113701    	1.021150e+05
0.00115073    	1.022204e+05
0.00116462    	1.023394e+05
0.00117867    	1.024724e+05
0.00119287    	1.026200e+05
0.00120721    	1.027824e+05
0.0012217     	1.029594e+05
0.00123631    	1.031501e+05
0.00125101    	1.033533e+05
0.00126581    	1.035675e+05
0.00128072    	1.037908e+05
0.00129568    	1.040204e+05
0.00131068    	1.042534e+05
0.00132574    	1.044871e+05
0.00134083    	1.047179e+05
0.00135591    	1.049426e+05
0.00137103    	1.051586e+05
0.00138611    	1.053626e+05
0.0014012     	1.055529e+05
0.00141626    	1.057274e+05
0.00143129    	1.058850e+05
0.0014463     	1.060249e+05
0.00146128    	1.061467e+05
0.00147623    	1.062505e+05
0.00149113    	1.063368e+05
0.00150601    	1.064067e+05
0.00152083    	1.064612e+05
0.00153563    	1.065022e+05
0.00155037    	1.065313e+05
0.0015651     	1.065506e+05
0.00157979    	1.065625e+05
0.00159446    	1.065693e+05
0.00160908    	1.065739e+05
0.00162367    	1.065793e+05
0.00163824    	1.065891e+05
0.00165281    	1.066072e+05
0.00166735    	1.066383e+05
0.00168186    	1.066881e+05
0.00169638    	1.067633e+05
0.00171087    	1.068720e+05
0.00172536    	1.070240e+05
0.00173986    	1.072312e+05
0.00175432    	1.075069e+05
0.00176879    	1.078677e+05
0.00178325    	1.083321e+05
0.00179772    	1.089207e+05
0.00181216    	1.096534e+05
0.0018266     	1.105527e+05
0.00184104    	1.116385e+05
0.00185546    	1.129231e+05
0.00186987    	1.144168e+05
0.00188426    	1.161146e+05
0.00189865    	1.180059e+05
0.00191302    	1.200601e+05
0.00192735    	1.222389e+05
0.00194169    	1.244972e+05
0.00195601    	1.267739e+05
0.00197029    	1.290089e+05
0.00198456    	1.311436e+05
0.00199879    	1.331295e+05
0.00201301    	1.349346e+05
0.00202719    	1.365411e+05
0.00204135    	1.379440e+05
0.00205549    	1.391493e+05
0.0020696     	1.401705e+05
0.00208369    	1.410260e+05
0.00209775    	1.417360e+05
0.00211176    	1.423203e+05
0.00212574    	1.427997e+05
0.00213971    	1.431923e+05
0.00215364    	1.435140e+05
0.00216755    	1.437788e+05
0.00218142    	1.439981e+05
0.00219526    	1.441818e+05
0.00220907    	1.443377e+05
0.00222286    	1.444716e+05
0.00223662    	1.445878e+05
0.00225034    	1.446892e+05
0.00226403    	1.447782e+05
0.0022777     	1.448561e+05
0.00229132    	1.449243e+05
0.00230491    	1.449842e+05
0.00231849    	1.450367e+05
0.00233201    	1.450829e+05
0.00234551    	1.451236e+05
0.00235896    	1.451591e+05
0.00237237    	1.451902e+05
0.00238575    	1.452173e+05
0.00239908    	1.452411e+05
0.00241237    	1.452621e+05
0.00242561    	1.452810e+05
0.00243881    	1.452983e+05
0.00245196    	1.453148e+05
0.00246504    	1.453310e+05
0.00247808    	1.453474e+05
0.00249105    	1.453647e+05
0.00250397    	1.453833e+05
0.00251683    	1.454038e+05
0.00252962    	1.454265e+05
0.00254237    	1.454518e+05
0.00255505    	1.454800e+05
0.00256767    	1.455112e+05
0.00258022    	1.455456e+05
0.00259272    	1.455830e+05
0.00260517    	1.456236e+05
0.00261755    	1.456671e+05
0.00262988    	1.457134e+05
0.00264216    	1.457625e+05
0.00265438    	1.458141e+05
0.00266656    	1.458679e+05
0.00267871    	1.459240e+05
0.00269081    	1.459821e+05
0.00270287    	1.460421e+05
0.00271489    	1.461038e+05
0.00272689    	1.461672e+05
0.00273885    	1.462319e+05
0.0027508     	1.462979e+05
0.00276272    	1.463651e+05
0.00277462    	1.464332e+05
0.00278653    	1.465022e+05
0.00279841    	1.465719e+05
0.00281029    	1.466423e+05
0.00282216    	1.467131e+05
0.00283402    	1.467844e+05
0.00284589    	1.468560e+05
0.00285775    	1.469279e+05
0.00286962    	1.470001e+05
0.0028815     	1.470726e+05
0.00289338    	1.471453e+05
0.00290529    	1.472184e+05
0.00291719    	1.472918e+05
0.00292912    	1.473656e+05
0.00294104    	1.474398e+05
0.00295298    	1.475146e+05
0.00296495    	1.475899e+05
0.00297693    	1.476659e+05
0.00298894    	1.477426e+05
0.00300094    	1.478200e+05
0.00301297    	1.478984e+05
0.00302502    	1.479778e+05
0.00303708    	1.480585e+05
0.00304917    	1.481405e+05
0.00306126    	1.482238e+05
0.00307337    	1.483088e+05
0.0030855     	1.483956e+05
0.00309765    	1.484844e+05
0.0031098     	1.485751e+05
0.00312198    	1.486683e+05
0.00313415    	1.487638e+05
0.00314635    	1.488621e+05
0.00315854    	1.489633e+05
0.00317076    	1.490676e+05
0.00318297    	1.491753e+05
0.00319519    	1.492866e+05
0.00320741    	1.494016e+05
0.00321963    	1.495207e+05
0.00323184    	1.496441e+05
0.00324406    	1.497721e+05
0.00325628    	1.499049e+05
0.00326849    	1.500428e+05
0.00328071    	1.501859e+05
0.0032929     	1.503343e+05
0.0033051     	1.504882e+05
0.00331729    	1.506478e+05
0.00332947    	1.508129e+05
0.00334164    	1.509838e+05
0.00335379    	1.511601e+05
0.00336594    	1.513419e+05
0.00337807    	1.515286e+05
0.00339017    	1.517201e+05
0.00340228    	1.519162e+05
0.00341436    	1.521161e+05
0.00342642    	1.523192e+05
0.00343849    	1.525252e+05
0.00345053    	1.527331e+05
0.00346257    	1.529425e+05
0.00347458    	1.531520e+05
0.00348658    	1.533608e+05
0.00349857    	1.535686e+05
0.00351055    	1.537741e+05
0.0035225     	1.539765e+05
0.00353445    	1.541754e+05
0.00354638    	1.543696e+05
0.00355831    	1.545588e+05
0.00357021    	1.547420e+05
0.0035821     	1.549184e+05
0.00359398    	1.550878e+05
0.00360585    	1.552492e+05
0.00361771    	1.554026e+05
0.00362955    	1.555472e+05
0.00364139    	1.556831e+05
0.00365323    	1.558099e+05
0.00366505    	1.559272e+05
0.00367687    	1.560348e+05
0.00368867    	1.561322e+05
0.00370046    	1.562195e+05
0.00371226    	1.562966e+05
0.00372404    	1.563635e+05
0.00373581    	1.564202e+05
0.00374759    	1.564669e+05
0.00375934    	1.565037e+05
0.00377109    	1.565309e+05
0.00378284    	1.565488e+05
0.00379457    	1.565577e+05
0.0038063     	1.565580e+05
0.00381803    	1.565499e+05
0.00382977    	1.565337e+05
0.00384147    	1.565097e+05
0.00385318    	1.564783e+05
0.00386489    	1.564398e+05
0.0038766     	1.563953e+05
0.00388828    	1.563464e+05
0.00389997    	1.562944e+05
0.00391166    	1.562414e+05
0.00392334    	1.561907e+05
0.00393501    	1.561481e+05
0.00394667    	1.561182e+05
0.00395833    	1.560996e+05
0.00397       	1.560892e+05
0.00398166    	1.560839e+05
0.0039933     	1.560818e+05
0.00400494    	1.560820e+05
0.00401658    	1.560843e+05
0.00402822    	1.560884e+05
0.00403984    	1.560935e+05
0.00405146    	1.560994e+05
0.00406308    	1.561052e+05
0.0040747     	1.561099e+05
0.00408629    	1.561128e+05
