# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.514302e+05
0.02          	1.535339e+05
0.03          	1.580934e+05
0.04          	1.617118e+05
0.05          	1.652010e+05
0.06          	1.685176e+05
0.07          	1.716486e+05
0.08          	1.746016e+05
0.09          	1.773985e+05
0.1           	1.800572e+05
0.11          	1.825641e+05
0.12          	1.846688e+05
0.13          	1.866397e+05
0.14          	1.885261e+05
0.15          	1.903240e+05
0.16          	1.920361e+05
0.17          	1.936620e+05
0.18          	1.952116e+05
0.19          	1.966978e+05
0.2           	1.981243e+05
