# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
5.99988e-07   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	5.124138e-04	1.000000e+00
1.31994e-06   	7.395019e-02	2.835628e-01	5.733571e-02	3.895537e-02	2.315954e-02	4.210757e-02
2.18383e-06   	4.323458e-02	2.200356e-01	3.354117e-02	1.491750e-02	1.357187e-02	2.390034e-02
3.22041e-06   	3.514135e-02	1.835592e-01	2.518725e-02	1.382337e-02	1.089038e-02	1.763927e-02
4.46426e-06   	3.187999e-02	1.651277e-01	2.127371e-02	1.344307e-02	1.075989e-02	1.484991e-02
5.95679e-06   	3.089881e-02	1.528249e-01	1.983378e-02	1.301778e-02	9.007714e-03	1.354145e-02
7.74784e-06   	3.030111e-02	1.427017e-01	1.983853e-02	1.306751e-02	8.389468e-03	1.284652e-02
9.89671e-06   	3.055429e-02	1.347989e-01	2.029667e-02	1.333963e-02	7.954838e-03	1.241946e-02
1.24748e-05   	3.137029e-02	1.288282e-01	2.153071e-02	1.359464e-02	7.948140e-03	1.215247e-02
1.55679e-05   	3.277462e-02	1.237929e-01	2.306854e-02	1.390077e-02	8.709359e-03	1.203388e-02
1.92796e-05   	3.491166e-02	1.179859e-01	2.501354e-02	1.404423e-02	9.493270e-03	1.201187e-02
2.37333e-05   	3.774175e-02	1.109754e-01	2.748584e-02	1.358077e-02	9.939615e-03	1.207148e-02
2.90767e-05   	4.127050e-02	1.043021e-01	3.068381e-02	1.308619e-02	9.788932e-03	1.219947e-02
3.54889e-05   	4.561398e-02	9.820364e-02	3.456122e-02	1.277181e-02	9.890667e-03	1.241234e-02
4.31835e-05   	5.091981e-02	9.368402e-02	3.920253e-02	1.250882e-02	9.750407e-03	1.272295e-02
5.24113e-05   	5.707421e-02	8.999427e-02	4.443476e-02	1.221667e-02	9.343302e-03	1.321368e-02
6.34765e-05   	6.330934e-02	8.600573e-02	4.939591e-02	1.200698e-02	9.061765e-03	1.386474e-02
7.64484e-05   	6.741819e-02	7.961748e-02	5.235280e-02	1.154338e-02	8.645870e-03	1.437551e-02
9.13487e-05   	6.866217e-02	7.462368e-02	5.281434e-02	1.093395e-02	8.385759e-03	1.466492e-02
0.000108172   	6.710563e-02	8.075763e-02	5.110760e-02	1.017189e-02	8.157190e-03	1.533978e-02
0.000126906   	6.472886e-02	8.778810e-02	4.835210e-02	9.718924e-03	8.029986e-03	1.741257e-02
0.00014604    	5.799989e-02	8.189875e-02	4.202104e-02	9.059425e-03	7.527166e-03	1.808789e-02
0.000165063   	5.189380e-02	7.103253e-02	3.596174e-02	8.503898e-03	7.148909e-03	1.777084e-02
0.00018416    	4.914435e-02	6.052939e-02	3.144572e-02	8.184943e-03	6.973536e-03	1.709324e-02
0.000203369   	4.609636e-02	5.061839e-02	2.791194e-02	7.907127e-03	6.861321e-03	1.646948e-02
0.000222654   	4.278741e-02	4.377554e-02	2.517776e-02	7.562052e-03	6.689498e-03	1.615217e-02
0.000241977   	3.964127e-02	3.878391e-02	2.396591e-02	7.185735e-03	6.393350e-03	1.542711e-02
0.000261299   	3.728051e-02	3.591305e-02	2.283322e-02	6.855759e-03	6.081729e-03	1.464899e-02
0.000280661   	3.507868e-02	3.389619e-02	2.163082e-02	6.532321e-03	5.763652e-03	1.442521e-02
0.000300022   	3.354404e-02	3.137008e-02	2.076184e-02	6.251451e-03	5.427839e-03	1.398451e-02
0.000319422   	3.196718e-02	2.885129e-02	1.969162e-02	5.985315e-03	5.121315e-03	1.350841e-02
0.000338822   	3.072981e-02	2.639762e-02	1.870036e-02	5.760311e-03	4.832283e-03	1.317896e-02
0.000358222   	2.948161e-02	2.463101e-02	1.782644e-02	5.545626e-03	4.529293e-03	1.275841e-02
0.000377622   	2.829169e-02	2.489427e-02	1.684750e-02	5.352087e-03	4.301092e-03	1.244431e-02
0.000397022   	2.704695e-02	2.600712e-02	1.608498e-02	5.219579e-03	4.115829e-03	1.213396e-02
0.000416461   	2.591083e-02	2.712259e-02	1.538168e-02	5.112299e-03	3.934470e-03	1.186555e-02
0.0004359     	2.478709e-02	2.844089e-02	1.477293e-02	4.992141e-03	3.797735e-03	1.158718e-02
0.000455339   	2.368688e-02	2.986154e-02	1.417177e-02	4.907576e-03	3.704489e-03	1.129258e-02
0.000474779   	2.263066e-02	3.096149e-02	1.366091e-02	4.846356e-03	3.603330e-03	1.105845e-02
0.000494218   	2.172427e-02	3.148577e-02	1.321220e-02	4.761037e-03	3.499307e-03	1.082123e-02
0.000513657   	2.081936e-02	3.137863e-02	1.280048e-02	4.685103e-03	3.430964e-03	1.061079e-02
0.000533096   	2.000355e-02	3.102765e-02	1.248070e-02	4.617631e-03	3.377437e-03	1.037265e-02
0.000552535   	1.917522e-02	3.029349e-02	1.220438e-02	4.556441e-03	3.288171e-03	1.013327e-02
0.000571975   	1.840999e-02	2.896818e-02	1.196057e-02	4.474985e-03	3.212436e-03	9.888892e-03
0.000591414   	1.764259e-02	2.726406e-02	1.176654e-02	4.415605e-03	3.148136e-03	9.646630e-03
0.000610853   	1.694071e-02	2.600938e-02	1.158932e-02	4.354913e-03	3.092392e-03	9.401106e-03
0.000630292   	1.630891e-02	2.589422e-02	1.138817e-02	4.305346e-03	3.044369e-03	9.142588e-03
0.000649732   	1.574837e-02	2.684674e-02	1.115198e-02	4.254345e-03	3.041153e-03	8.910652e-03
0.000669171   	1.524427e-02	2.857795e-02	1.090082e-02	4.241678e-03	3.046712e-03	8.683261e-03
0.00068861    	1.477267e-02	3.109061e-02	1.060305e-02	4.263746e-03	3.083024e-03	8.477499e-03
0.000708049   	1.431320e-02	3.445124e-02	1.025299e-02	4.316781e-03	3.132348e-03	8.298778e-03
0.000727489   	1.386899e-02	3.874299e-02	9.865184e-03	4.406929e-03	3.247196e-03	8.148006e-03
0.000746969   	1.346674e-02	4.373554e-02	9.472425e-03	4.574923e-03	3.446251e-03	8.031227e-03
0.000766408   	1.302252e-02	4.817719e-02	9.023390e-03	4.799432e-03	3.713421e-03	7.916114e-03
0.000785847   	1.262972e-02	5.143928e-02	8.599161e-03	5.142683e-03	4.057138e-03	7.856074e-03
0.000805164   	1.217849e-02	5.269728e-02	8.181983e-03	5.536568e-03	4.445450e-03	7.774067e-03
0.000822097   	1.037980e-02	4.719786e-02	7.145580e-03	5.323481e-03	4.329300e-03	6.875892e-03
0.000837394   	9.152896e-03	4.222207e-02	6.617856e-03	5.303713e-03	4.374289e-03	6.260932e-03
0.00085149    	8.265582e-03	3.784330e-02	6.308559e-03	5.371459e-03	4.492883e-03	5.827789e-03
0.000864807   	7.677969e-03	3.437288e-02	6.170388e-03	5.502487e-03	4.639144e-03	5.562185e-03
0.000877583   	7.281835e-03	3.150118e-02	6.118241e-03	5.633618e-03	4.795562e-03	5.409477e-03
0.000889995   	7.015327e-03	2.909700e-02	6.127707e-03	5.744134e-03	4.936727e-03	5.328625e-03
0.000902157   	6.847399e-03	2.707921e-02	6.169386e-03	5.814516e-03	5.013312e-03	5.303104e-03
0.000914144   	6.744800e-03	2.529752e-02	6.227700e-03	5.793298e-03	5.018807e-03	5.309529e-03
0.000926021   	6.716909e-03	2.376469e-02	6.299626e-03	5.752755e-03	4.999549e-03	5.343060e-03
0.000937836   	6.765774e-03	2.242628e-02	6.380782e-03	5.642803e-03	4.914706e-03	5.401565e-03
0.00094962    	6.870894e-03	2.119489e-02	6.464119e-03	5.492334e-03	4.794231e-03	5.490356e-03
0.000961405   	7.020281e-03	2.010036e-02	6.551711e-03	5.344143e-03	4.662164e-03	5.592711e-03
0.00097322    	7.199380e-03	1.909542e-02	6.648217e-03	5.160568e-03	4.528074e-03	5.702081e-03
0.000985082   	7.387754e-03	1.815480e-02	6.748196e-03	4.985402e-03	4.396465e-03	5.818034e-03
0.000997022   	7.597735e-03	1.729768e-02	6.863852e-03	4.811899e-03	4.279331e-03	5.932816e-03
0.00100904    	7.810622e-03	1.651815e-02	6.982478e-03	4.645490e-03	4.190485e-03	6.034807e-03
0.00102118    	8.038017e-03	1.581210e-02	7.126888e-03	4.498851e-03	4.113021e-03	6.150401e-03
0.00103342    	8.252348e-03	1.515534e-02	7.281526e-03	4.344382e-03	4.032635e-03	6.242233e-03
0.00104581    	8.483469e-03	1.455435e-02	7.456751e-03	4.217593e-03	3.976615e-03	6.321754e-03
0.00105835    	8.705154e-03	1.406443e-02	7.654842e-03	4.116799e-03	3.950422e-03	6.401804e-03
0.00107103    	8.922267e-03	1.378458e-02	7.851489e-03	4.000807e-03	3.895425e-03	6.456563e-03
0.00108388    	9.180356e-03	1.361874e-02	8.066792e-03	3.905780e-03	3.887200e-03	6.492003e-03
0.0010969     	9.412239e-03	1.361482e-02	8.287552e-03	3.836227e-03	3.869815e-03	6.547583e-03
0.00111009    	9.678620e-03	1.361421e-02	8.513075e-03	3.765360e-03	3.838711e-03	6.583904e-03
0.00112346    	9.941194e-03	1.360924e-02	8.742676e-03	3.688554e-03	3.819921e-03	6.597696e-03
0.00113701    	1.018371e-02	1.367224e-02	8.975346e-03	3.641051e-03	3.807397e-03	6.620124e-03
0.00115073    	1.044815e-02	1.361031e-02	9.194820e-03	3.591957e-03	3.779119e-03	6.608466e-03
0.00116462    	1.068332e-02	1.363335e-02	9.414133e-03	3.546724e-03	3.752413e-03	6.584152e-03
0.00117867    	1.091985e-02	1.367993e-02	9.614605e-03	3.509868e-03	3.709000e-03	6.548272e-03
0.00119287    	1.115740e-02	1.370672e-02	9.814414e-03	3.480775e-03	3.658620e-03	6.491639e-03
0.00120721    	1.137489e-02	1.377770e-02	9.991959e-03	3.452119e-03	3.608489e-03	6.425295e-03
0.0012217     	1.160797e-02	1.384965e-02	1.017285e-02	3.441983e-03	3.572808e-03	6.349558e-03
0.00123631    	1.182947e-02	1.385826e-02	1.033198e-02	3.420886e-03	3.523684e-03	6.256443e-03
0.00125101    	1.203941e-02	1.406847e-02	1.047490e-02	3.401046e-03	3.475701e-03	6.149213e-03
0.00126581    	1.226964e-02	1.422425e-02	1.060718e-02	3.390127e-03	3.424608e-03	6.039423e-03
0.00128072    	1.251356e-02	1.438446e-02	1.073038e-02	3.372615e-03	3.359282e-03	5.939231e-03
0.00129568    	1.272534e-02	1.454680e-02	1.081104e-02	3.348921e-03	3.295668e-03	5.813599e-03
0.00131068    	1.295433e-02	1.455469e-02	1.088070e-02	3.322729e-03	3.218373e-03	5.694602e-03
0.00132574    	1.318368e-02	1.458259e-02	1.094200e-02	3.304357e-03	3.145381e-03	5.582006e-03
0.00134083    	1.338299e-02	1.455876e-02	1.098020e-02	3.263309e-03	3.068161e-03	5.473183e-03
0.00135591    	1.357370e-02	1.441031e-02	1.100293e-02	3.235956e-03	2.988952e-03	5.370198e-03
0.00137103    	1.377699e-02	1.430803e-02	1.104266e-02	3.191497e-03	2.901970e-03	5.286208e-03
0.00138611    	1.392996e-02	1.416543e-02	1.105863e-02	3.146239e-03	2.811822e-03	5.196694e-03
0.0014012     	1.410481e-02	1.400072e-02	1.109711e-02	3.104780e-03	2.718512e-03	5.140800e-03
0.00141626    	1.426774e-02	1.382388e-02	1.112485e-02	3.051987e-03	2.632487e-03	5.092956e-03
0.00143129    	1.441632e-02	1.361170e-02	1.118455e-02	3.002204e-03	2.551474e-03	5.042968e-03
0.0014463     	1.456919e-02	1.331205e-02	1.124413e-02	2.951013e-03	2.464812e-03	4.990948e-03
0.00146128    	1.471017e-02	1.301505e-02	1.132922e-02	2.898951e-03	2.381007e-03	4.946247e-03
0.00147623    	1.483398e-02	1.269909e-02	1.143494e-02	2.842995e-03	2.304747e-03	4.898548e-03
0.00149113    	1.495153e-02	1.228776e-02	1.155294e-02	2.788193e-03	2.221249e-03	4.839274e-03
0.00150601    	1.509692e-02	1.190002e-02	1.169748e-02	2.733828e-03	2.146033e-03	4.796488e-03
0.00152083    	1.521674e-02	1.151625e-02	1.186093e-02	2.675068e-03	2.078760e-03	4.745878e-03
0.00153563    	1.538083e-02	1.109470e-02	1.204114e-02	2.625789e-03	2.008462e-03	4.696141e-03
0.00155037    	1.552392e-02	1.063943e-02	1.219434e-02	2.572685e-03	1.934556e-03	4.647965e-03
0.0015651     	1.569710e-02	1.022865e-02	1.240418e-02	2.518103e-03	1.871893e-03	4.607777e-03
0.00157979    	1.588789e-02	9.829180e-03	1.259344e-02	2.471618e-03	1.816178e-03	4.558835e-03
0.00159446    	1.607919e-02	9.413031e-03	1.276906e-02	2.423511e-03	1.754641e-03	4.516587e-03
0.00160908    	1.623193e-02	9.051073e-03	1.295642e-02	2.369157e-03	1.709320e-03	4.466200e-03
0.00162367    	1.641697e-02	8.770040e-03	1.314850e-02	2.324408e-03	1.665477e-03	4.420206e-03
0.00163824    	1.663826e-02	8.504864e-03	1.332447e-02	2.279516e-03	1.621575e-03	4.368561e-03
0.00165281    	1.690034e-02	8.306249e-03	1.352837e-02	2.236780e-03	1.589933e-03	4.329082e-03
0.00166735    	1.717000e-02	8.204194e-03	1.373157e-02	2.192758e-03	1.559885e-03	4.276505e-03
0.00168186    	1.749720e-02	8.143376e-03	1.391080e-02	2.152601e-03	1.527039e-03	4.222560e-03
0.00169638    	1.787002e-02	8.100264e-03	1.408659e-02	2.116048e-03	1.491725e-03	4.180676e-03
0.00171087    	1.821353e-02	8.049624e-03	1.424798e-02	2.074335e-03	1.467275e-03	4.127211e-03
0.00172536    	1.858477e-02	8.052975e-03	1.442559e-02	2.041343e-03	1.438347e-03	4.078923e-03
0.00173986    	1.895098e-02	8.035444e-03	1.457236e-02	2.010551e-03	1.409478e-03	4.029319e-03
0.00175432    	1.924544e-02	7.990573e-03	1.467736e-02	1.977691e-03	1.380405e-03	3.976814e-03
0.00176879    	1.953563e-02	7.960655e-03	1.480889e-02	1.946991e-03	1.351335e-03	3.921892e-03
0.00178325    	1.979270e-02	7.942165e-03	1.492279e-02	1.920011e-03	1.326273e-03	3.861920e-03
0.00179772    	1.999622e-02	7.899166e-03	1.502533e-02	1.894622e-03	1.296897e-03	3.795576e-03
0.00181216    	2.010186e-02	7.814210e-03	1.511641e-02	1.863348e-03	1.271283e-03	3.723274e-03
0.0018266     	2.015655e-02	7.729574e-03	1.519585e-02	1.836079e-03	1.246256e-03	3.645932e-03
0.00184104    	2.013887e-02	7.658601e-03	1.525963e-02	1.812914e-03	1.221223e-03	3.559880e-03
0.00185546    	1.996456e-02	7.544598e-03	1.528475e-02	1.786182e-03	1.193124e-03	3.459639e-03
0.00186987    	1.969475e-02	7.457830e-03	1.533051e-02	1.758037e-03	1.171098e-03	3.357750e-03
0.00188426    	1.927744e-02	7.400122e-03	1.532060e-02	1.730688e-03	1.148808e-03	3.242641e-03
0.00189865    	1.877267e-02	7.394119e-03	1.527778e-02	1.707916e-03	1.125821e-03	3.126736e-03
0.00191302    	1.807685e-02	7.381070e-03	1.514969e-02	1.681069e-03	1.102286e-03	3.003451e-03
0.00192735    	1.725019e-02	7.390728e-03	1.493882e-02	1.652539e-03	1.083255e-03	2.878601e-03
0.00194169    	1.637585e-02	7.433879e-03	1.466853e-02	1.629844e-03	1.066782e-03	2.755435e-03
0.00195601    	1.544287e-02	7.495595e-03	1.428976e-02	1.605739e-03	1.045702e-03	2.627143e-03
0.00197029    	1.447891e-02	7.545816e-03	1.385175e-02	1.582651e-03	1.026740e-03	2.505905e-03
0.00198456    	1.350428e-02	7.591493e-03	1.333358e-02	1.560295e-03	1.011098e-03	2.400519e-03
0.00199879    	1.255614e-02	7.649384e-03	1.276816e-02	1.540668e-03	9.964429e-04	2.303839e-03
0.00201301    	1.168392e-02	7.714760e-03	1.222708e-02	1.521961e-03	9.790481e-04	2.222591e-03
0.00202719    	1.092374e-02	7.735932e-03	1.170091e-02	1.502837e-03	9.628265e-04	2.152475e-03
0.00204135    	1.030576e-02	7.717423e-03	1.117711e-02	1.483962e-03	9.506274e-04	2.096405e-03
0.00205549    	9.852934e-03	7.669196e-03	1.069248e-02	1.464806e-03	9.388580e-04	2.052439e-03
0.0020696     	9.508031e-03	7.590339e-03	1.024402e-02	1.447543e-03	9.259486e-04	2.020436e-03
0.00208369    	9.263818e-03	7.494135e-03	9.831983e-03	1.430299e-03	9.162584e-04	1.996157e-03
0.00209775    	9.061688e-03	7.350230e-03	9.463809e-03	1.413626e-03	9.095966e-04	1.982470e-03
0.00211176    	8.877155e-03	7.166556e-03	9.135710e-03	1.394425e-03	9.015680e-04	1.966828e-03
0.00212574    	8.767592e-03	6.963140e-03	8.860625e-03	1.378567e-03	8.950265e-04	1.955429e-03
0.00213971    	8.699687e-03	6.775385e-03	8.616938e-03	1.363561e-03	8.870070e-04	1.948459e-03
0.00215364    	8.745333e-03	6.554804e-03	8.398247e-03	1.348996e-03	8.797156e-04	1.939946e-03
0.00216755    	8.793158e-03	6.310850e-03	8.198949e-03	1.334176e-03	8.745633e-04	1.933351e-03
0.00218142    	8.792374e-03	6.042812e-03	8.007637e-03	1.317411e-03	8.669159e-04	1.919550e-03
0.00219526    	8.778490e-03	5.793168e-03	7.844760e-03	1.304429e-03	8.597062e-04	1.905936e-03
0.00220907    	8.734603e-03	5.587274e-03	7.692408e-03	1.292933e-03	8.522460e-04	1.890106e-03
0.00222286    	8.652811e-03	5.402900e-03	7.543378e-03	1.281288e-03	8.468824e-04	1.875820e-03
0.00223662    	8.540782e-03	5.243996e-03	7.392247e-03	1.269109e-03	8.418061e-04	1.861877e-03
0.00225034    	8.396566e-03	5.082077e-03	7.235248e-03	1.255736e-03	8.347736e-04	1.841869e-03
0.00226403    	8.268963e-03	4.977311e-03	7.097828e-03	1.245566e-03	8.289496e-04	1.822961e-03
0.0022777     	8.118926e-03	4.880272e-03	6.974069e-03	1.236954e-03	8.240838e-04	1.804437e-03
0.00229132    	7.937973e-03	4.781054e-03	6.876170e-03	1.226590e-03	8.189449e-04	1.785389e-03
0.00230491    	7.790478e-03	4.690768e-03	6.846520e-03	1.217380e-03	8.154206e-04	1.768141e-03
0.00231849    	7.646344e-03	4.615811e-03	6.855531e-03	1.208893e-03	8.116776e-04	1.748771e-03
0.00233201    	7.491347e-03	4.585341e-03	6.886162e-03	1.199515e-03	8.032217e-04	1.725899e-03
0.00234551    	7.327575e-03	4.583696e-03	6.921293e-03	1.192864e-03	7.989272e-04	1.706111e-03
0.00235896    	7.135666e-03	4.568455e-03	6.941263e-03	1.184531e-03	7.959210e-04	1.686694e-03
0.00237237    	6.936357e-03	4.541449e-03	6.941204e-03	1.175732e-03	7.934304e-04	1.667777e-03
0.00238575    	6.755984e-03	4.502465e-03	6.937813e-03	1.169507e-03	7.913607e-04	1.653506e-03
0.00239908    	6.566805e-03	4.448167e-03	6.923090e-03	1.162472e-03	7.877386e-04	1.637408e-03
0.00241237    	6.361693e-03	4.382308e-03	6.914248e-03	1.156049e-03	7.834267e-04	1.623655e-03
0.00242561    	6.177448e-03	4.290385e-03	6.918347e-03	1.149542e-03	7.790460e-04	1.614326e-03
0.00243881    	6.031944e-03	4.178492e-03	6.883311e-03	1.142114e-03	7.781842e-04	1.609915e-03
0.00245196    	5.914349e-03	4.061446e-03	6.820846e-03	1.135423e-03	7.741799e-04	1.604354e-03
0.00246504    	5.812560e-03	3.952424e-03	6.742607e-03	1.128144e-03	7.703468e-04	1.596989e-03
0.00247808    	5.715667e-03	3.872925e-03	6.658608e-03	1.122704e-03	7.683645e-04	1.593064e-03
0.00249105    	5.604760e-03	3.798534e-03	6.559227e-03	1.115684e-03	7.663478e-04	1.587240e-03
0.00250397    	5.512537e-03	3.758867e-03	6.450270e-03	1.110197e-03	7.655290e-04	1.586494e-03
0.00251683    	5.419323e-03	3.741555e-03	6.309508e-03	1.102919e-03	7.636737e-04	1.582704e-03
0.00252962    	5.337198e-03	3.734452e-03	6.161668e-03	1.096094e-03	7.610065e-04	1.577284e-03
0.00254237    	5.261648e-03	3.794748e-03	6.027350e-03	1.091167e-03	7.590886e-04	1.573526e-03
0.00255505    	5.161767e-03	3.864360e-03	5.887642e-03	1.084587e-03	7.575995e-04	1.566261e-03
0.00256767    	5.054731e-03	3.935762e-03	5.755004e-03	1.078395e-03	7.563290e-04	1.559704e-03
0.00258022    	4.956387e-03	3.998265e-03	5.619367e-03	1.072042e-03	7.547275e-04	1.552754e-03
0.00259272    	4.879479e-03	4.068319e-03	5.488337e-03	1.065736e-03	7.525758e-04	1.543962e-03
0.00260517    	4.816475e-03	4.140313e-03	5.376726e-03	1.061449e-03	7.509283e-04	1.536171e-03
0.00261755    	4.743989e-03	4.206591e-03	5.277499e-03	1.055818e-03	7.482690e-04	1.525186e-03
0.00262988    	4.664112e-03	4.259675e-03	5.190468e-03	1.050372e-03	7.457756e-04	1.513739e-03
0.00264216    	4.588467e-03	4.292542e-03	5.117583e-03	1.046430e-03	7.442829e-04	1.506130e-03
0.00265438    	4.499772e-03	4.299982e-03	5.039362e-03	1.040716e-03	7.405918e-04	1.495743e-03
0.00266656    	4.423355e-03	4.292505e-03	4.973062e-03	1.036754e-03	7.380493e-04	1.487795e-03
0.00267871    	4.335799e-03	4.259918e-03	4.911161e-03	1.032840e-03	7.346421e-04	1.476634e-03
0.00269081    	4.250988e-03	4.215168e-03	4.853804e-03	1.029019e-03	7.308606e-04	1.467474e-03
0.00270287    	4.171567e-03	4.152146e-03	4.802867e-03	1.025349e-03	7.267811e-04	1.458549e-03
0.00271489    	4.094299e-03	4.064763e-03	4.751840e-03	1.021538e-03	7.208236e-04	1.450980e-03
0.00272689    	4.033101e-03	3.960488e-03	4.699160e-03	1.019510e-03	7.178103e-04	1.445326e-03
0.00273885    	3.963081e-03	3.845710e-03	4.634988e-03	1.016303e-03	7.140966e-04	1.437389e-03
0.0027508     	3.896105e-03	3.724822e-03	4.573339e-03	1.014559e-03	7.110273e-04	1.430798e-03
0.00276272    	3.820948e-03	3.605857e-03	4.508955e-03	1.012996e-03	7.077229e-04	1.424023e-03
0.00277462    	3.737112e-03	3.491057e-03	4.442133e-03	1.011700e-03	7.045065e-04	1.417982e-03
0.00278653    	3.651557e-03	3.376747e-03	4.382807e-03	1.012031e-03	7.030904e-04	1.415483e-03
0.00279841    	3.558687e-03	3.260412e-03	4.312098e-03	1.011246e-03	7.009673e-04	1.410737e-03
0.00281029    	3.473627e-03	3.162628e-03	4.242760e-03	1.012109e-03	7.002335e-04	1.407174e-03
0.00282216    	3.386533e-03	3.080997e-03	4.164894e-03	1.012326e-03	6.982506e-04	1.400396e-03
0.00283402    	3.311361e-03	3.019706e-03	4.091679e-03	1.014482e-03	6.973878e-04	1.394918e-03
0.00284589    	3.244065e-03	2.993840e-03	4.017481e-03	1.017164e-03	6.975783e-04	1.388909e-03
0.00285775    	3.182012e-03	2.991417e-03	3.947241e-03	1.020119e-03	6.980651e-04	1.383669e-03
0.00286962    	3.127407e-03	2.982905e-03	3.882277e-03	1.023203e-03	6.988518e-04	1.378212e-03
0.0028815     	3.097830e-03	2.971741e-03	3.820298e-03	1.027542e-03	7.008757e-04	1.374075e-03
0.00289338    	3.088634e-03	2.957886e-03	3.754162e-03	1.030739e-03	7.015817e-04	1.366881e-03
0.00290529    	3.103909e-03	2.967281e-03	3.695680e-03	1.035959e-03	7.035976e-04	1.361247e-03
0.00291719    	3.115125e-03	2.994028e-03	3.634746e-03	1.039889e-03	7.048265e-04	1.353408e-03
0.00292912    	3.141384e-03	3.027063e-03	3.578731e-03	1.045536e-03	7.079214e-04	1.347448e-03
0.00294104    	3.172243e-03	3.051659e-03	3.522532e-03	1.050111e-03	7.102033e-04	1.341774e-03
0.00295298    	3.216140e-03	3.067973e-03	3.476420e-03	1.055959e-03	7.138035e-04	1.336435e-03
0.00296495    	3.290454e-03	3.070010e-03	3.430470e-03	1.061839e-03	7.172241e-04	1.331151e-03
0.00297693    	3.366545e-03	3.062563e-03	3.382869e-03	1.067859e-03	7.204757e-04	1.325535e-03
0.00298894    	3.446528e-03	3.047621e-03	3.333321e-03	1.074641e-03	7.231596e-04	1.320121e-03
0.00300094    	3.558684e-03	3.020749e-03	3.277889e-03	1.079506e-03	7.247846e-04	1.313195e-03
0.00301297    	3.698710e-03	2.989188e-03	3.229364e-03	1.086277e-03	7.271467e-04	1.309593e-03
0.00302502    	3.851607e-03	2.950156e-03	3.182759e-03	1.093065e-03	7.300635e-04	1.307262e-03
0.00303708    	4.018859e-03	2.910887e-03	3.135643e-03	1.099593e-03	7.324921e-04	1.306515e-03
0.00304917    	4.173920e-03	2.873011e-03	3.085030e-03	1.106192e-03	7.351344e-04	1.306594e-03
0.00306126    	4.308450e-03	2.842111e-03	3.029337e-03	1.111333e-03	7.363721e-04	1.305627e-03
