# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.000000e+00	sides	9.255740e+04	9.258193e+04	2.962229e+02
1.000000e-02	sides	1.882788e+05	3.132202e+05	8.085467e+02
2.000000e-02	sides	1.865872e+05	3.079095e+05	7.966948e+02
3.000000e-02	sides	1.915987e+05	3.162059e+05	8.163404e+02
4.000000e-02	sides	1.951086e+05	3.221744e+05	8.315424e+02
5.000000e-02	sides	1.983871e+05	3.277717e+05	8.456686e+02
6.000000e-02	sides	2.014498e+05	3.329281e+05	8.588401e+02
7.000000e-02	sides	2.044219e+05	3.379239e+05	8.715701e+02
8.000000e-02	sides	2.072207e+05	3.426094e+05	8.835363e+02
9.000000e-02	sides	2.098014e+05	3.469484e+05	8.947938e+02
1.000000e-01	sides	2.125085e+05	3.514865e+05	9.064609e+02
1.100000e-01	sides	2.151173e+05	3.557879e+05	9.175211e+02
1.200000e-01	sides	2.171668e+05	3.592401e+05	9.263159e+02
1.300000e-01	sides	2.192214e+05	3.623513e+05	9.345936e+02
1.400000e-01	sides	2.203177e+05	3.640937e+05	9.394612e+02
1.500000e-01	sides	2.221395e+05	3.670923e+05	9.470978e+02
1.600000e-01	sides	2.237287e+05	3.697122e+05	9.538509e+02
1.700000e-01	sides	2.252962e+05	3.722640e+05	9.604736e+02
1.800000e-01	sides	2.268592e+05	3.748481e+05	9.670543e+02
1.900000e-01	sides	2.281305e+05	3.768820e+05	9.724771e+02
2.000000e-01	sides	2.296075e+05	3.793782e+05	9.786979e+02
