# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	1.502065e+00	1.883898e+00	1.556462e+00
0             	back	1.028896e+00	1.329599e+00	1.043486e+00
0             	sides	1.464049e+00	1.464437e+00	1.464243e+00
0.01          	splitter	7.467933e+01	1.396383e+02	8.463673e+01
0.01          	back	1.141281e+01	1.713721e+01	1.320161e+01
0.01          	sides	3.468900e+01	7.870890e+01	6.132159e+01
0.02          	splitter	7.462749e+01	1.381530e+02	8.397494e+01
0.02          	back	1.142965e+01	1.797515e+01	1.352899e+01
0.02          	sides	3.485177e+01	7.774754e+01	6.052391e+01
0.03          	splitter	7.695475e+01	1.428977e+02	8.675363e+01
0.03          	back	1.136671e+01	1.864936e+01	1.391123e+01
0.03          	sides	3.584158e+01	8.013447e+01	6.234775e+01
0.04          	splitter	7.874102e+01	1.464043e+02	8.883951e+01
0.04          	back	1.136817e+01	1.909865e+01	1.414447e+01
0.04          	sides	3.661390e+01	8.187512e+01	6.372534e+01
0.05          	splitter	8.040193e+01	1.496504e+02	9.076793e+01
0.05          	back	1.150400e+01	1.950799e+01	1.438818e+01
0.05          	sides	3.735877e+01	8.352053e+01	6.502250e+01
0.06          	splitter	8.197087e+01	1.527746e+02	9.261002e+01
0.06          	back	1.144887e+01	1.989491e+01	1.462556e+01
0.06          	sides	3.802312e+01	8.501599e+01	6.619571e+01
0.07          	splitter	8.346964e+01	1.557274e+02	9.435938e+01
0.07          	back	1.142748e+01	2.026258e+01	1.482361e+01
0.07          	sides	3.867115e+01	8.646035e+01	6.732913e+01
0.08          	splitter	8.490258e+01	1.585427e+02	9.603026e+01
0.08          	back	1.150858e+01	2.061248e+01	1.506537e+01
0.08          	sides	3.927205e+01	8.780016e+01	6.837706e+01
0.09          	splitter	8.632749e+01	1.612892e+02	9.767494e+01
0.09          	back	1.146066e+01	2.095989e+01	1.531181e+01
0.09          	sides	3.982994e+01	8.902548e+01	6.934889e+01
0.1           	splitter	8.762487e+01	1.637384e+02	9.915364e+01
0.1           	back	1.163055e+01	2.127053e+01	1.553872e+01
0.1           	sides	4.043505e+01	9.033985e+01	7.038643e+01
0.11          	splitter	8.885567e+01	1.660555e+02	1.005533e+02
0.11          	back	1.179375e+01	2.156833e+01	1.575630e+01
0.11          	sides	4.100681e+01	9.159231e+01	7.136915e+01
0.12          	splitter	8.989362e+01	1.680098e+02	1.017344e+02
0.12          	back	1.192810e+01	2.181462e+01	1.593622e+01
0.12          	sides	4.148882e+01	9.265228e+01	7.220013e+01
0.13          	splitter	9.073683e+01	1.698328e+02	1.027726e+02
0.13          	back	1.158369e+01	2.203343e+01	1.602778e+01
0.13          	sides	4.187159e+01	9.347847e+01	7.287260e+01
0.14          	splitter	9.156462e+01	1.716696e+02	1.038075e+02
0.14          	back	1.159047e+01	2.224853e+01	1.616655e+01
0.14          	sides	4.209253e+01	9.402333e+01	7.329216e+01
0.15          	splitter	9.242376e+01	1.733396e+02	1.048019e+02
0.15          	back	1.155726e+01	2.245845e+01	1.631174e+01
0.15          	sides	4.248522e+01	9.487529e+01	7.396424e+01
0.16          	splitter	9.323999e+01	1.749557e+02	1.057579e+02
0.16          	back	1.152421e+01	2.265903e+01	1.644331e+01
0.16          	sides	4.282859e+01	9.562194e+01	7.454858e+01
0.17          	splitter	9.400781e+01	1.764813e+02	1.066587e+02
0.17          	back	1.153689e+01	2.284861e+01	1.657373e+01
0.17          	sides	4.315705e+01	9.633495e+01	7.511487e+01
0.18          	splitter	9.475522e+01	1.779315e+02	1.075234e+02
0.18          	back	1.157780e+01	2.303086e+01	1.670019e+01
0.18          	sides	4.348210e+01	9.705448e+01	7.568016e+01
0.19          	splitter	9.545141e+01	1.793299e+02	1.083461e+02
0.19          	back	1.153109e+01	2.320346e+01	1.681136e+01
0.19          	sides	4.378136e+01	9.769483e+01	7.619364e+01
0.2           	splitter	9.613748e+01	1.806466e+02	1.091343e+02
0.2           	back	1.169957e+01	2.337043e+01	1.694084e+01
0.2           	sides	4.408256e+01	9.836818e+01	7.671726e+01
