# Region type : patch sides
# Faces  :    260
# Area   :    3.200000e-03
# Time        	max(T)
0             	3.000000e+02
5.99988e-07   	3.004099e+02
1.31994e-06   	3.008986e+02
2.18383e-06   	3.014811e+02
3.22041e-06   	3.021748e+02
4.46426e-06   	3.029984e+02
5.95679e-06   	3.039758e+02
7.74784e-06   	3.051290e+02
9.89671e-06   	3.064847e+02
1.24748e-05   	3.080726e+02
1.55679e-05   	3.099089e+02
1.92796e-05   	3.120114e+02
2.37333e-05   	3.143678e+02
2.90767e-05   	3.169522e+02
3.54889e-05   	3.196793e+02
4.31835e-05   	3.223899e+02
5.24113e-05   	3.248195e+02
6.34765e-05   	3.266396e+02
7.64484e-05   	3.274881e+02
9.13487e-05   	3.271282e+02
0.000108172   	3.256004e+02
0.000126906   	3.292124e+02
0.000146077   	3.313848e+02
0.000165286   	3.322341e+02
0.000184532   	3.338216e+02
0.000203853   	3.359052e+02
0.000223175   	3.369581e+02
0.000242535   	3.371256e+02
0.000261895   	3.383287e+02
0.000281255   	3.389259e+02
0.000300654   	3.389579e+02
0.000320053   	3.393978e+02
0.000339451   	3.396430e+02
0.00035885    	3.395359e+02
0.000378249   	3.397325e+02
0.000397647   	3.397270e+02
0.000417046   	3.395867e+02
0.000436484   	3.395931e+02
0.000455922   	3.394287e+02
0.00047536    	3.393637e+02
0.000494798   	3.392285e+02
0.000514236   	3.391787e+02
0.000533674   	3.391451e+02
0.000553112   	3.391787e+02
0.00057255    	3.392986e+02
0.000591988   	3.394577e+02
0.000611427   	3.396173e+02
0.000630865   	3.397227e+02
0.000650303   	3.397734e+02
0.000669741   	3.398219e+02
0.000689179   	3.398563e+02
0.000708617   	3.398642e+02
0.000728055   	3.398426e+02
0.000747493   	3.397973e+02
0.000766931   	3.397458e+02
0.000786328   	3.396869e+02
0.000805684   	3.396362e+02
0.000824147   	3.396599e+02
0.000840621   	3.397354e+02
0.000855785   	3.398026e+02
0.000870029   	3.398664e+02
0.000883635   	3.400921e+02
0.000896771   	3.404033e+02
0.000909592   	3.407703e+02
0.000922183   	3.411849e+02
0.000934601   	3.416423e+02
0.000946902   	3.421225e+02
0.000959119   	3.426180e+02
0.000971304   	3.431147e+02
0.000983472   	3.436111e+02
0.00099564    	3.441021e+02
0.00100784    	3.445888e+02
0.00102009    	3.450660e+02
0.00103239    	3.455364e+02
0.00104478    	3.459960e+02
0.00105725    	3.464393e+02
0.00106981    	3.468679e+02
0.0010825     	3.472748e+02
0.00109529    	3.476610e+02
0.00110821    	3.480140e+02
0.00112127    	3.483346e+02
0.00113446    	3.486237e+02
0.0011478     	3.488815e+02
0.00116127    	3.491066e+02
0.00117489    	3.492971e+02
0.00118864    	3.494639e+02
0.00120251    	3.496043e+02
0.00121652    	3.497223e+02
0.00123064    	3.498199e+02
0.00124488    	3.499132e+02
0.00125921    	3.500096e+02
0.00127363    	3.500987e+02
0.00128813    	3.501773e+02
0.00130269    	3.502512e+02
0.00131731    	3.503178e+02
0.00133195    	3.503327e+02
0.00134662    	3.503381e+02
0.00136129    	3.503111e+02
0.00137598    	3.501873e+02
0.00139065    	3.500939e+02
0.00140531    	3.499440e+02
0.00141995    	3.497172e+02
0.00143457    	3.494268e+02
0.00144916    	3.490842e+02
0.00146373    	3.487003e+02
0.00147827    	3.483328e+02
0.00149276    	3.479265e+02
0.00150723    	3.474885e+02
0.00152168    	3.470288e+02
0.00153607    	3.465713e+02
0.00155044    	3.461569e+02
0.00156479    	3.457630e+02
0.00157908    	3.453943e+02
0.00159336    	3.451283e+02
0.0016076     	3.449054e+02
0.00162183    	3.447767e+02
0.00163603    	3.447243e+02
0.00165021    	3.447570e+02
0.00166436    	3.448623e+02
0.00167849    	3.450492e+02
0.00169261    	3.452796e+02
0.00170672    	3.455360e+02
0.00172082    	3.457956e+02
0.0017349     	3.460516e+02
0.00174898    	3.462983e+02
0.00176304    	3.465298e+02
0.0017771     	3.467418e+02
0.00179115    	3.469302e+02
0.00180518    	3.470919e+02
0.00181922    	3.472250e+02
0.00183325    	3.473284e+02
0.00184726    	3.474018e+02
0.00186126    	3.474458e+02
0.00187527    	3.474619e+02
0.00188928    	3.474519e+02
0.00190326    	3.474181e+02
0.00191725    	3.473633e+02
0.00193121    	3.472940e+02
0.00194517    	3.472202e+02
0.0019591     	3.471381e+02
0.00197304    	3.470505e+02
0.00198695    	3.469600e+02
0.00200086    	3.468732e+02
0.00201475    	3.468008e+02
0.00202861    	3.467351e+02
0.00204245    	3.466780e+02
0.00205627    	3.466359e+02
0.00207006    	3.466142e+02
0.00208383    	3.466071e+02
0.00209757    	3.466144e+02
0.00211129    	3.466401e+02
0.00212498    	3.466883e+02
0.00213866    	3.467528e+02
0.00215231    	3.468333e+02
0.00216593    	3.469295e+02
0.00217953    	3.470426e+02
0.00219311    	3.471752e+02
0.00220664    	3.473218e+02
0.00222014    	3.474816e+02
0.00223363    	3.476533e+02
0.00224706    	3.478352e+02
0.00226048    	3.480260e+02
0.00227387    	3.482240e+02
0.00228721    	3.484291e+02
0.00230053    	3.486417e+02
0.00231381    	3.488570e+02
0.00232706    	3.490733e+02
0.00234027    	3.492881e+02
0.00235343    	3.494993e+02
0.00236654    	3.497047e+02
0.00237961    	3.499079e+02
0.00239264    	3.501074e+02
0.00240562    	3.502984e+02
0.00241856    	3.504790e+02
0.00243145    	3.506493e+02
0.0024443     	3.508167e+02
0.00245709    	3.509722e+02
0.00246981    	3.511143e+02
0.00248248    	3.512509e+02
0.0024951     	3.513773e+02
0.00250765    	3.514905e+02
0.00252014    	3.516010e+02
0.00253256    	3.517004e+02
0.00254492    	3.517878e+02
0.00255723    	3.518736e+02
0.00256947    	3.519477e+02
0.00258165    	3.520143e+02
0.00259377    	3.520785e+02
0.00260585    	3.521318e+02
0.00261787    	3.521843e+02
0.00262984    	3.522307e+02
0.00264175    	3.522667e+02
