# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((9.159340e-16 -3.552714e-15 5.364101e-18) (0.000000e+00 -2.620390e-01 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.527422e-20 3.534142e-19 -2.775558e-17) (0.000000e+00 0.000000e+00 -4.336809e-19) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.998054e-04 6.765232e+00 -4.876615e-19) (5.919839e-06 -1.547453e-02 8.624118e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.167661e-21 5.688828e-19 -9.672127e-06) (1.525185e-21 -1.297628e-20 -1.271668e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-1.170426e-03 5.866054e+00 5.084861e-19) (-8.272330e-05 -1.600528e-02 8.750520e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.017685e-20 5.499534e-19 5.680939e-05) (1.538772e-21 -1.271588e-20 2.657134e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((7.683013e-03 5.988303e+00 3.332309e-19) (1.975020e-04 -1.578746e-02 8.515471e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.747806e-21 5.492537e-19 -4.811114e-04) (1.495225e-21 -1.276222e-20 -7.286623e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((-1.921556e-02 5.858641e+00 6.240644e-19) (-1.172016e-03 -1.622703e-02 6.163417e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.252624e-20 5.583359e-19 1.023150e-03) (1.232236e-21 -1.359648e-20 3.704475e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.579375e-05 6.191056e+00 6.901627e-19) (1.439783e-03 -1.716216e-02 5.182726e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.345472e-20 5.901129e-19 7.781985e-04) (1.044837e-21 -1.452915e-20 -3.560715e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((2.519668e-02 6.492745e+00 7.798383e-19) (9.095885e-04 -1.816756e-02 5.028021e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.471079e-20 6.193529e-19 -1.720284e-03) (1.007737e-21 -1.506105e-20 -3.360798e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((-1.346957e-02 6.890147e+00 6.506162e-19) (-2.067095e-03 -1.897928e-02 5.960643e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.283908e-20 6.515386e-19 7.156092e-05) (1.257998e-21 -1.575726e-20 5.728216e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((-2.014286e-02 7.136481e+00 7.869814e-19) (2.150991e-04 -1.997916e-02 6.089939e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.572846e-20 6.812004e-19 1.871233e-03) (1.255051e-21 -1.637558e-20 3.448561e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((2.624998e-02 7.522799e+00 7.271326e-19) (2.016253e-03 -2.085253e-02 5.895392e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.390821e-20 7.069345e-19 -1.214116e-03) (1.154932e-21 -1.691904e-20 -6.146260e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
