# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
5.99988e-07   	1.018031e+05
1.31994e-06   	1.023780e+05
2.18383e-06   	1.030699e+05
3.22041e-06   	1.039032e+05
4.46426e-06   	1.049065e+05
5.95679e-06   	1.061160e+05
7.74784e-06   	1.075726e+05
9.89671e-06   	1.093262e+05
1.24748e-05   	1.114382e+05
1.55679e-05   	1.139707e+05
1.92796e-05   	1.169993e+05
2.37333e-05   	1.205902e+05
2.90767e-05   	1.248095e+05
3.54889e-05   	1.296825e+05
4.31835e-05   	1.351647e+05
5.24113e-05   	1.410934e+05
6.34765e-05   	1.471364e+05
7.64484e-05   	1.526855e+05
9.13487e-05   	1.571143e+05
0.000108172   	1.599595e+05
0.000126906   	1.609633e+05
0.000146077   	1.604442e+05
0.000165286   	1.590152e+05
0.000184532   	1.571743e+05
0.000203853   	1.552763e+05
0.000223175   	1.536087e+05
0.000242535   	1.523976e+05
0.000261895   	1.515405e+05
0.000281255   	1.509395e+05
0.000300654   	1.505067e+05
0.000320053   	1.501761e+05
0.000339451   	1.499051e+05
0.00035885    	1.496700e+05
0.000378249   	1.494645e+05
0.000397647   	1.492865e+05
0.000417046   	1.491388e+05
0.000436484   	1.490267e+05
0.000455922   	1.489540e+05
0.00047536    	1.489211e+05
0.000494798   	1.489239e+05
0.000514236   	1.489547e+05
0.000533674   	1.490060e+05
0.000553112   	1.490717e+05
0.00057255    	1.491469e+05
0.000591988   	1.492270e+05
0.000611427   	1.493079e+05
0.000630865   	1.493867e+05
0.000650303   	1.494607e+05
0.000669741   	1.495277e+05
0.000689179   	1.495866e+05
0.000708617   	1.496372e+05
0.000728055   	1.496795e+05
0.000747493   	1.497141e+05
0.000766931   	1.497427e+05
0.000786328   	1.497669e+05
0.000805684   	1.497889e+05
0.000824147   	1.498102e+05
0.000840621   	1.498313e+05
0.000855785   	1.498539e+05
0.000870029   	1.498789e+05
0.000883635   	1.499072e+05
0.000896771   	1.499393e+05
0.000909592   	1.499758e+05
0.000922183   	1.500176e+05
0.000934601   	1.500653e+05
0.000946902   	1.501190e+05
0.000959119   	1.501792e+05
0.000971304   	1.502461e+05
0.000983472   	1.503199e+05
0.00099564    	1.504008e+05
0.00100784    	1.504893e+05
0.00102009    	1.505852e+05
0.00103239    	1.506888e+05
0.00104478    	1.508001e+05
0.00105725    	1.509193e+05
0.00106981    	1.510463e+05
0.0010825     	1.511816e+05
0.00109529    	1.513249e+05
0.00110821    	1.514764e+05
0.00112127    	1.516359e+05
0.00113446    	1.518034e+05
0.0011478     	1.519786e+05
0.00116127    	1.521612e+05
0.00117489    	1.523511e+05
0.00118864    	1.525473e+05
0.00120251    	1.527496e+05
0.00121652    	1.529574e+05
0.00123064    	1.531697e+05
0.00124488    	1.533860e+05
0.00125921    	1.536053e+05
0.00127363    	1.538269e+05
0.00128813    	1.540498e+05
0.00130269    	1.542733e+05
0.00131731    	1.544966e+05
0.00133195    	1.547190e+05
0.00134662    	1.549399e+05
0.00136129    	1.551586e+05
0.00137598    	1.553754e+05
0.00139065    	1.555896e+05
0.00140531    	1.558019e+05
0.00141995    	1.560121e+05
0.00143457    	1.562212e+05
0.00144916    	1.564299e+05
0.00146373    	1.566395e+05
0.00147827    	1.568514e+05
0.00149276    	1.570668e+05
0.00150723    	1.572882e+05
0.00152168    	1.575178e+05
0.00153607    	1.577576e+05
0.00155044    	1.580107e+05
0.00156479    	1.582802e+05
0.00157908    	1.585684e+05
0.00159336    	1.588792e+05
0.0016076     	1.592159e+05
0.00162183    	1.595817e+05
0.00163603    	1.599800e+05
0.00165021    	1.604146e+05
0.00166436    	1.608878e+05
0.00167849    	1.614022e+05
0.00169261    	1.619612e+05
0.00170672    	1.625654e+05
0.00172082    	1.632172e+05
0.0017349     	1.639159e+05
0.00174898    	1.646621e+05
0.00176304    	1.654534e+05
0.0017771     	1.662889e+05
0.00179115    	1.671653e+05
0.00180518    	1.680770e+05
0.00181922    	1.690201e+05
0.00183325    	1.699887e+05
0.00184726    	1.709741e+05
0.00186126    	1.719702e+05
0.00187527    	1.729688e+05
0.00188928    	1.739610e+05
0.00190326    	1.749361e+05
0.00191725    	1.758855e+05
0.00193121    	1.768000e+05
0.00194517    	1.776728e+05
0.0019591     	1.784945e+05
0.00197304    	1.792581e+05
0.00198695    	1.799576e+05
0.00200086    	1.805889e+05
0.00201475    	1.811463e+05
0.00202861    	1.816293e+05
0.00204245    	1.820372e+05
0.00205627    	1.823688e+05
