# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
5.99988e-07   	1.013250e+05
1.31994e-06   	1.013250e+05
2.18383e-06   	1.013250e+05
3.22041e-06   	1.013250e+05
4.46426e-06   	1.013250e+05
5.95679e-06   	1.013250e+05
7.74784e-06   	1.013250e+05
9.89671e-06   	1.013250e+05
1.24748e-05   	1.013250e+05
1.55679e-05   	1.013250e+05
1.92796e-05   	1.013250e+05
2.37333e-05   	1.013250e+05
2.90767e-05   	1.013250e+05
3.54889e-05   	1.013250e+05
4.31835e-05   	1.013250e+05
5.24113e-05   	1.013250e+05
6.34765e-05   	1.013250e+05
7.64484e-05   	1.013250e+05
9.13487e-05   	1.013250e+05
0.000108172   	1.013250e+05
0.000126906   	1.013250e+05
0.000146077   	1.013250e+05
0.000165286   	1.013250e+05
0.000184532   	1.013250e+05
0.000203853   	1.013250e+05
0.000223175   	1.013250e+05
0.000242535   	1.013250e+05
0.000261895   	1.013250e+05
0.000281255   	1.013250e+05
0.000300654   	1.013250e+05
0.000320053   	1.013250e+05
0.000339451   	1.013250e+05
0.00035885    	1.013250e+05
0.000378249   	1.013250e+05
0.000397647   	1.013250e+05
0.000417046   	1.013250e+05
0.000436484   	1.013250e+05
0.000455922   	1.013250e+05
0.00047536    	1.013250e+05
0.000494798   	1.013250e+05
0.000514236   	1.013250e+05
0.000533674   	1.013250e+05
0.000553112   	1.013250e+05
0.00057255    	1.013250e+05
0.000591988   	1.013250e+05
0.000611427   	1.013250e+05
0.000630865   	1.013250e+05
0.000650303   	1.013250e+05
0.000669741   	1.013250e+05
0.000689179   	1.013251e+05
0.000708617   	1.013251e+05
0.000728055   	1.013252e+05
0.000747493   	1.013254e+05
0.000766931   	1.013257e+05
0.000786328   	1.013263e+05
0.000805684   	1.013271e+05
0.000824147   	1.013283e+05
0.000840621   	1.013298e+05
0.000855785   	1.013318e+05
0.000870029   	1.013341e+05
0.000883635   	1.013371e+05
0.000896771   	1.013407e+05
0.000909592   	1.013452e+05
0.000922183   	1.013506e+05
0.000934601   	1.013572e+05
0.000946902   	1.013653e+05
0.000959119   	1.013750e+05
0.000971304   	1.013867e+05
0.000983472   	1.014007e+05
0.00099564    	1.014175e+05
0.00100784    	1.014375e+05
0.00102009    	1.014612e+05
0.00103239    	1.014893e+05
0.00104478    	1.015225e+05
0.00105725    	1.015613e+05
0.00106981    	1.016068e+05
0.0010825     	1.016597e+05
0.00109529    	1.017211e+05
0.00110821    	1.017919e+05
0.00112127    	1.018732e+05
0.00113446    	1.019660e+05
0.0011478     	1.020713e+05
0.00116127    	1.021900e+05
0.00117489    	1.023230e+05
0.00118864    	1.024707e+05
0.00120251    	1.026334e+05
0.00121652    	1.028113e+05
0.00123064    	1.030038e+05
0.00124488    	1.032103e+05
0.00125921    	1.034292e+05
0.00127363    	1.036590e+05
0.00128813    	1.038975e+05
0.00130269    	1.041422e+05
0.00131731    	1.043902e+05
0.00133195    	1.046381e+05
0.00134662    	1.048829e+05
0.00136129    	1.051212e+05
0.00137598    	1.053505e+05
0.00139065    	1.055674e+05
0.00140531    	1.057704e+05
0.00141995    	1.059573e+05
0.00143457    	1.061270e+05
0.00144916    	1.062787e+05
0.00146373    	1.064120e+05
0.00147827    	1.065271e+05
0.00149276    	1.066241e+05
0.00150723    	1.067041e+05
0.00152168    	1.067682e+05
0.00153607    	1.068177e+05
0.00155044    	1.068545e+05
0.00156479    	1.068802e+05
0.00157908    	1.068970e+05
0.00159336    	1.069070e+05
0.0016076     	1.069126e+05
0.00162183    	1.069165e+05
0.00163603    	1.069215e+05
0.00165021    	1.069311e+05
0.00166436    	1.069490e+05
0.00167849    	1.069795e+05
0.00169261    	1.070281e+05
0.00170672    	1.071010e+05
0.00172082    	1.072059e+05
0.0017349     	1.073516e+05
0.00174898    	1.075491e+05
0.00176304    	1.078108e+05
0.0017771     	1.081517e+05
0.00179115    	1.085888e+05
0.00180518    	1.091396e+05
0.00181922    	1.098246e+05
0.00183325    	1.106637e+05
0.00184726    	1.116733e+05
0.00186126    	1.128698e+05
0.00187527    	1.142626e+05
0.00188928    	1.158528e+05
0.00190326    	1.176275e+05
0.00191725    	1.195676e+05
0.00193121    	1.216376e+05
0.00194517    	1.238006e+05
0.0019591     	1.260007e+05
0.00197304    	1.281838e+05
0.00198695    	1.302898e+05
0.00200086    	1.322720e+05
0.00201475    	1.340883e+05
0.00202861    	1.357176e+05
0.00204245    	1.371511e+05
0.00205627    	1.383907e+05
0.00207006    	1.394469e+05
0.00208383    	1.403354e+05
0.00209757    	1.410749e+05
0.00211129    	1.416849e+05
0.00212498    	1.421847e+05
0.00213866    	1.425924e+05
0.00215231    	1.429246e+05
0.00216593    	1.431959e+05
0.00217953    	1.434185e+05
0.00219311    	1.436027e+05
0.00220664    	1.437569e+05
0.00222014    	1.438880e+05
0.00223363    	1.440008e+05
0.00224706    	1.440990e+05
0.00226048    	1.441852e+05
0.00227387    	1.442611e+05
0.00228721    	1.443278e+05
0.00230053    	1.443865e+05
0.00231381    	1.444382e+05
0.00232706    	1.444841e+05
0.00234027    	1.445245e+05
0.00235343    	1.445601e+05
0.00236654    	1.445912e+05
0.00237961    	1.446182e+05
0.00239264    	1.446413e+05
0.00240562    	1.446612e+05
0.00241856    	1.446780e+05
0.00243145    	1.446925e+05
0.0024443     	1.447050e+05
0.00245709    	1.447160e+05
0.00246981    	1.447261e+05
0.00248248    	1.447359e+05
0.0024951     	1.447456e+05
0.00250765    	1.447559e+05
0.00252014    	1.447670e+05
0.00253256    	1.447796e+05
0.00254492    	1.447938e+05
0.00255723    	1.448099e+05
0.00256947    	1.448282e+05
0.00258165    	1.448486e+05
0.00259377    	1.448712e+05
0.00260585    	1.448960e+05
0.00261787    	1.449229e+05
0.00262984    	1.449518e+05
0.00264175    	1.449827e+05
0.00265361    	1.450155e+05
0.00266543    	1.450501e+05
0.0026772     	1.450864e+05
0.00268893    	1.451243e+05
0.00270061    	1.451637e+05
0.00271227    	1.452046e+05
0.0027239     	1.452469e+05
0.00273548    	1.452904e+05
0.00274705    	1.453351e+05
0.0027586     	1.453810e+05
0.00277011    	1.454278e+05
0.00278161    	1.454756e+05
0.0027931     	1.455242e+05
0.00280458    	1.455737e+05
0.00281605    	1.456239e+05
0.00282751    	1.456748e+05
0.00283897    	1.457263e+05
0.00285042    	1.457784e+05
0.00286188    	1.458311e+05
0.00287334    	1.458843e+05
0.0028848     	1.459380e+05
0.00289627    	1.459922e+05
0.00290775    	1.460470e+05
0.00291923    	1.461022e+05
0.00293072    	1.461580e+05
0.00294223    	1.462145e+05
0.00295375    	1.462716e+05
0.00296528    	1.463294e+05
0.00297683    	1.463879e+05
0.0029884     	1.464474e+05
0.00299997    	1.465077e+05
0.00301156    	1.465691e+05
0.00302317    	1.466316e+05
0.0030348     	1.466954e+05
0.00304645    	1.467606e+05
0.00305811    	1.468274e+05
0.0030698     	1.468958e+05
0.00308151    	1.469659e+05
0.00309321    	1.470378e+05
0.00310494    	1.471117e+05
0.00311668    	1.471879e+05
0.00312845    	1.472665e+05
0.00314024    	1.473477e+05
0.00315202    	1.474316e+05
0.00316383    	1.475185e+05
0.00317566    	1.476087e+05
0.00318749    	1.477024e+05
0.00319933    	1.477998e+05
0.00321118    	1.479012e+05
0.00322305    	1.480071e+05
0.00323492    	1.481177e+05
0.00324681    	1.482333e+05
0.0032587     	1.483541e+05
0.00327059    	1.484803e+05
0.0032825     	1.486125e+05
0.00329441    	1.487506e+05
0.00330632    	1.488948e+05
0.00331823    	1.490453e+05
0.00333016    	1.492026e+05
0.00334209    	1.493665e+05
0.00335402    	1.495372e+05
0.00336596    	1.497145e+05
0.00337789    	1.498984e+05
0.00338982    	1.500887e+05
0.00340175    	1.502852e+05
0.00341368    	1.504874e+05
0.00342561    	1.506950e+05
0.00343755    	1.509073e+05
0.00344948    	1.511236e+05
0.00346141    	1.513434e+05
0.00347334    	1.515658e+05
0.00348527    	1.517902e+05
0.0034972     	1.520156e+05
0.00350911    	1.522408e+05
0.00352102    	1.524653e+05
0.00353293    	1.526881e+05
0.00354484    	1.529083e+05
0.00355675    	1.531249e+05
0.00356866    	1.533369e+05
0.00358055    	1.535429e+05
0.00359244    	1.537426e+05
0.00360433    	1.539351e+05
0.00361622    	1.541196e+05
0.00362808    	1.542951e+05
0.00363995    	1.544613e+05
0.00365181    	1.546174e+05
0.00366368    	1.547627e+05
0.00367552    	1.548961e+05
0.00368737    	1.550176e+05
0.00369921    	1.551271e+05
0.00371103    	1.552240e+05
0.00372285    	1.553086e+05
0.00373467    	1.553807e+05
0.00374649    	1.554403e+05
0.00375829    	1.554875e+05
0.00377009    	1.555226e+05
0.00378189    	1.555457e+05
0.00379367    	1.555572e+05
0.00380545    	1.555572e+05
0.00381722    	1.555463e+05
0.00382898    	1.555248e+05
0.00384073    	1.554933e+05
0.00385249    	1.554525e+05
0.00386422    	1.554032e+05
0.00387595    	1.553466e+05
0.00388768    	1.552846e+05
0.00389941    	1.552195e+05
0.00391112    	1.551531e+05
0.00392283    	1.550852e+05
0.00393454    	1.550154e+05
0.00394623    	1.549435e+05
0.00395791    	1.548690e+05
0.0039696     	1.547915e+05
0.00398127    	1.547110e+05
0.00399293    	1.546277e+05
0.00400459    	1.545421e+05
0.00401624    	1.544552e+05
0.00402788    	1.543673e+05
0.0040395     	1.542790e+05
