# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	7.510327e+00	9.419490e+00	7.782308e+00
0             	back	5.144482e+00	6.647994e+00	5.217431e+00
0             	sides	7.320244e+00	7.322185e+00	7.321214e+00
0.01          	splitter	3.557170e+02	6.784631e+02	4.025779e+02
0.01          	back	3.958713e+01	8.087881e+01	5.854402e+01
0.01          	sides	1.455707e+02	2.682812e+02	2.166669e+02
0.02          	splitter	3.305758e+02	6.274379e+02	3.738922e+02
0.02          	back	3.483581e+01	7.491913e+01	5.290108e+01
0.02          	sides	1.398445e+02	2.496711e+02	2.013887e+02
0.03          	splitter	3.323085e+02	6.312714e+02	3.759182e+02
0.03          	back	3.527759e+01	7.659265e+01	5.385250e+01
0.03          	sides	1.400270e+02	2.541013e+02	2.019012e+02
0.04          	splitter	3.315926e+02	6.289568e+02	3.751288e+02
0.04          	back	4.786674e+01	9.718491e+01	7.133902e+01
0.04          	sides	1.415405e+02	2.785321e+02	2.001600e+02
0.05          	splitter	3.498022e+02	6.640394e+02	3.960676e+02
0.05          	back	5.598039e+01	1.067731e+02	8.157622e+01
0.05          	sides	1.495821e+02	3.040142e+02	2.099041e+02
0.06          	splitter	3.686751e+02	7.010636e+02	4.172756e+02
0.06          	back	5.831574e+01	1.145294e+02	8.576886e+01
0.06          	sides	1.564282e+02	2.848483e+02	2.200851e+02
0.07          	splitter	3.855245e+02	7.331644e+02	4.366991e+02
0.07          	back	6.102101e+01	1.190148e+02	8.957919e+01
0.07          	sides	1.637719e+02	3.427541e+02	2.301506e+02
0.08          	splitter	4.039674e+02	7.692629e+02	4.576077e+02
0.08          	back	6.423373e+01	1.232932e+02	9.378113e+01
0.08          	sides	1.706814e+02	3.223618e+02	2.398998e+02
0.09          	splitter	4.204824e+02	8.015035e+02	4.764346e+02
0.09          	back	6.601916e+01	1.307158e+02	9.740356e+01
0.09          	sides	1.773849e+02	3.497828e+02	2.493957e+02
0.1           	splitter	4.374892e+02	8.335988e+02	4.957759e+02
0.1           	back	6.953305e+01	1.321199e+02	1.012170e+02
0.1           	sides	1.843133e+02	3.781102e+02	2.588736e+02
0.11          	splitter	4.546995e+02	8.677353e+02	5.151623e+02
0.11          	back	7.154080e+01	1.400534e+02	1.051137e+02
0.11          	sides	1.906378e+02	3.498727e+02	2.678639e+02
0.12          	splitter	4.698261e+02	8.965694e+02	5.326161e+02
0.12          	back	7.372951e+01	1.447585e+02	1.084233e+02
0.12          	sides	1.972120e+02	4.120148e+02	2.769467e+02
0.13          	splitter	4.866367e+02	9.291321e+02	5.516922e+02
0.13          	back	7.738185e+01	1.460845e+02	1.122885e+02
0.13          	sides	2.035664e+02	3.974815e+02	2.857506e+02
0.14          	splitter	5.023457e+02	9.601427e+02	5.693329e+02
0.14          	back	7.859323e+01	1.549832e+02	1.157718e+02
0.14          	sides	2.095473e+02	3.808824e+02	2.941730e+02
0.15          	splitter	5.168137e+02	9.873398e+02	5.860905e+02
0.15          	back	8.114713e+01	1.579741e+02	1.189699e+02
0.15          	sides	2.158794e+02	4.562875e+02	3.027971e+02
0.16          	splitter	5.329887e+02	1.019324e+03	6.044397e+02
0.16          	back	8.429421e+01	1.606783e+02	1.227123e+02
0.16          	sides	2.217282e+02	4.254638e+02	3.110249e+02
0.17          	splitter	5.474132e+02	1.047666e+03	6.206866e+02
0.17          	back	8.539868e+01	1.687149e+02	1.258794e+02
0.17          	sides	2.274343e+02	4.214236e+02	3.189493e+02
0.18          	splitter	5.613390e+02	1.073679e+03	6.367786e+02
0.18          	back	8.810100e+01	1.707994e+02	1.289766e+02
0.18          	sides	2.334613e+02	4.943819e+02	3.271066e+02
0.19          	splitter	5.767632e+02	1.104458e+03	6.542743e+02
0.19          	back	9.097081e+01	1.739121e+02	1.325577e+02
0.19          	sides	2.389168e+02	4.565384e+02	3.348310e+02
0.2           	splitter	5.902813e+02	1.130908e+03	6.694799e+02
0.2           	back	9.193408e+01	1.816075e+02	1.355013e+02
0.2           	sides	2.443385e+02	4.561289e+02	3.422885e+02
