# Region type : patch sides
# Faces  :    260
# Area   :    3.200000e-03
# Time        	average(wallHeatFlux)
0             	9.256966e+04
1.19904e-05   	9.245592e+04
2.63616e-05   	9.232701e+04
4.35873e-05   	9.217301e+04
6.42437e-05   	9.198789e+04
8.90212e-05   	9.176492e+04
0.000118695   	9.149614e+04
0.000154239   	9.117108e+04
0.000196861   	9.077697e+04
0.000247919   	9.030024e+04
0.00030887    	8.972623e+04
0.000381736   	8.903306e+04
0.000469174   	8.819010e+04
0.000573909   	8.716250e+04
0.000697936   	8.591955e+04
0.000841045   	8.445551e+04
0.000993694   	8.286918e+04
0.00111066    	8.163255e+04
0.00121167    	8.055859e+04
0.00130517    	7.956543e+04
0.00139669    	7.859875e+04
0.00148822    	7.764147e+04
0.00157974    	7.669727e+04
0.0016733     	7.574989e+04
0.00176901    	7.480283e+04
0.001867      	7.385920e+04
0.0019674     	7.292220e+04
0.00206908    	7.200616e+04
0.00217208    	7.111362e+04
0.00227645    	7.024653e+04
0.00238083    	6.941639e+04
0.0024852     	6.862201e+04
0.00258957    	6.786122e+04
0.00269543    	6.712137e+04
0.0028013     	6.640962e+04
0.00290716    	6.572245e+04
0.00301302    	6.505661e+04
0.00312052    	6.439916e+04
0.00322801    	6.375739e+04
0.00333723    	6.311926e+04
0.00344646    	6.249264e+04
0.00355568    	6.187608e+04
0.00366679    	6.125804e+04
0.0037779     	6.064921e+04
0.00388901    	6.005055e+04
0.00400012    	5.946326e+04
0.00411333    	5.887824e+04
0.00422653    	5.830772e+04
0.00433974    	5.775317e+04
0.00445294    	5.721625e+04
0.00456615    	5.669833e+04
0.00468176    	5.619043e+04
0.00479737    	5.570387e+04
0.00491299    	5.523880e+04
0.0050286     	5.479527e+04
0.00514422    	5.437253e+04
0.00525983    	5.396996e+04
0.00537833    	5.357751e+04
0.00549684    	5.320441e+04
0.00561534    	5.284931e+04
0.00573385    	5.251113e+04
0.00585235    	5.218877e+04
0.00597086    	5.188122e+04
0.00608936    	5.158757e+04
0.00620786    	5.130718e+04
0.00632637    	5.103955e+04
0.00644487    	5.078434e+04
0.00656338    	5.054140e+04
0.00668188    	5.031074e+04
0.00680039    	5.009261e+04
0.00691889    	4.988738e+04
0.00703739    	4.969554e+04
0.0071559     	4.951765e+04
0.0072744     	4.935424e+04
0.00739291    	4.920580e+04
0.00751141    	4.907272e+04
0.00762991    	4.895530e+04
0.00774842    	4.885369e+04
0.00786692    	4.876789e+04
0.00798543    	4.869778e+04
0.00810393    	4.864306e+04
0.00822244    	4.860315e+04
0.00834094    	4.857737e+04
0.00845944    	4.856483e+04
0.00857795    	4.856455e+04
0.00869645    	4.857485e+04
0.00881496    	4.859389e+04
0.00893346    	4.861980e+04
0.00905197    	4.865078e+04
0.00917047    	4.868522e+04
0.00928897    	4.872172e+04
0.00940748    	4.875873e+04
0.00952598    	4.879508e+04
0.00964449    	4.882967e+04
0.00976299    	4.886126e+04
0.0098815     	4.888927e+04
0.01          	4.891311e+04
0.0101205     	4.893250e+04
0.010241      	4.894658e+04
0.0103614     	4.895495e+04
0.0104819     	4.895720e+04
0.0106024     	4.895301e+04
0.0107229     	4.894213e+04
0.0108434     	4.892452e+04
0.0109639     	4.890039e+04
0.0110843     	4.886982e+04
0.0112048     	4.883309e+04
0.0113253     	4.879059e+04
0.0114458     	4.874272e+04
0.0115663     	4.868991e+04
0.0116867     	4.863255e+04
0.0118072     	4.857089e+04
0.0119277     	4.850516e+04
0.0120482     	4.843558e+04
0.0121687     	4.836239e+04
0.0122892     	4.828594e+04
0.0124096     	4.820659e+04
0.0125301     	4.812469e+04
0.0126506     	4.804049e+04
0.0127711     	4.795424e+04
0.0128916     	4.786614e+04
0.013012      	4.777640e+04
0.0131325     	4.768509e+04
0.013253      	4.759228e+04
0.0133735     	4.749808e+04
0.013494      	4.740263e+04
0.0136145     	4.730619e+04
0.0137349     	4.720893e+04
0.0138554     	4.711101e+04
0.0139759     	4.701256e+04
0.0140964     	4.691375e+04
0.0142169     	4.681472e+04
0.0143373     	4.671550e+04
0.0144578     	4.661613e+04
0.0145783     	4.651670e+04
0.0146988     	4.641730e+04
0.0148193     	4.631810e+04
0.0149398     	4.621921e+04
0.0150602     	4.612074e+04
0.0151807     	4.602279e+04
0.0153012     	4.592545e+04
0.0154217     	4.582881e+04
0.0155422     	4.573295e+04
0.0156627     	4.563786e+04
0.0157831     	4.554357e+04
0.0159036     	4.545064e+04
0.0160241     	4.535852e+04
0.0161446     	4.526725e+04
0.0162651     	4.517690e+04
0.0163855     	4.508754e+04
0.016506      	4.499924e+04
0.0166265     	4.491206e+04
0.016747      	4.482608e+04
0.0168675     	4.474134e+04
0.016988      	4.465787e+04
0.0171084     	4.457565e+04
0.0172289     	4.449473e+04
0.0173494     	4.441512e+04
0.0174699     	4.433684e+04
0.0175904     	4.425994e+04
0.0177108     	4.418447e+04
0.0178313     	4.411046e+04
0.0179518     	4.403793e+04
0.0180723     	4.396689e+04
0.0181928     	4.389737e+04
0.0183133     	4.382933e+04
0.0184337     	4.376277e+04
0.0185542     	4.369764e+04
0.0186747     	4.363391e+04
0.0187952     	4.357155e+04
0.0189157     	4.351054e+04
