# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
1.19904e-05   	3.000290e+02
2.63616e-05   	3.000612e+02
4.35873e-05   	3.000980e+02
6.42437e-05   	3.001413e+02
8.90212e-05   	3.001932e+02
0.000118695   	3.002562e+02
0.000154239   	3.003333e+02
0.000196861   	3.004285e+02
0.000247919   	3.005460e+02
0.00030887    	3.006904e+02
0.000381736   	3.008675e+02
0.000469174   	3.010857e+02
0.000573909   	3.013551e+02
0.000697936   	3.016889e+02
0.000841045   	3.021012e+02
0.000993694   	3.025796e+02
0.00111066    	3.029728e+02
0.00121167    	3.033309e+02
0.00130517    	3.036774e+02
0.00139669    	3.040307e+02
0.00148822    	3.043994e+02
0.00157974    	3.047862e+02
0.0016733     	3.052053e+02
0.00176901    	3.056644e+02
0.001867      	3.061711e+02
0.0019674     	3.067302e+02
0.00206908    	3.073334e+02
0.00217208    	3.079718e+02
0.00227645    	3.086302e+02
0.00238083    	3.092810e+02
0.0024852     	3.099055e+02
0.00258957    	3.104883e+02
0.00269543    	3.110256e+02
0.0028013     	3.115049e+02
0.00290716    	3.119273e+02
0.00301302    	3.122979e+02
0.00312052    	3.126296e+02
0.00322801    	3.129259e+02
0.00333723    	3.131993e+02
0.00344646    	3.134528e+02
0.00355568    	3.136923e+02
0.00366679    	3.139262e+02
0.0037779     	3.141536e+02
0.00388901    	3.143765e+02
0.00400012    	3.145963e+02
0.00411333    	3.148176e+02
0.00422653    	3.150368e+02
0.00433974    	3.152546e+02
0.00445294    	3.154722e+02
0.00456615    	3.156898e+02
0.00468176    	3.159122e+02
0.00479737    	3.161347e+02
0.00491299    	3.163568e+02
0.0050286     	3.165786e+02
0.00514422    	3.167998e+02
0.00525983    	3.170203e+02
0.00537833    	3.172453e+02
0.00549684    	3.174691e+02
0.00561534    	3.176913e+02
0.00573385    	3.179116e+02
0.00585235    	3.181300e+02
0.00597086    	3.183462e+02
0.00608936    	3.185600e+02
0.00620786    	3.187714e+02
0.00632637    	3.189803e+02
0.00644487    	3.191869e+02
0.00656338    	3.193910e+02
0.00668188    	3.195928e+02
0.00680039    	3.197925e+02
0.00691889    	3.199902e+02
0.00703739    	3.201860e+02
0.0071559     	3.203799e+02
0.0072744     	3.205716e+02
0.00739291    	3.207611e+02
0.00751141    	3.209480e+02
0.00762991    	3.211321e+02
0.00774842    	3.213130e+02
0.00786692    	3.214904e+02
0.00798543    	3.216639e+02
0.00810393    	3.218332e+02
0.00822244    	3.219979e+02
0.00834094    	3.221576e+02
0.00845944    	3.223122e+02
0.00857795    	3.224615e+02
0.00869645    	3.226054e+02
0.00881496    	3.227438e+02
0.00893346    	3.228769e+02
0.00905197    	3.230048e+02
0.00917047    	3.231276e+02
0.00928897    	3.232460e+02
0.00940748    	3.233602e+02
0.00952598    	3.234708e+02
0.00964449    	3.235787e+02
0.00976299    	3.236843e+02
0.0098815     	3.237879e+02
0.01          	3.238901e+02
0.0101205     	3.239930e+02
0.010241      	3.240956e+02
0.0103614     	3.241983e+02
0.0104819     	3.243014e+02
0.0106024     	3.244052e+02
0.0107229     	3.245098e+02
0.0108434     	3.246156e+02
0.0109639     	3.247231e+02
0.0110843     	3.248333e+02
0.0112048     	3.249465e+02
0.0113253     	3.250630e+02
0.0114458     	3.251828e+02
0.0115663     	3.253058e+02
0.0116867     	3.254316e+02
0.0118072     	3.255601e+02
0.0119277     	3.256910e+02
0.0120482     	3.258239e+02
0.0121687     	3.259585e+02
0.0122892     	3.260946e+02
0.0124096     	3.262319e+02
0.0125301     	3.263703e+02
0.0126506     	3.265096e+02
0.0127711     	3.266495e+02
0.0128916     	3.267899e+02
0.013012      	3.269306e+02
0.0131325     	3.270714e+02
0.013253      	3.272122e+02
0.0133735     	3.273529e+02
0.013494      	3.274934e+02
0.0136145     	3.276336e+02
0.0137349     	3.277734e+02
0.0138554     	3.279128e+02
0.0139759     	3.280517e+02
0.0140964     	3.281900e+02
0.0142169     	3.283277e+02
0.0143373     	3.284648e+02
0.0144578     	3.286012e+02
0.0145783     	3.287369e+02
0.0146988     	3.288719e+02
0.0148193     	3.290061e+02
0.0149398     	3.291396e+02
0.0150602     	3.292724e+02
0.0151807     	3.294043e+02
0.0153012     	3.295354e+02
0.0154217     	3.296657e+02
0.0155422     	3.297952e+02
0.0156627     	3.299239e+02
0.0157831     	3.300517e+02
0.0159036     	3.301786e+02
0.0160241     	3.303048e+02
0.0161446     	3.304300e+02
0.0162651     	3.305544e+02
0.0163855     	3.306780e+02
0.016506      	3.308007e+02
0.0166265     	3.309225e+02
0.016747      	3.310437e+02
0.0168675     	3.311641e+02
