# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
0.01          	3.238901e+02
0.02          	3.341026e+02
0.03          	3.414260e+02
0.04          	3.481785e+02
0.05          	3.676232e+02
0.06          	3.676033e+02
0.07          	3.689879e+02
0.08          	3.744280e+02
0.09          	3.779944e+02
0.1           	3.808260e+02
0.11          	3.832177e+02
0.12          	3.851511e+02
0.13          	3.865099e+02
0.14          	3.875846e+02
0.15          	3.884908e+02
0.16          	3.890961e+02
0.17          	3.896138e+02
0.18          	3.900839e+02
0.19          	3.905111e+02
0.2           	3.908962e+02
0.21          	3.912059e+02
0.22          	3.914782e+02
0.23          	3.916991e+02
0.24          	3.918601e+02
0.25          	3.920041e+02
0.26          	3.921929e+02
0.27          	3.924089e+02
0.28          	3.925770e+02
0.29          	3.927448e+02
0.3           	3.929252e+02
0.31          	3.931456e+02
0.32          	3.933259e+02
0.33          	3.934634e+02
0.34          	3.935839e+02
0.35          	3.937012e+02
0.36          	3.938098e+02
0.37          	3.939124e+02
0.38          	3.940111e+02
0.39          	3.940970e+02
0.4           	3.941815e+02
0.41          	3.942518e+02
0.42          	3.943248e+02
0.43          	3.943979e+02
0.44          	3.944777e+02
0.45          	3.945483e+02
0.46          	3.946269e+02
0.47          	3.946857e+02
0.48          	3.947614e+02
0.49          	3.948037e+02
0.5           	3.948660e+02
