# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((9.159340e-16 -3.552714e-15 5.364101e-18) (0.000000e+00 -1.313888e-02 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.527422e-20 3.534142e-19 -2.775558e-17) (0.000000e+00 0.000000e+00 2.710505e-20) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((7.156608e-09 3.672001e-02 5.547108e-18) (-5.503654e-08 -7.126711e-05 -8.815930e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.855110e-20 3.686911e-19 8.411948e-09) (-1.430309e-20 -1.955516e-20 1.968402e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.938718e-08 3.471645e-02 5.484573e-18) (-6.498565e-08 -6.929204e-05 -9.498345e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.744204e-20 3.643910e-19 1.975148e-09) (-1.520237e-20 -2.095963e-20 2.263646e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((3.129912e-08 3.411792e-02 5.440310e-18) (-6.435136e-08 -6.770870e-05 -1.019211e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.665544e-20 3.614194e-19 2.328459e-09) (-1.608558e-20 -2.237709e-20 2.232576e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.175201e-07 3.304031e-02 5.415467e-18) (-6.564253e-08 -6.706777e-05 -1.073610e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.621348e-20 3.596851e-19 -2.667930e-09) (-1.675852e-20 -2.350891e-20 2.284868e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.198578e-09 3.316146e-02 5.407425e-18) (-6.323517e-08 -6.655404e-05 -1.117790e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.607059e-20 3.591663e-19 5.430240e-09) (-1.729732e-20 -2.449849e-20 2.231326e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((9.901449e-08 3.309980e-02 5.395820e-18) (-6.322924e-08 -6.585320e-05 -1.144336e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.586457e-20 3.583953e-19 -2.404871e-09) (-1.758697e-20 -2.515172e-20 2.183579e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((-5.114965e-08 3.283624e-02 5.386886e-18) (-6.516662e-08 -6.538431e-05 -1.165457e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.570592e-20 3.577827e-19 6.109159e-09) (-1.780538e-20 -2.571991e-20 2.222628e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((1.026955e-07 3.276166e-02 5.379564e-18) (-5.494755e-08 -6.496114e-05 -1.182312e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.557589e-20 3.572934e-19 -1.773160e-09) (-1.797798e-20 -2.616847e-20 1.864453e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((-6.197330e-08 3.271960e-02 5.373236e-18) (-6.274300e-08 -6.459890e-05 -1.194794e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.546347e-20 3.568726e-19 4.864511e-09) (-1.810588e-20 -2.652187e-20 2.025190e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((1.135442e-07 3.257944e-02 5.368287e-18) (-5.289254e-08 -6.433874e-05 -1.205131e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.537556e-20 3.565338e-19 -1.467400e-09) (-1.821136e-20 -2.683765e-20 1.767524e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((-4.543868e-08 3.252658e-02 5.364173e-18) (-6.639022e-08 -6.411896e-05 -1.214205e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.530248e-20 3.562579e-19 2.989966e-09) (-1.830474e-20 -2.711060e-20 2.159836e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((1.169834e-07 3.249036e-02 5.360382e-18) (-4.996541e-08 -6.398007e-05 -1.221448e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.523514e-20 3.560048e-19 -4.405041e-10) (-1.838103e-20 -2.732892e-20 1.691936e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((-1.487593e-08 3.244181e-02 5.357212e-18) (-6.429237e-08 -6.378650e-05 -1.227632e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.517882e-20 3.557914e-19 1.282455e-10) (-1.845053e-20 -2.752097e-20 2.075877e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((6.023397e-08 3.241227e-02 5.354772e-18) (-4.978029e-08 -6.362514e-05 -1.232606e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.513548e-20 3.556281e-19 3.118774e-09) (-1.850652e-20 -2.769002e-20 1.689771e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((3.379977e-08 3.230262e-02 5.352925e-18) (-6.226505e-08 -6.345641e-05 -1.236940e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.510288e-20 3.554936e-19 3.820974e-10) (-1.855901e-20 -2.783444e-20 2.026027e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((-1.157969e-08 3.236288e-02 5.351065e-18) (-5.161651e-08 -6.332939e-05 -1.240024e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.506964e-20 3.553794e-19 6.599502e-09) (-1.859723e-20 -2.794649e-20 1.752625e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.17          	((5.356041e-08 3.234268e-02 5.350002e-18) (-6.264700e-08 -6.321267e-05 -1.242600e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.505075e-20 3.553074e-19 -3.454366e-09) (-1.862998e-20 -2.804848e-20 2.036459e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.18          	((-6.043367e-08 3.232931e-02 5.349241e-18) (-5.549750e-08 -6.310031e-05 -1.244866e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.503723e-20 3.552560e-19 8.281473e-09) (-1.865797e-20 -2.814731e-20 1.856687e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.19          	((1.090783e-07 3.232004e-02 5.348697e-18) (-5.719095e-08 -6.299805e-05 -1.246870e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.502756e-20 3.552193e-19 -5.129418e-09) (-1.868245e-20 -2.823942e-20 1.875812e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.2           	((-1.078743e-07 3.231404e-02 5.348300e-18) (-6.010322e-08 -6.290245e-05 -1.248644e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.502053e-20 3.551926e-19 8.550941e-09) (-1.870514e-20 -2.832441e-20 1.970131e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.21          	((1.493689e-07 3.230975e-02 5.348017e-18) (-5.327010e-08 -6.281404e-05 -1.250257e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.501549e-20 3.551734e-19 -4.759351e-09) (-1.872566e-20 -2.840405e-20 1.807719e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.22          	((-1.150542e-07 3.222190e-02 5.347769e-18) (-6.467433e-08 -6.272167e-05 -1.251617e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.501134e-20 3.551458e-19 1.017584e-08) (-1.874313e-20 -2.847252e-20 2.131636e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.23          	((3.956897e-07 3.236519e-02 5.347184e-18) (-4.366826e-08 -6.266768e-05 -1.252796e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500068e-20 3.551240e-19 -1.309720e-08) (-1.875718e-20 -2.853287e-20 1.531958e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.24          	((-1.314493e-07 3.230705e-02 5.347045e-18) (-7.704389e-08 -6.260716e-05 -1.253796e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.499825e-20 3.551092e-19 2.459617e-09) (-1.877294e-20 -2.857446e-20 2.451261e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.25          	((1.256125e-07 3.230661e-02 5.346956e-18) (-4.179093e-08 -6.255711e-05 -1.254069e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.499666e-20 3.551032e-19 3.144896e-09) (-1.878251e-20 -2.859514e-20 1.494906e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.26          	((4.695255e-08 3.222903e-02 5.347224e-18) (-7.417850e-08 -6.251857e-05 -1.253853e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500161e-20 3.551109e-19 -6.510555e-09) (-1.878284e-20 -2.862053e-20 2.334364e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.27          	((-6.870247e-08 3.230360e-02 5.347220e-18) (-4.878143e-08 -6.245757e-05 -1.254182e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500136e-20 3.551202e-19 1.354835e-08) (-1.878784e-20 -2.867187e-20 1.691938e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.28          	((1.801242e-07 3.230428e-02 5.347239e-18) (-6.810520e-08 -6.239943e-05 -1.254741e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500169e-20 3.551214e-19 -1.415968e-08) (-1.879573e-20 -2.872266e-20 2.172036e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.29          	((-2.149748e-07 3.230629e-02 5.347286e-18) (-5.814294e-08 -6.233246e-05 -1.255324e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500253e-20 3.551247e-19 1.891000e-08) (-1.880511e-20 -2.877175e-20 1.945257e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.3           	((3.187856e-07 3.230622e-02 5.347351e-18) (-5.697004e-08 -6.229335e-05 -1.255957e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500367e-20 3.551288e-19 -1.799718e-08) (-1.881365e-20 -2.881766e-20 1.871526e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.31          	((-3.342452e-07 3.230697e-02 5.347400e-18) (-7.039505e-08 -6.224987e-05 -1.256413e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500456e-20 3.551322e-19 2.051149e-08) (-1.882178e-20 -2.885609e-20 2.280170e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.32          	((4.094880e-07 3.230904e-02 5.347421e-18) (-4.349742e-08 -6.220239e-05 -1.256606e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500492e-20 3.551336e-19 -1.749313e-08) (-1.882520e-20 -2.889061e-20 1.501209e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.33          	((-3.784689e-07 3.230904e-02 5.347425e-18) (-8.375851e-08 -6.215741e-05 -1.256839e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500501e-20 3.551340e-19 1.660483e-08) (-1.883031e-20 -2.892382e-20 2.632228e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.34          	((4.113543e-07 3.230969e-02 5.347429e-18) (-3.105220e-08 -6.211539e-05 -1.257221e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500507e-20 3.551341e-19 -1.118795e-08) (-1.883577e-20 -2.895791e-20 1.173234e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.35          	((-3.264990e-07 3.230939e-02 5.347425e-18) (-9.410620e-08 -6.207451e-05 -1.257601e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500502e-20 3.551340e-19 7.800418e-09) (-1.884207e-20 -2.899066e-20 2.890581e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.36          	((3.197145e-07 3.230971e-02 5.347428e-18) (-2.246272e-08 -6.202773e-05 -1.258089e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500506e-20 3.551341e-19 -6.169242e-10) (-1.884873e-20 -2.902033e-20 9.614714e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.37          	((-1.871763e-07 3.230884e-02 5.347424e-18) (-9.824764e-08 -6.199858e-05 -1.258492e-18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.500500e-20 3.551338e-19 -4.529902e-09) (-1.885496e-20 -2.904972e-20 2.983748e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
