# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.057359e+05
0.02          	1.045020e+05
0.03          	1.036485e+05
0.04          	1.031476e+05
0.05          	1.030012e+05
0.06          	1.027793e+05
0.07          	1.026042e+05
0.08          	1.024638e+05
0.09          	1.023433e+05
0.1           	1.022457e+05
0.11          	1.021665e+05
0.12          	1.020939e+05
0.13          	1.020324e+05
0.14          	1.019858e+05
0.15          	1.019470e+05
0.16          	1.019144e+05
0.17          	1.018938e+05
0.18          	1.018791e+05
0.19          	1.018685e+05
0.2           	1.018609e+05
0.21          	1.018554e+05
0.22          	1.018473e+05
0.23          	1.018423e+05
0.24          	1.018370e+05
0.25          	1.018353e+05
0.26          	1.018373e+05
0.27          	1.018402e+05
0.28          	1.018405e+05
0.29          	1.018415e+05
0.3           	1.018427e+05
0.31          	1.018436e+05
0.32          	1.018441e+05
0.33          	1.018442e+05
0.34          	1.018442e+05
0.35          	1.018442e+05
0.36          	1.018442e+05
0.37          	1.018441e+05
0.38          	1.018443e+05
0.39          	1.018443e+05
0.4           	1.018447e+05
0.41          	1.018449e+05
0.42          	1.018454e+05
0.43          	1.018465e+05
0.44          	1.018473e+05
0.45          	1.018474e+05
0.46          	1.018480e+05
0.47          	1.018479e+05
0.48          	1.018480e+05
0.49          	1.018475e+05
0.5           	1.018471e+05
