# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
0.01          	1.056276e+05
0.02          	1.043894e+05
0.03          	1.035354e+05
0.04          	1.030470e+05
0.05          	1.028860e+05
0.06          	1.026544e+05
0.07          	1.024792e+05
0.08          	1.023411e+05
0.09          	1.022203e+05
0.1           	1.021229e+05
0.11          	1.020437e+05
0.12          	1.019719e+05
0.13          	1.019116e+05
0.14          	1.018642e+05
0.15          	1.018265e+05
0.16          	1.017935e+05
0.17          	1.017729e+05
0.18          	1.017582e+05
0.19          	1.017477e+05
0.2           	1.017400e+05
0.21          	1.017346e+05
0.22          	1.017267e+05
0.23          	1.017213e+05
0.24          	1.017166e+05
0.25          	1.017149e+05
0.26          	1.017169e+05
0.27          	1.017194e+05
0.28          	1.017197e+05
0.29          	1.017206e+05
0.3           	1.017219e+05
0.31          	1.017229e+05
0.32          	1.017233e+05
0.33          	1.017234e+05
0.34          	1.017235e+05
0.35          	1.017235e+05
0.36          	1.017236e+05
0.37          	1.017235e+05
0.38          	1.017238e+05
0.39          	1.017238e+05
0.4           	1.017241e+05
0.41          	1.017242e+05
0.42          	1.017246e+05
0.43          	1.017256e+05
0.44          	1.017262e+05
0.45          	1.017263e+05
0.46          	1.017267e+05
0.47          	1.017266e+05
0.48          	1.017267e+05
0.49          	1.017262e+05
0.5           	1.017260e+05
