# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	8.668801e-03	1.000000e+00
2.63616e-05   	1.752527e-01	2.961134e-01	7.580696e-02	8.659618e-02	4.905326e-03	5.359510e-02
4.35873e-05   	1.199592e-01	2.020049e-01	7.228551e-02	2.915822e-02	5.260738e-03	3.011789e-02
6.42437e-05   	1.124024e-01	1.477623e-01	8.716610e-02	1.630412e-02	4.410516e-03	2.294890e-02
8.90212e-05   	1.124489e-01	1.173862e-01	9.767804e-02	1.057802e-02	4.001464e-03	2.085002e-02
0.000118695   	1.101183e-01	1.048466e-01	9.788859e-02	8.396083e-03	3.838169e-03	1.977450e-02
0.000154239   	1.074207e-01	1.097822e-01	9.221353e-02	8.112802e-03	4.075190e-03	1.888041e-02
0.000196861   	1.186751e-01	1.050528e-01	8.473533e-02	8.287259e-03	4.585006e-03	1.874962e-02
0.000247919   	1.211624e-01	8.712771e-02	7.838774e-02	8.303281e-03	5.122589e-03	1.943719e-02
0.00030887    	1.195745e-01	6.374808e-02	7.391370e-02	8.060050e-03	5.519891e-03	1.927858e-02
0.000381736   	1.214038e-01	4.479214e-02	7.118673e-02	7.770064e-03	5.567873e-03	1.863111e-02
0.000469174   	1.213482e-01	4.576564e-02	6.896703e-02	7.397998e-03	5.552100e-03	1.809431e-02
0.000573909   	1.146156e-01	8.010181e-02	6.947306e-02	7.053699e-03	5.497989e-03	1.738178e-02
0.000697936   	1.058711e-01	9.419044e-02	7.102009e-02	6.678618e-03	5.513607e-03	1.662075e-02
0.000841045   	1.011906e-01	9.519525e-02	7.359419e-02	6.649138e-03	6.115480e-03	1.582871e-02
0.000993694   	9.456698e-02	1.022607e-01	7.433944e-02	7.166855e-03	7.346881e-03	1.432265e-02
0.00111066    	6.924730e-02	8.132526e-02	5.783165e-02	5.909387e-03	6.099750e-03	1.008475e-02
0.00121167    	5.831659e-02	6.025219e-02	5.108626e-02	5.312035e-03	5.335695e-03	8.105985e-03
0.00130517    	5.368907e-02	4.494651e-02	4.902153e-02	5.083617e-03	4.670642e-03	7.009090e-03
0.00139669    	5.309776e-02	3.501981e-02	5.070278e-02	5.139402e-03	4.245868e-03	6.419630e-03
0.00148822    	5.418431e-02	2.712804e-02	5.419424e-02	5.214273e-03	4.113392e-03	6.010145e-03
0.00157974    	5.582956e-02	2.093082e-02	5.829534e-02	5.124164e-03	4.080567e-03	5.632212e-03
0.0016733     	5.917328e-02	1.696093e-02	6.414679e-02	4.990839e-03	4.111051e-03	5.385285e-03
0.00176901    	6.311390e-02	1.465196e-02	7.080184e-02	4.815247e-03	4.049640e-03	5.146541e-03
0.001867      	6.758392e-02	1.365718e-02	7.821903e-02	4.648130e-03	4.013998e-03	4.913847e-03
0.0019674     	7.241603e-02	1.332847e-02	8.616884e-02	4.504470e-03	3.949116e-03	4.676060e-03
0.00206908    	7.647896e-02	1.309483e-02	9.264441e-02	4.351308e-03	3.840492e-03	4.385389e-03
0.00217208    	8.009847e-02	1.284003e-02	9.461013e-02	4.216440e-03	3.722332e-03	4.097431e-03
0.00227645    	8.281117e-02	1.245076e-02	9.263486e-02	4.101054e-03	3.611209e-03	3.805615e-03
0.00238083    	8.361296e-02	1.182920e-02	8.679551e-02	3.966894e-03	3.468313e-03	3.475177e-03
0.0024852     	8.323457e-02	1.117331e-02	7.853096e-02	3.842939e-03	3.351605e-03	3.167172e-03
0.00258957    	8.151183e-02	1.053860e-02	6.862654e-02	3.729543e-03	3.245335e-03	2.883810e-03
0.00269543    	8.002675e-02	1.005019e-02	5.878937e-02	3.657554e-03	3.177054e-03	2.661407e-03
0.0028013     	7.739815e-02	9.508776e-03	4.857621e-02	3.553210e-03	3.086325e-03	2.437831e-03
0.00290716    	7.595124e-02	8.981805e-03	3.967226e-02	3.453700e-03	2.990667e-03	2.252733e-03
0.00301302    	7.585270e-02	8.523450e-03	3.212858e-02	3.357609e-03	2.898566e-03	2.104531e-03
0.00312052    	7.808792e-02	8.168020e-03	2.633807e-02	3.304087e-03	2.857214e-03	2.010084e-03
0.00322801    	8.053884e-02	7.779911e-03	2.152136e-02	3.211625e-03	2.774330e-03	1.909363e-03
0.00333723    	8.589587e-02	7.545228e-03	1.818734e-02	3.168456e-03	2.748690e-03	1.848455e-03
0.00344646    	9.152156e-02	7.238091e-03	1.537404e-02	3.084523e-03	2.686318e-03	1.775954e-03
0.00355568    	9.815243e-02	7.014417e-03	1.311158e-02	3.003870e-03	2.629789e-03	1.714380e-03
0.00366679    	1.071595e-01	6.865628e-03	1.137733e-02	2.970324e-03	2.625874e-03	1.683060e-03
0.0037779     	1.151952e-01	6.655081e-03	9.722364e-03	2.892173e-03	2.569589e-03	1.630984e-03
0.00388901    	1.241543e-01	6.477508e-03	8.291523e-03	2.823738e-03	2.519897e-03	1.583234e-03
0.00400012    	1.344979e-01	6.285247e-03	7.042861e-03	2.757662e-03	2.461109e-03	1.541238e-03
0.00411333    	1.494909e-01	6.197235e-03	6.042210e-03	2.728632e-03	2.442758e-03	1.526937e-03
0.00422653    	1.645077e-01	6.021599e-03	5.068439e-03	2.665268e-03	2.390513e-03	1.494225e-03
0.00433974    	1.821240e-01	5.843784e-03	4.235990e-03	2.606289e-03	2.332349e-03	1.465234e-03
0.00445294    	2.021343e-01	5.703852e-03	3.548436e-03	2.545543e-03	2.277460e-03	1.439571e-03
0.00456615    	2.245859e-01	5.556118e-03	3.091603e-03	2.492416e-03	2.226185e-03	1.417229e-03
0.00468176    	2.530747e-01	5.496118e-03	2.936186e-03	2.479662e-03	2.211957e-03	1.422184e-03
0.00479737    	2.773083e-01	5.378255e-03	2.823202e-03	2.424937e-03	2.154616e-03	1.400851e-03
0.00491299    	3.006614e-01	5.255055e-03	2.778304e-03	2.381362e-03	2.108588e-03	1.377874e-03
0.0050286     	3.227133e-01	5.149180e-03	2.777148e-03	2.336149e-03	2.063879e-03	1.356059e-03
0.00514422    	3.423776e-01	5.047254e-03	2.798780e-03	2.294012e-03	2.011738e-03	1.335559e-03
0.00525983    	3.590983e-01	4.946447e-03	2.838768e-03	2.259518e-03	1.972347e-03	1.315492e-03
0.00537833    	3.767573e-01	4.937503e-03	2.922804e-03	2.266373e-03	1.974079e-03	1.323057e-03
0.00549684    	3.793084e-01	4.851200e-03	2.941739e-03	2.230745e-03	1.928432e-03	1.303928e-03
0.00561534    	3.762725e-01	4.749355e-03	2.935825e-03	2.200297e-03	1.885637e-03	1.285272e-03
0.00573385    	3.704197e-01	4.668026e-03	2.922921e-03	2.170451e-03	1.847689e-03	1.267256e-03
0.00585235    	3.627702e-01	4.585304e-03	2.903371e-03	2.141655e-03	1.805384e-03	1.248227e-03
0.00597086    	3.541971e-01	4.494748e-03	2.879613e-03	2.117252e-03	1.769690e-03	1.229850e-03
