# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	1.502065e+00	1.883898e+00	1.556462e+00
0             	back	1.028896e+00	1.329599e+00	1.043486e+00
0             	sides	1.464049e+00	1.464437e+00	1.464243e+00
0.01          	splitter	4.770205e+00	1.035124e+01	5.731868e+00
0.01          	back	3.638326e-01	1.277555e+00	8.221819e-01
0.01          	sides	5.627864e-01	2.594265e+00	1.095548e+00
0.02          	splitter	4.652233e+00	1.012693e+01	5.583743e+00
0.02          	back	4.983923e-01	1.226598e+00	8.917587e-01
0.02          	sides	5.457301e-01	3.229218e+00	1.356289e+00
0.03          	splitter	4.573443e+00	9.953671e+00	5.487183e+00
0.03          	back	4.925812e-01	1.121279e+00	8.258840e-01
0.03          	sides	5.215686e-01	3.320717e+00	1.390872e+00
0.04          	splitter	4.528181e+00	9.818926e+00	5.425419e+00
0.04          	back	4.543858e-01	1.047599e+00	7.580506e-01
0.04          	sides	5.389503e-01	3.318138e+00	1.418574e+00
0.05          	splitter	4.514218e+00	9.798746e+00	5.410471e+00
0.05          	back	4.168269e-01	1.013013e+00	7.016216e-01
0.05          	sides	5.433850e-01	3.159341e+00	1.410072e+00
0.06          	splitter	4.513117e+00	9.804674e+00	5.411034e+00
0.06          	back	3.813394e-01	1.002359e+00	6.519576e-01
0.06          	sides	5.450296e-01	2.877910e+00	1.392281e+00
0.07          	splitter	4.491705e+00	9.755438e+00	5.383921e+00
0.07          	back	3.509267e-01	9.945287e-01	6.111521e-01
0.07          	sides	5.405176e-01	2.932403e+00	1.397143e+00
0.08          	splitter	4.483833e+00	9.740498e+00	5.374805e+00
0.08          	back	3.266683e-01	9.881910e-01	5.795413e-01
0.08          	sides	5.400399e-01	2.954630e+00	1.395484e+00
0.09          	splitter	4.474810e+00	9.723729e+00	5.364296e+00
0.09          	back	3.098162e-01	9.827077e-01	5.579079e-01
0.09          	sides	5.391312e-01	2.948303e+00	1.394625e+00
0.1           	splitter	4.467054e+00	9.707929e+00	5.355014e+00
0.1           	back	2.966940e-01	9.786333e-01	5.409691e-01
0.1           	sides	5.381335e-01	2.938742e+00	1.393679e+00
0.11          	splitter	4.460926e+00	9.696140e+00	5.347797e+00
0.11          	back	2.854737e-01	9.758804e-01	5.273065e-01
0.11          	sides	5.374995e-01	2.942490e+00	1.392561e+00
0.12          	splitter	4.456547e+00	9.688304e+00	5.342783e+00
0.12          	back	2.771495e-01	9.746882e-01	5.182341e-01
0.12          	sides	5.370641e-01	2.939994e+00	1.391917e+00
0.13          	splitter	4.452450e+00	9.681323e+00	5.338123e+00
0.13          	back	2.712376e-01	9.741739e-01	5.119876e-01
0.13          	sides	5.369553e-01	2.938941e+00	1.391293e+00
0.14          	splitter	4.448392e+00	9.672256e+00	5.333106e+00
0.14          	back	2.669085e-01	9.744224e-01	5.079618e-01
0.14          	sides	5.362636e-01	2.939717e+00	1.391066e+00
0.15          	splitter	4.445376e+00	9.667129e+00	5.329705e+00
0.15          	back	2.640705e-01	9.752541e-01	5.059702e-01
0.15          	sides	5.362078e-01	2.939441e+00	1.390697e+00
0.16          	splitter	4.442908e+00	9.661715e+00	5.326661e+00
0.16          	back	2.628723e-01	9.765966e-01	5.062222e-01
0.16          	sides	5.356779e-01	2.938492e+00	1.390457e+00
0.17          	splitter	4.440773e+00	9.657680e+00	5.324165e+00
0.17          	back	2.625268e-01	9.786251e-01	5.075699e-01
0.17          	sides	5.355375e-01	2.936821e+00	1.390171e+00
0.18          	splitter	4.439417e+00	9.655114e+00	5.322589e+00
0.18          	back	2.625857e-01	9.805382e-01	5.091433e-01
0.18          	sides	5.354018e-01	2.937658e+00	1.389912e+00
0.19          	splitter	4.438367e+00	9.653149e+00	5.321374e+00
0.19          	back	2.631879e-01	9.827404e-01	5.113265e-01
0.19          	sides	5.353195e-01	2.936159e+00	1.389800e+00
0.2           	splitter	4.437618e+00	9.651812e+00	5.320513e+00
0.2           	back	2.642045e-01	9.851052e-01	5.140175e-01
