# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
0.01          	3.000000e+02
0.02          	3.000000e+02
0.03          	3.000000e+02
0.04          	3.000000e+02
0.05          	3.000000e+02
0.06          	3.000000e+02
0.07          	3.000000e+02
0.08          	3.000000e+02
0.09          	3.000000e+02
0.1           	3.000000e+02
0.11          	3.000000e+02
0.12          	3.000000e+02
0.13          	3.000000e+02
0.14          	3.000000e+02
0.15          	3.000000e+02
0.16          	3.000000e+02
0.17          	3.000000e+02
0.18          	3.000000e+02
0.19          	3.000000e+02
0.2           	3.000000e+02
0.21          	3.000000e+02
0.22          	3.000000e+02
0.23          	3.000000e+02
0.24          	3.000000e+02
0.25          	3.000000e+02
0.26          	3.000000e+02
0.27          	3.000000e+02
0.28          	3.000000e+02
0.29          	3.000000e+02
0.3           	3.000000e+02
0.31          	3.000000e+02
0.32          	3.000000e+02
0.33          	3.000000e+02
0.34          	3.000000e+02
0.35          	3.000000e+02
0.36          	3.000000e+02
0.37          	3.000000e+02
0.38          	3.000000e+02
0.39          	3.000000e+02
0.4           	3.000000e+02
0.41          	3.000000e+02
0.42          	3.000000e+02
0.43          	3.000000e+02
0.44          	3.000000e+02
0.45          	3.000000e+02
0.46          	3.000000e+02
0.47          	3.000000e+02
0.48          	3.000000e+02
0.49          	3.000000e+02
0.5           	3.000000e+02
