# Region type : patch outlet
# Faces  :    121
# Area   :    4.800000e-04
# Time        	average(T)
0             	3.000000e+02
0.01          	3.032684e+02
0.02          	3.023110e+02
0.03          	3.016367e+02
0.04          	3.013786e+02
0.05          	3.022337e+02
0.06          	3.032640e+02
0.07          	3.044798e+02
0.08          	3.059221e+02
0.09          	3.068320e+02
0.1           	3.076235e+02
0.11          	3.083326e+02
0.12          	3.088941e+02
0.13          	3.093106e+02
0.14          	3.096316e+02
0.15          	3.098812e+02
0.16          	3.100937e+02
0.17          	3.102660e+02
0.18          	3.104014e+02
0.19          	3.105257e+02
0.2           	3.106259e+02
0.21          	3.107256e+02
0.22          	3.108017e+02
0.23          	3.108841e+02
0.24          	3.109637e+02
0.25          	3.110004e+02
0.26          	3.110194e+02
0.27          	3.109766e+02
0.28          	3.109762e+02
0.29          	3.111132e+02
0.3           	3.113717e+02
0.31          	3.113388e+02
0.32          	3.106047e+02
0.33          	3.094298e+02
0.34          	3.084493e+02
0.35          	3.081795e+02
0.36          	3.086024e+02
0.37          	3.093574e+02
0.38          	3.093197e+02
0.39          	3.078363e+02
0.4           	3.066884e+02
0.41          	3.068403e+02
0.42          	3.080197e+02
0.43          	3.090560e+02
0.44          	3.081469e+02
0.45          	3.065954e+02
0.46          	3.065901e+02
0.47          	3.078504e+02
0.48          	3.090258e+02
0.49          	3.080891e+02
0.5           	3.065644e+02
