# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((9.159340e-16 -3.552714e-15 5.364101e-18) (0.000000e+00 -2.620390e-02 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.527422e-20 3.534142e-19 -2.775558e-17) (0.000000e+00 0.000000e+00 5.421011e-20) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((4.743153e-07 3.344920e-02 5.531010e-18) (-1.397682e-07 -1.086167e-04 -5.224017e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.827060e-20 3.672161e-19 -1.011973e-08) (-3.085196e-22 -1.601665e-20 7.194461e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((5.647949e-07 3.155116e-02 5.471699e-18) (-1.493677e-07 -1.079503e-04 -1.030738e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.721941e-20 3.631380e-19 -5.121092e-09) (-1.428689e-21 -1.592820e-20 5.669316e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.746661e-07 3.126680e-02 5.429005e-18) (-1.280213e-07 -1.075941e-04 -1.217858e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.646122e-20 3.603008e-19 2.100549e-09) (-1.689663e-21 -1.587267e-20 5.243191e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((3.494414e-07 3.094092e-02 5.399696e-18) (-9.242799e-08 -1.084985e-04 -1.339570e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.593959e-20 3.583440e-19 -6.664847e-09) (-1.841063e-21 -1.610414e-20 4.021139e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.286866e-07 3.054675e-02 5.382099e-18) (-1.116930e-07 -1.096278e-04 -1.416564e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.562695e-20 3.571496e-19 2.044397e-09) (-1.942937e-21 -1.625611e-20 4.686163e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((2.343110e-07 3.031631e-02 5.370264e-18) (-1.002710e-07 -1.104672e-04 -1.496830e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.541667e-20 3.563496e-19 3.551943e-10) (-2.049681e-21 -1.650840e-20 4.435725e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((2.382161e-07 3.006615e-02 5.361423e-18) (-1.131145e-07 -1.108417e-04 -1.540719e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.525961e-20 3.557447e-19 -5.966231e-09) (-2.102862e-21 -1.660728e-20 4.871735e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((8.293084e-08 2.998799e-02 5.355482e-18) (-1.116560e-07 -1.110876e-04 -1.576349e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.515404e-20 3.553468e-19 7.842905e-09) (-2.146435e-21 -1.668668e-20 4.897960e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((4.064921e-07 2.988567e-02 5.350531e-18) (-1.041981e-07 -1.111522e-04 -1.606028e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.506606e-20 3.550115e-19 -1.279186e-08) (-2.183161e-21 -1.675391e-20 4.648387e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
