# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	T             
0             	N/A	N/A	N/A	N/A	N/A
1.19904e-05   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.277014e-03	N/A
2.63616e-05   	1.715127e-01	2.828333e-01	8.551073e-02	6.992800e-02	9.109346e-03	N/A
4.35873e-05   	1.157784e-01	2.080702e-01	8.268672e-02	3.139635e-02	1.085471e-02	N/A
6.42437e-05   	1.017296e-01	1.571121e-01	9.060975e-02	1.985696e-02	1.021003e-02	N/A
8.90212e-05   	9.730500e-02	1.201841e-01	9.617683e-02	1.449596e-02	9.818124e-03	N/A
0.000118695   	9.412476e-02	9.833868e-02	9.535294e-02	1.140795e-02	8.517387e-03	N/A
0.000154239   	9.060617e-02	1.095190e-01	9.045774e-02	1.007693e-02	7.841441e-03	N/A
0.000196861   	1.012950e-01	1.178576e-01	8.383675e-02	9.390513e-03	7.618659e-03	N/A
0.000247919   	1.042838e-01	9.930627e-02	7.760685e-02	8.988072e-03	7.617991e-03	N/A
0.00030887    	1.029908e-01	7.245566e-02	7.248124e-02	8.586306e-03	7.476700e-03	N/A
0.000381736   	1.064741e-01	5.288011e-02	6.942254e-02	8.285206e-03	7.287838e-03	N/A
0.000469174   	1.076235e-01	4.646251e-02	6.736460e-02	8.028662e-03	7.211633e-03	N/A
0.000573909   	1.018597e-01	6.737856e-02	6.680698e-02	7.791137e-03	7.098756e-03	N/A
0.000697936   	9.424778e-02	9.117536e-02	6.700695e-02	7.595152e-03	7.014664e-03	N/A
0.000841045   	8.812135e-02	1.257849e-01	6.800927e-02	7.585305e-03	7.148041e-03	N/A
0.00100173    	8.704379e-02	1.496572e-01	7.068040e-02	8.130712e-03	7.958903e-03	N/A
0.00113406    	6.868329e-02	1.123521e-01	5.851980e-02	7.022435e-03	6.942678e-03	N/A
0.0012492     	5.919716e-02	7.637226e-02	5.246915e-02	6.332885e-03	6.098021e-03	N/A
0.00135215    	5.369835e-02	5.107643e-02	4.919067e-02	5.795932e-03	5.192379e-03	N/A
0.00145155    	5.323983e-02	3.635145e-02	5.014669e-02	5.699664e-03	4.792123e-03	N/A
0.00154869    	5.396404e-02	2.621503e-02	5.273102e-02	5.557485e-03	4.558430e-03	N/A
0.00164696    	5.698577e-02	1.993455e-02	5.733046e-02	5.448045e-03	4.501261e-03	N/A
0.0017476     	6.124633e-02	1.617707e-02	6.312140e-02	5.309736e-03	4.482691e-03	N/A
0.00185076    	6.612779e-02	1.416735e-02	6.957809e-02	5.158372e-03	4.416365e-03	N/A
0.00195659    	7.153416e-02	1.329030e-02	7.652675e-02	4.994627e-03	4.377390e-03	N/A
0.00206384    	7.620279e-02	1.283627e-02	8.267611e-02	4.815795e-03	4.284125e-03	N/A
0.00217255    	8.051829e-02	1.250568e-02	8.820846e-02	4.653470e-03	4.183689e-03	N/A
0.0022828     	8.510214e-02	1.212262e-02	9.144434e-02	4.509800e-03	4.061117e-03	N/A
0.00239304    	8.764082e-02	1.151020e-02	8.773620e-02	4.340354e-03	3.910768e-03	N/A
