# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 -3.068827e-02 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 -1.348476e-18) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0001        	((4.966410e-06 1.394541e+00 3.341367e-17) (-5.293496e-07 -2.496294e-03 -6.633147e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.325067e-19 -4.242707e-20 -2.392570e-07) (-2.599497e-22 2.291778e-21 1.732969e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0002        	((-1.223808e-06 7.122134e-02 1.048442e-19) (-4.516766e-08 -5.344351e-04 -1.575989e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.319964e-21 4.000856e-21 6.436169e-08) (-5.220521e-24 -4.157592e-24 6.079930e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0003        	((-6.669279e-07 6.436745e-02 8.260940e-20) (-6.205884e-08 -3.192143e-04 -1.165777e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.845845e-21 3.589938e-21 6.849792e-08) (-4.415474e-24 -3.979004e-24 1.045340e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0004        	((-1.141933e-06 6.034414e-02 7.239379e-20) (-8.838982e-08 -2.190595e-04 -8.802918e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.615158e-21 3.342367e-21 8.544259e-08) (-3.769970e-24 -3.742609e-24 1.250912e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0005        	((-9.849546e-07 5.730484e-02 6.509988e-20) (8.720235e-09 -1.635814e-04 -5.033660e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.441610e-21 3.154994e-21 8.700581e-08) (-2.810182e-24 -3.612312e-24 6.874435e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0006        	((-8.221200e-07 5.489801e-02 5.955514e-20) (-1.654299e-08 -1.412521e-04 -2.487322e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.310506e-21 3.005350e-21 6.605678e-08) (-2.169162e-24 -3.578100e-24 6.036975e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0007        	((-3.246918e-07 5.290741e-02 5.556114e-20) (-8.965850e-09 -1.350531e-04 -8.711215e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.216054e-21 2.878213e-21 3.406583e-08) (-1.760728e-24 -3.565217e-24 4.226957e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0008        	((-3.185577e-07 5.123459e-02 5.239281e-20) (-2.555679e-08 -1.296982e-04 1.180342e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.142336e-21 2.774537e-21 1.634883e-08) (-1.522716e-24 -3.549381e-24 3.869757e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0009        	((3.014065e-08 4.978806e-02 4.990133e-20) (-5.513429e-08 -1.259389e-04 7.582440e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.084554e-21 2.684562e-21 -1.420732e-09) (-1.367089e-24 -3.526936e-24 4.133093e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.001         	((-8.713178e-08 4.851988e-02 4.790300e-20) (-8.231913e-08 -1.247431e-04 1.123538e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.038878e-21 2.606693e-21 -5.987925e-09) (-1.279349e-24 -3.476850e-24 3.861946e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0011        	((2.306487e-07 4.741295e-02 4.629790e-20) (-9.864672e-08 -1.238874e-04 6.554849e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.002544e-21 2.539702e-21 -1.689025e-08) (-1.410367e-24 -3.306299e-24 3.763917e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0012        	((4.612108e-08 4.641302e-02 4.496624e-20) (-8.316712e-08 -1.237775e-04 -3.986185e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.728719e-22 2.480119e-21 -1.646092e-08) (-1.688380e-24 -3.319706e-24 2.537990e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0013        	((3.013299e-07 4.552428e-02 4.383716e-20) (-9.559196e-08 -1.247610e-04 -1.280769e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.477725e-22 2.427267e-21 -2.714601e-08) (-1.911821e-24 -3.264889e-24 2.684419e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0014        	((7.978460e-08 4.473372e-02 4.283960e-20) (-1.059593e-07 -1.243139e-04 -2.201298e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.259408e-22 2.381265e-21 -2.278011e-08) (-2.140667e-24 -3.219893e-24 2.712624e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0015        	((7.928187e-08 4.399945e-02 4.203898e-20) (-1.060329e-07 -1.231880e-04 -3.063118e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.084864e-22 2.338199e-21 -2.562729e-08) (-2.342637e-24 -3.168202e-24 2.314525e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0016        	((2.293313e-07 4.333893e-02 4.135256e-20) (-9.759823e-08 -1.227496e-04 -3.007459e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.937131e-22 2.299954e-21 -2.627243e-08) (-2.310697e-24 -2.972438e-24 1.881879e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0017        	((3.243953e-08 4.272600e-02 4.073794e-20) (-9.042546e-08 -1.227036e-04 -3.612845e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.805003e-22 2.264659e-21 -1.754396e-08) (-2.439710e-24 -2.907237e-24 1.445574e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0018        	((-1.867064e-07 4.215976e-02 4.022337e-20) (-8.742920e-08 -1.228971e-04 -4.039362e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.693149e-22 2.232223e-21 -1.124325e-08) (-2.517907e-24 -2.813824e-24 1.248252e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0019        	((1.503985e-07 4.163593e-02 3.977864e-20) (-7.752592e-08 -1.232440e-04 -4.643343e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.599163e-22 2.202214e-21 -1.996619e-08) (-2.641198e-24 -2.755896e-24 1.144956e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.002         	((9.693211e-08 4.116418e-02 3.937049e-20) (-7.361972e-08 -1.236016e-04 -5.118642e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.513340e-22 2.175661e-21 -1.893957e-08) (-2.731435e-24 -2.701048e-24 1.149172e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0021        	((7.258799e-09 4.071259e-02 3.903365e-20) (-7.275044e-08 -1.238622e-04 -5.509940e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.442660e-22 2.149975e-21 -1.461689e-08) (-2.797621e-24 -2.635818e-24 1.420068e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0022        	((1.218585e-07 4.027998e-02 3.875318e-20) (-7.301184e-08 -1.240951e-04 -5.831639e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.384012e-22 2.125149e-21 -1.872064e-08) (-2.844678e-24 -2.565802e-24 1.693248e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0023        	((1.057461e-07 3.989693e-02 3.847548e-20) (-7.516297e-08 -1.244194e-04 -6.107689e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.327777e-22 2.103880e-21 -1.722465e-08) (-2.884758e-24 -2.502107e-24 1.919438e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0024        	((6.714908e-08 3.952704e-02 3.824001e-20) (-7.731965e-08 -1.247343e-04 -6.364524e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.280228e-22 2.083081e-21 -1.514478e-08) (-2.919705e-24 -2.435226e-24 2.051327e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0025        	((-2.395950e-08 3.917487e-02 3.803102e-20) (-7.501390e-08 -1.250129e-04 -6.513429e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.238770e-22 2.063213e-21 -1.203857e-08) (-2.929245e-24 -2.380583e-24 2.160959e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0026        	((6.041056e-08 3.885143e-02 3.783883e-20) (-7.681114e-08 -1.252985e-04 -6.486122e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.201928e-22 2.045215e-21 -1.066111e-08) (-2.898969e-24 -2.364469e-24 2.404537e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0027        	((4.224329e-08 3.853736e-02 3.767087e-20) (-7.509876e-08 -1.256446e-04 -6.588077e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.169494e-22 2.027664e-21 -1.121786e-08) (-2.899415e-24 -2.331227e-24 2.484641e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0028        	((9.825813e-08 3.824174e-02 3.752394e-20) (-6.885458e-08 -1.259161e-04 -6.774731e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.142633e-22 2.011279e-21 -1.460491e-08) (-2.921177e-24 -2.281045e-24 2.543653e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0029        	((3.364167e-08 3.796705e-02 3.738736e-20) (-7.271187e-08 -1.261360e-04 -6.968803e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.118324e-22 1.996178e-21 -9.434040e-09) (-2.946343e-24 -2.236204e-24 2.778915e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.003         	((6.993735e-08 3.769722e-02 3.727559e-20) (-7.448726e-08 -1.263036e-04 -7.075094e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.099091e-22 1.981183e-21 -1.031310e-08) (-2.949970e-24 -2.194313e-24 2.869854e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0031        	((1.824544e-08 3.744623e-02 3.715832e-20) (-7.533946e-08 -1.264636e-04 -7.485501e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.079421e-22 1.967401e-21 -8.395783e-09) (-3.028917e-24 -2.119998e-24 2.919896e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0032        	((7.658504e-08 3.720204e-02 3.706840e-20) (-7.547403e-08 -1.266572e-04 -7.355547e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.064800e-22 1.953884e-21 -9.775861e-09) (-2.978316e-24 -2.121396e-24 2.903260e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
