# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
1e-05         	7.870265e+05
2e-05         	2.972332e+04
3e-05         	1.416725e+04
4e-05         	-2.874419e+03
5e-05         	2.384967e+02
6e-05         	-5.516988e+02
7e-05         	-3.072045e+02
8e-05         	-1.591672e+02
9e-05         	-9.553966e+01
0.0001        	-5.503736e+01
0.00011       	-2.498919e+01
0.00012       	1.077995e+00
0.00013       	1.279679e+01
0.00014       	2.653588e+01
0.00015       	3.910645e+01
0.00016       	4.729894e+01
0.00017       	5.600520e+01
0.00018       	5.801130e+01
0.00019       	5.321890e+01
0.0002        	9.635075e+01
0.00021       	7.455019e+01
0.00022       	8.100206e+01
0.00023       	8.420018e+01
0.00024       	8.956621e+01
0.00025       	9.237824e+01
0.00026       	9.509412e+01
0.00027       	9.784117e+01
0.00028       	1.005136e+02
0.00029       	1.028417e+02
0.0003        	1.050357e+02
0.00031       	1.074604e+02
0.00032       	1.095144e+02
0.00033       	1.111504e+02
0.00034       	1.127843e+02
0.00035       	1.143043e+02
0.00036       	1.156619e+02
0.00037       	1.169599e+02
0.00038       	1.181250e+02
0.00039       	1.191890e+02
0.0004        	1.200981e+02
0.00041       	1.210023e+02
0.00042       	1.220843e+02
0.00043       	1.229933e+02
0.00044       	1.236672e+02
0.00045       	1.243632e+02
0.00046       	1.249036e+02
0.00047       	1.252564e+02
0.00048       	1.260549e+02
0.00049       	1.264742e+02
0.0005        	1.266920e+02
0.00051       	1.269970e+02
0.00052       	1.271463e+02
0.00053       	1.273261e+02
0.00054       	1.276552e+02
0.00055       	1.277808e+02
0.00056       	1.277981e+02
0.00057       	1.277256e+02
0.00058       	1.277314e+02
0.00059       	1.278074e+02
0.0006        	1.276058e+02
0.00061       	1.273221e+02
0.00062       	1.269809e+02
0.00063       	1.266557e+02
0.00064       	1.263011e+02
0.00065       	1.258902e+02
0.00066       	1.255707e+02
0.00067       	1.251770e+02
0.00068       	1.246816e+02
0.00069       	1.243060e+02
0.0007        	1.239124e+02
0.00071       	1.234372e+02
0.00072       	1.228628e+02
0.00073       	1.222408e+02
0.00074       	1.217344e+02
0.00075       	1.212401e+02
0.00076       	1.207927e+02
0.00077       	1.202914e+02
0.00078       	1.198522e+02
0.00079       	1.193770e+02
0.0008        	1.188359e+02
0.00081       	1.184127e+02
0.00082       	1.179729e+02
0.00083       	1.174972e+02
0.00084       	1.170670e+02
0.00085       	1.166082e+02
0.00086       	1.160160e+02
0.00087       	1.155200e+02
0.00088       	1.150772e+02
0.00089       	1.146789e+02
0.0009        	1.141989e+02
0.00091       	1.137683e+02
0.00092       	1.133784e+02
0.00093       	1.138967e+02
0.00094       	1.127324e+02
0.00095       	1.123164e+02
0.00096       	1.119271e+02
0.00097       	1.112865e+02
0.00098       	1.112266e+02
