# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	0.000000e+00
1             	1.244206e+03
2             	2.003324e+03
3             	2.026118e+03
4             	1.498292e+03
5             	6.689672e+02
6             	-1.031127e+02
7             	-5.965047e+02
8             	-7.483841e+02
9             	-6.574095e+02
10            	-3.758019e+02
11            	-4.368335e+01
12            	2.280299e+02
13            	3.676383e+02
14            	3.736596e+02
15            	2.926043e+02
16            	1.570958e+02
17            	2.052539e+01
18            	-7.735904e+01
19            	-1.174376e+02
20            	-1.151670e+02
21            	-7.473677e+01
22            	-1.154785e+01
23            	5.057983e+01
24            	9.403542e+01
25            	1.133008e+02
26            	1.145090e+02
27            	1.005011e+02
28            	7.659839e+01
29            	5.230778e+01
30            	3.226388e+01
31            	2.113119e+01
32            	1.770683e+01
33            	1.789958e+01
34            	2.417564e+01
35            	3.330002e+01
36            	4.267032e+01
37            	5.030717e+01
38            	5.451939e+01
39            	5.649075e+01
40            	5.724279e+01
41            	5.719922e+01
42            	5.541419e+01
43            	5.232700e+01
44            	4.882412e+01
45            	4.609555e+01
46            	4.433810e+01
47            	4.344405e+01
48            	4.305698e+01
49            	4.292304e+01
50            	4.353301e+01
51            	4.466112e+01
52            	4.593479e+01
53            	4.715347e+01
54            	4.815844e+01
55            	4.892813e+01
56            	4.932247e+01
57            	4.946883e+01
58            	4.936243e+01
59            	4.900616e+01
60            	4.852035e+01
61            	4.793241e+01
62            	4.746539e+01
63            	4.711295e+01
64            	4.687880e+01
65            	4.675559e+01
66            	4.674465e+01
67            	4.683758e+01
68            	4.699914e+01
69            	4.721559e+01
70            	4.740321e+01
71            	4.752782e+01
72            	4.758662e+01
73            	4.759037e+01
74            	4.754895e+01
75            	4.747207e+01
76            	4.737188e+01
77            	4.723985e+01
78            	4.711663e+01
79            	4.701641e+01
80            	4.694461e+01
81            	4.691158e+01
82            	4.689107e+01
83            	4.688636e+01
84            	4.688800e+01
85            	4.688654e+01
86            	4.687382e+01
87            	4.684703e+01
88            	4.680639e+01
89            	4.675450e+01
90            	4.669523e+01
91            	4.663517e+01
92            	4.657752e+01
93            	4.652495e+01
94            	4.647784e+01
95            	4.643500e+01
96            	4.639435e+01
97            	4.635445e+01
98            	4.631346e+01
99            	4.627098e+01
100           	4.622685e+01
101           	4.618061e+01
102           	4.613140e+01
103           	4.608003e+01
104           	4.599879e+01
105           	4.597841e+01
106           	4.592562e+01
107           	4.587246e+01
108           	4.582020e+01
109           	4.577036e+01
110           	4.572285e+01
111           	4.567711e+01
112           	4.563219e+01
113           	4.559248e+01
114           	4.555926e+01
115           	4.553322e+01
116           	4.551278e+01
117           	4.549417e+01
118           	4.545344e+01
119           	4.541043e+01
120           	4.536209e+01
121           	4.530634e+01
122           	4.524274e+01
123           	4.517415e+01
124           	4.510556e+01
125           	4.504227e+01
126           	4.498804e+01
127           	4.494523e+01
128           	4.491333e+01
129           	4.490604e+01
130           	4.489364e+01
131           	4.487213e+01
132           	4.484047e+01
133           	4.480076e+01
134           	4.475627e+01
135           	4.471031e+01
136           	4.466518e+01
137           	4.462646e+01
138           	4.459661e+01
139           	4.453856e+01
140           	4.454042e+01
141           	4.454061e+01
142           	4.450574e+01
143           	4.447693e+01
144           	4.446127e+01
145           	4.448185e+01
146           	4.446083e+01
147           	4.444915e+01
148           	4.444227e+01
149           	4.443446e+01
150           	4.442288e+01
151           	4.440777e+01
152           	4.439053e+01
153           	4.437319e+01
154           	4.435768e+01
155           	4.434525e+01
156           	4.433678e+01
157           	4.433248e+01
158           	4.433178e+01
159           	4.433414e+01
160           	4.433111e+01
161           	4.434047e+01
162           	4.434430e+01
163           	4.435145e+01
164           	4.436122e+01
165           	4.437296e+01
166           	4.438595e+01
167           	4.439972e+01
168           	4.441424e+01
169           	4.442958e+01
170           	4.444603e+01
171           	4.446378e+01
172           	4.448302e+01
173           	4.450336e+01
174           	4.452567e+01
175           	4.454996e+01
176           	4.457609e+01
177           	4.460387e+01
178           	4.463309e+01
179           	4.466344e+01
180           	4.469403e+01
181           	4.472556e+01
182           	4.475803e+01
183           	4.479150e+01
184           	4.482597e+01
185           	4.486138e+01
186           	4.489764e+01
187           	4.493466e+01
188           	4.497223e+01
189           	4.501028e+01
190           	4.504880e+01
191           	4.508771e+01
192           	4.512705e+01
193           	4.516686e+01
194           	4.520709e+01
195           	4.524776e+01
196           	4.528890e+01
197           	4.533043e+01
198           	4.537232e+01
199           	4.541447e+01
200           	4.545676e+01
201           	4.549907e+01
202           	4.554126e+01
203           	4.558321e+01
204           	4.562455e+01
205           	4.566528e+01
206           	4.570541e+01
207           	4.574503e+01
