# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1.19904e-05   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	7.287620e-03
2.63616e-05   	1.644852e-01	2.663430e-01	7.981143e-02	5.726415e-02	7.312039e-03
4.35873e-05   	1.109903e-01	1.941852e-01	7.711382e-02	2.496034e-02	8.426000e-03
6.42437e-05   	9.740021e-02	1.457251e-01	8.465791e-02	1.549750e-02	7.524916e-03
8.90212e-05   	9.305108e-02	1.108405e-01	8.989429e-02	1.127867e-02	7.520439e-03
0.000118695   	9.001767e-02	9.044667e-02	8.907929e-02	8.776044e-03	6.589142e-03
0.000154239   	8.644064e-02	1.005467e-01	8.435654e-02	7.761974e-03	6.139571e-03
0.000196861   	9.644949e-02	1.083777e-01	7.794350e-02	7.178412e-03	5.912447e-03
0.000247919   	9.923584e-02	9.129405e-02	7.186671e-02	6.817089e-03	5.886576e-03
0.00030887    	9.714126e-02	6.632847e-02	6.685381e-02	6.441338e-03	5.743740e-03
0.000381736   	9.980268e-02	4.805737e-02	6.409189e-02	6.165840e-03	5.520800e-03
0.000469174   	1.003880e-01	4.188810e-02	6.199271e-02	5.909347e-03	5.398723e-03
0.000573909   	9.350500e-02	6.033724e-02	6.122761e-02	5.671164e-03	5.232868e-03
0.000697936   	8.468104e-02	8.094248e-02	6.120330e-02	5.458707e-03	5.112738e-03
0.000841045   	7.653039e-02	1.118975e-01	6.196374e-02	5.367645e-03	5.097036e-03
0.00100173    	7.168483e-02	1.336533e-01	6.457501e-02	5.665363e-03	5.532228e-03
0.00113406    	5.650024e-02	1.005308e-01	5.433746e-02	4.941673e-03	4.880514e-03
0.0012492     	4.826572e-02	6.830246e-02	4.966887e-02	4.497296e-03	4.341904e-03
0.00135215    	4.314479e-02	4.563811e-02	4.766954e-02	4.168680e-03	3.720064e-03
0.00145042    	4.104565e-02	3.217867e-02	4.937296e-02	4.071939e-03	3.437367e-03
0.00154757    	4.025317e-02	2.342923e-02	5.404821e-02	4.026456e-03	3.315284e-03
0.00164586    	3.999639e-02	1.777708e-02	6.113298e-02	3.941257e-03	3.270210e-03
0.00174651    	3.955219e-02	1.440253e-02	7.099108e-02	3.827399e-03	3.257942e-03
0.00184968    	3.812432e-02	1.261558e-02	8.425773e-02	3.702907e-03	3.202581e-03
0.00195417    	3.492970e-02	1.176649e-02	1.015966e-01	3.537995e-03	3.130328e-03
0.00206145    	3.006486e-02	1.154965e-02	1.269592e-01	3.438190e-03	3.089202e-03
0.00216873    	2.260021e-02	1.128891e-02	1.481868e-01	3.292471e-03	2.978822e-03
0.002276      	1.411300e-02	1.103124e-02	1.571917e-01	3.169384e-03	2.862920e-03
0.00238328    	7.683205e-03	1.072353e-02	1.294960e-01	3.080522e-03	2.759570e-03
0.00248907    	1.055331e-02	1.032986e-02	9.609041e-02	2.976588e-03	2.626406e-03
0.00259339    	1.858630e-02	1.000436e-02	7.561998e-02	2.899234e-03	2.527970e-03
0.00269626    	2.559111e-02	9.732266e-03	6.197817e-02	2.841359e-03	2.451330e-03
0.0027977     	3.093992e-02	9.533459e-03	5.233708e-02	2.799216e-03	2.397896e-03
0.00289773    	3.479522e-02	9.410411e-03	4.523904e-02	2.766593e-03	2.378086e-03
0.00299502    	3.710274e-02	9.242650e-03	3.940542e-02	2.719568e-03	2.358983e-03
0.00308968    	3.850736e-02	9.133433e-03	3.489381e-02	2.686200e-03	2.355291e-03
0.00318182    	3.933963e-02	9.054500e-03	3.129820e-02	2.661709e-03	2.365430e-03
0.00327153    	3.984613e-02	8.988669e-03	2.835525e-02	2.647566e-03	2.386938e-03
0.0033578     	3.979317e-02	8.870738e-03	2.561306e-02	2.615640e-03	2.388520e-03
0.00344187    	4.010575e-02	8.814277e-03	2.353595e-02	2.613519e-03	2.423004e-03
0.00352385    	4.046839e-02	8.727582e-03	2.171369e-02	2.614683e-03	2.456042e-03
0.00360283    	4.051195e-02	8.553757e-03	1.988174e-02	2.591699e-03	2.461367e-03
0.0036799     	4.109898e-02	8.418005e-03	1.843419e-02	2.589086e-03	2.485339e-03
0.00375514    	4.186445e-02	8.241139e-03	1.709548e-02	2.583059e-03	2.502748e-03
0.00382776    	4.239918e-02	7.971896e-03	1.568560e-02	2.547637e-03	2.484688e-03
0.0038987     	4.357761e-02	7.738734e-03	1.452077e-02	2.527046e-03	2.477330e-03
0.00396883    	4.548958e-02	7.533369e-03	1.353279e-02	2.520661e-03	2.480347e-03
0.00403737    	4.729143e-02	7.248439e-03	1.242865e-02	2.483708e-03	2.444047e-03
0.00410513    	4.998581e-02	7.008014e-03	1.146301e-02	2.458680e-03	2.418729e-03
0.00417136    	5.268504e-02	6.708698e-03	1.039201e-02	2.405772e-03	2.358086e-03
0.00423759    	5.715157e-02	6.499692e-03	9.518392e-03	2.387024e-03	2.331716e-03
0.00430308    	6.201565e-02	6.238406e-03	8.521842e-03	2.343191e-03	2.283773e-03
0.00436781    	6.810343e-02	5.977453e-03	7.593029e-03	2.295187e-03	2.235902e-03
