# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
1.19048e-05   	2.287265e-02	6.948968e-04	3.438633e-04	1.903922e-04	1.483503e-04
2.60204e-05   	2.067575e-02	7.971110e-04	3.643640e-04	2.242396e-04	1.768750e-04
4.28132e-05   	1.837599e-02	8.870567e-04	3.917646e-04	2.640919e-04	2.082877e-04
6.27546e-05   	2.090148e-02	1.014051e-03	4.495128e-04	3.105443e-04	2.457239e-04
8.61857e-05   	2.412711e-02	1.141525e-03	5.278666e-04	3.612485e-04	2.867588e-04
0.000113877   	2.815211e-02	1.301706e-03	6.190373e-04	4.216655e-04	3.359313e-04
0.000146696   	3.301120e-02	1.500657e-03	7.175758e-04	4.919792e-04	3.936702e-04
0.000185483   	3.927352e-02	1.735331e-03	8.206408e-04	5.702498e-04	4.587316e-04
0.000230734   	4.642654e-02	1.999804e-03	9.237055e-04	6.506901e-04	5.265958e-04
0.000282018   	5.356907e-02	2.249162e-03	1.019319e-03	7.214282e-04	5.875830e-04
0.00034185    	6.387411e-02	2.545794e-03	1.165584e-03	8.162152e-04	6.712495e-04
0.000407665   	6.936437e-02	2.699775e-03	1.274751e-03	8.783573e-04	7.273029e-04
0.000481707   	7.626133e-02	2.901974e-03	1.410760e-03	9.608808e-04	8.030181e-04
0.000568089   	8.792495e-02	3.246158e-03	1.586541e-03	1.078310e-03	9.129751e-04
0.000654471   	8.714492e-02	3.302723e-03	1.561415e-03	1.077224e-03	9.133575e-04
0.000740853   	8.593080e-02	3.353532e-03	1.539994e-03	1.076530e-03	9.133180e-04
0.000827236   	8.495241e-02	3.376355e-03	1.532192e-03	1.075747e-03	9.127662e-04
0.000913618   	8.413247e-02	3.370359e-03	1.538585e-03	1.074735e-03	9.121374e-04
0.001         	8.362508e-02	3.353608e-03	1.550064e-03	1.073332e-03	9.112901e-04
0.0011        	9.728376e-02	3.695322e-03	1.744649e-03	1.191843e-03	1.024680e-03
0.0012125     	1.074156e-01	4.004009e-03	1.905437e-03	1.291468e-03	1.122499e-03
0.00134375    	1.228157e-01	4.458815e-03	2.126384e-03	1.427888e-03	1.260081e-03
0.001475      	1.195663e-01	4.531024e-03	2.125575e-03	1.424105e-03	1.258487e-03
0.00160625    	1.179992e-01	4.601294e-03	2.132865e-03	1.421899e-03	1.257249e-03
0.0017375     	1.164168e-01	4.681960e-03	2.149354e-03	1.421228e-03	1.256358e-03
0.00186875    	1.147138e-01	4.771153e-03	2.187972e-03	1.422137e-03	1.255679e-03
0.002         	1.140164e-01	4.866655e-03	2.244458e-03	1.424347e-03	1.256037e-03
0.00214286    	1.221255e-01	5.238915e-03	2.435744e-03	1.510124e-03	1.338845e-03
0.00231429    	1.446596e-01	5.981110e-03	2.798078e-03	1.700282e-03	1.528379e-03
0.00248571    	1.451524e-01	6.187528e-03	2.833388e-03	1.718012e-03	1.535708e-03
0.00265714    	1.459181e-01	6.371374e-03	2.876831e-03	1.736790e-03	1.546055e-03
0.00282857    	1.477842e-01	6.547992e-03	2.933724e-03	1.759291e-03	1.557204e-03
0.003         	1.480338e-01	6.729375e-03	2.987430e-03	1.783275e-03	1.570358e-03
0.0032        	1.709826e-01	7.460814e-03	3.333213e-03	1.973891e-03	1.755763e-03
0.0034        	1.694067e-01	7.610944e-03	3.340320e-03	2.005522e-03	1.772624e-03
0.0036        	1.648393e-01	7.724695e-03	3.346864e-03	2.039787e-03	1.794264e-03
0.0038        	1.596343e-01	7.827319e-03	3.343946e-03	2.078276e-03	1.812918e-03
0.004         	1.551834e-01	7.912035e-03	3.336108e-03	2.117786e-03	1.837661e-03
0.0042        	1.499822e-01	8.009293e-03	3.324201e-03	2.158222e-03	1.865087e-03
0.0044        	1.471384e-01	8.090158e-03	3.306178e-03	2.195029e-03	1.897236e-03
0.0046        	1.449972e-01	8.163031e-03	3.281535e-03	2.229998e-03	1.934793e-03
0.0048        	1.430592e-01	8.220533e-03	3.252515e-03	2.260483e-03	1.975472e-03
0.005         	1.414214e-01	8.275440e-03	3.218714e-03	2.283158e-03	2.020900e-03
0.0052        	1.414789e-01	8.340383e-03	3.180911e-03	2.293929e-03	2.059842e-03
0.0054        	1.429851e-01	8.387210e-03	3.143013e-03	2.292432e-03	2.082279e-03
0.0056        	1.430581e-01	8.408817e-03	3.105921e-03	2.278709e-03	2.091082e-03
0.0058        	1.435586e-01	8.418284e-03	3.067313e-03	2.256473e-03	2.090777e-03
0.006         	1.443761e-01	8.424400e-03	3.031381e-03	2.231382e-03	2.086193e-03
0.0062        	1.461729e-01	8.426724e-03	2.998099e-03	2.208441e-03	2.081306e-03
0.0064        	1.486920e-01	8.426575e-03	2.966113e-03	2.191642e-03	2.078895e-03
