# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((9.159340e-16 -3.552714e-15 5.364101e-18) (0.000000e+00 -2.620390e-02 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.527422e-20 3.534142e-19 -2.775558e-17) (0.000000e+00 0.000000e+00 5.421011e-20) (0.000000e+00 0.000000e+00 0.000000e+00))
1.19904e-05   	((-1.705948e-06 -3.446391e-01 5.430958e-18) (-1.721902e-07 -9.837654e-03 -1.746380e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.726806e-20 3.539080e-19 3.809612e-07) (-2.346777e-22 -1.618756e-21 -7.709416e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
2.63616e-05   	((-6.731783e-07 -2.633956e-01 5.421664e-18) (-3.245967e-07 -3.140309e-03 -2.086827e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.693922e-20 3.549877e-19 3.927629e-07) (-2.751705e-22 -1.931954e-21 -3.348271e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
4.35873e-05   	((4.835763e-08 -1.770189e-01 5.420886e-18) (-2.506099e-07 -1.700491e-03 -2.557241e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.654262e-20 3.549050e-19 3.205363e-07) (-3.446887e-22 -2.294195e-21 -2.271573e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
6.42437e-05   	((2.731186e-06 -1.267815e-01 5.468540e-18) (-3.204947e-07 -1.054268e-03 -3.143984e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.706167e-20 3.545207e-19 -5.404596e-08) (-4.367702e-22 -2.729138e-21 5.600626e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
8.90212e-05   	((1.296546e-06 -1.132138e-01 5.558737e-18) (-3.217870e-07 -6.898774e-04 -3.845878e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.851639e-20 3.544871e-19 -7.051396e-08) (-5.468529e-22 -3.245889e-21 8.758214e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000118695   	((1.654701e-06 -1.215401e-01 5.642397e-18) (-3.208587e-07 -4.956054e-04 -4.681510e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.000748e-19 3.547731e-19 -1.566175e-07) (-6.746740e-22 -3.871412e-21 1.174814e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000154239   	((1.262372e-06 -1.270957e-01 5.664532e-18) (-2.204862e-07 -4.000784e-04 -5.529375e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.006644e-19 3.550117e-19 -1.424761e-07) (-7.797056e-22 -4.605215e-21 1.168273e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000196861   	((1.624275e-06 -1.114786e-01 5.611482e-18) (2.607886e-07 -3.430412e-04 -6.269348e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.985598e-20 3.550133e-19 -1.408570e-07) (-8.448923e-22 -5.404440e-21 2.965891e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000247919   	((1.800828e-06 -7.542389e-02 5.518241e-18) (-7.684560e-08 -2.886684e-04 -7.163219e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.818405e-20 3.547931e-19 -1.304368e-07) (-9.216419e-22 -6.341528e-21 1.181117e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00030887    	((1.321604e-06 -3.422564e-02 5.430432e-18) (-1.168046e-07 -2.468073e-04 -8.279852e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.652401e-20 3.545482e-19 -8.023564e-08) (-1.021061e-21 -7.424965e-21 9.451946e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000381736   	((1.110558e-07 -1.984917e-03 5.372562e-18) (-9.260010e-08 -2.094692e-04 -9.747214e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.541099e-20 3.544479e-19 -1.231356e-09) (-1.168047e-21 -8.869290e-21 6.578395e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000469174   	((1.468580e-07 2.150039e-02 5.341922e-18) (-8.795324e-08 -1.782973e-04 -1.113969e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.484586e-20 3.547052e-19 -9.115865e-09) (-1.256507e-21 -1.058524e-20 5.219007e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000573909   	((6.298162e-07 5.470997e-02 5.311544e-18) (-5.850087e-08 -1.445324e-04 -1.236919e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.433913e-20 3.557076e-19 -1.438558e-08) (-1.276970e-21 -1.262786e-20 3.117014e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000697936   	((9.283021e-07 1.163191e-01 5.254795e-18) (-1.154915e-08 -1.167188e-04 -1.512411e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.335709e-20 3.578872e-19 -6.239460e-09) (-1.583617e-21 -1.428485e-20 1.282727e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.000841045   	((9.094080e-07 1.885618e-01 5.194181e-18) (-8.089807e-09 -1.435123e-04 -1.971307e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.224498e-20 3.610858e-19 8.235820e-10) (-2.280342e-21 -1.498514e-20 2.433028e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00100173    	((3.681438e-07 2.254604e-01 5.189303e-18) (-2.734584e-08 -1.757303e-04 -2.467107e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.208795e-20 3.643848e-19 -9.632461e-09) (-3.055391e-21 -1.522674e-20 5.364950e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00113406    	((7.129518e-07 2.190538e-01 5.233658e-18) (-1.017242e-07 -1.954258e-04 -2.176311e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.283161e-20 3.664955e-19 -5.335394e-08) (-2.807375e-21 -1.293225e-20 1.066768e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0012492     	((1.676984e-06 1.926146e-01 5.296343e-18) (-1.151935e-07 -1.925259e-04 -1.939933e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.392443e-20 3.677996e-19 -9.856000e-08) (-2.540528e-21 -1.151950e-20 1.246338e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00135215    	((1.106815e-06 1.609794e-01 5.358418e-18) (-1.813282e-07 -1.727442e-04 -1.769449e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.502338e-20 3.685908e-19 -6.907377e-08) (-2.368723e-21 -1.054317e-20 1.427380e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00145155    	((1.774067e-07 1.306382e-01 5.413364e-18) (-1.542567e-07 -1.635406e-04 -1.745600e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.600729e-20 3.690900e-19 -7.045262e-09) (-2.388844e-21 -1.020625e-20 1.235740e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00154869    	((-1.102172e-06 1.060019e-01 5.456285e-18) (-5.475506e-08 -1.435234e-04 -1.737809e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.678497e-20 3.694078e-19 2.454840e-08) (-2.429345e-21 -9.987735e-21 8.576107e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00164696    	((-5.183898e-07 8.823340e-02 5.486877e-18) (-9.458361e-09 -1.274250e-04 -1.842478e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.734707e-20 3.696281e-19 6.557774e-08) (-2.722083e-21 -9.873189e-21 3.081959e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0017476     	((-7.510952e-07 7.714640e-02 5.506170e-18) (1.708026e-08 -1.268479e-04 -1.843978e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.770583e-20 3.698102e-19 4.972566e-08) (-2.660152e-21 -1.011922e-20 -2.919852e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00185076    	((9.109921e-07 7.138974e-02 5.517053e-18) (1.862502e-06 -1.155965e-04 -1.937058e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.791240e-20 3.699795e-19 -9.980406e-08) (-2.844871e-21 -1.021598e-20 -1.262699e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00195659    	((-1.713254e-06 6.905627e-02 5.522908e-18) (-3.950849e-06 -1.131099e-04 -2.082680e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.802764e-20 3.701531e-19 1.911534e-07) (-3.175912e-21 -1.016774e-20 2.162332e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00206384    	((2.301759e-07 6.839852e-02 5.526329e-18) (1.083721e-06 -1.151864e-04 -2.053772e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.809611e-20 3.703326e-19 -3.202325e-08) (-3.044332e-21 -1.036980e-20 -2.108933e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00217255    	((1.755983e-06 6.817511e-02 5.529245e-18) (1.157210e-07 -1.151510e-04 -2.137979e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.815370e-20 3.705141e-19 -8.086279e-08) (-3.226868e-21 -1.035207e-20 -5.097132e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0022828     	((4.315848e-07 6.771440e-02 5.532527e-18) (-4.631684e-08 -1.158214e-04 -2.139638e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.821669e-20 3.706882e-19 -9.689443e-09) (-3.262745e-21 -1.065580e-20 2.507655e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00239304    	((2.400877e-07 6.671284e-02 5.536393e-18) (-7.088851e-08 -1.150026e-04 -2.145764e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.828987e-20 3.708437e-19 -1.315993e-08) (-3.356755e-21 -1.072289e-20 1.082989e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
