# Region type : patch inlet
# Faces  :    120
# Area   :    4.800000e-04
# Time        	average(p)
0             	1.013250e+05
1.19904e-05   	1.022269e+05
2.63616e-05   	1.032089e+05
4.35873e-05   	1.041928e+05
6.42437e-05   	1.050638e+05
8.90212e-05   	1.056969e+05
0.000118695   	1.060141e+05
0.000154239   	1.060374e+05
0.000196861   	1.058843e+05
0.000247919   	1.056986e+05
0.00030887    	1.055719e+05
0.000381736   	1.055152e+05
0.000469174   	1.055006e+05
0.000573909   	1.055107e+05
0.000697936   	1.055553e+05
0.000841045   	1.056550e+05
0.00100173    	1.058139e+05
0.00113406    	1.059634e+05
0.0012492     	1.060976e+05
0.00135215    	1.062154e+05
0.00145155    	1.063227e+05
0.00154869    	1.064182e+05
0.00164696    	1.065020e+05
0.0017476     	1.065711e+05
0.00185076    	1.066214e+05
0.00195659    	1.066503e+05
0.00206384    	1.066574e+05
0.00217255    	1.066456e+05
0.0022828     	1.066202e+05
0.00239304    	1.065876e+05
0.00250329    	1.065537e+05
0.00261353    	1.065228e+05
0.00272378    	1.064964e+05
0.00283572    	1.064746e+05
0.00294766    	1.064574e+05
0.0030596     	1.064435e+05
0.00317338    	1.064313e+05
0.00328716    	1.064193e+05
0.00340094    	1.064065e+05
0.00351671    	1.063918e+05
0.00363248    	1.063748e+05
0.00374825    	1.063554e+05
0.00386621    	1.063333e+05
0.00398417    	1.063091e+05
0.00410213    	1.062833e+05
0.00422008    	1.062562e+05
0.00433804    	1.062283e+05
0.004456      	1.062001e+05
0.00457396    	1.061721e+05
0.00469454    	1.061441e+05
0.00481511    	1.061170e+05
0.00493569    	1.060911e+05
0.00505627    	1.060664e+05
0.00517685    	1.060430e+05
0.00529743    	1.060206e+05
0.00541801    	1.059993e+05
0.00553859    	1.059788e+05
0.00565917    	1.059589e+05
0.00577974    	1.059395e+05
0.00590032    	1.059205e+05
0.00602456    	1.059011e+05
0.00614879    	1.058818e+05
0.00627302    	1.058625e+05
0.00639725    	1.058434e+05
0.00652149    	1.058244e+05
0.00664572    	1.058054e+05
0.00676995    	1.057865e+05
0.00689418    	1.057677e+05
0.00701842    	1.057490e+05
0.00714265    	1.057302e+05
0.00726688    	1.057116e+05
0.00739111    	1.056929e+05
0.00751535    	1.056743e+05
0.00763958    	1.056556e+05
0.00776381    	1.056370e+05
0.00788805    	1.056184e+05
0.00801228    	1.055998e+05
