# y+ ()       
# Time        	patch         	min           	max           	average       
0             	splitter	7.510327e+00	9.419490e+00	7.782308e+00
0             	back	5.144482e+00	6.647994e+00	5.217431e+00
0             	sides	7.320244e+00	7.322185e+00	7.321214e+00
0.01          	splitter	2.281283e+01	3.892473e+01	2.566182e+01
0.01          	back	5.237817e+00	1.171649e+01	9.553355e+00
0.01          	sides	6.359390e+00	1.012378e+01	8.309074e+00
0.02          	splitter	2.271024e+01	3.868140e+01	2.547507e+01
0.02          	back	7.955790e+00	1.153727e+01	1.050659e+01
0.02          	sides	6.284693e+00	2.023476e+01	1.044164e+01
0.03          	splitter	2.264083e+01	3.856892e+01	2.538579e+01
0.03          	back	6.763975e+00	1.153290e+01	9.695895e+00
0.03          	sides	6.230883e+00	2.109340e+01	1.122919e+01
0.04          	splitter	2.268658e+01	3.863442e+01	2.544413e+01
0.04          	back	5.677488e+00	1.045382e+01	8.445449e+00
0.04          	sides	6.194262e+00	2.110152e+01	1.171783e+01
0.05          	splitter	2.257010e+01	3.837517e+01	2.530714e+01
0.05          	back	4.939090e+00	9.477527e+00	7.528507e+00
0.05          	sides	6.172534e+00	2.101571e+01	1.191149e+01
0.06          	splitter	2.244857e+01	3.817051e+01	2.517154e+01
0.06          	back	4.421406e+00	8.823629e+00	6.876513e+00
0.06          	sides	6.157457e+00	2.087224e+01	1.200113e+01
0.07          	splitter	2.236287e+01	3.802182e+01	2.507473e+01
0.07          	back	4.041632e+00	8.355482e+00	6.398734e+00
0.07          	sides	6.145909e+00	2.080458e+01	1.199205e+01
0.08          	splitter	2.230490e+01	3.792727e+01	2.501060e+01
0.08          	back	3.766473e+00	8.018439e+00	6.053520e+00
0.08          	sides	6.138443e+00	2.076463e+01	1.194740e+01
0.09          	splitter	2.226731e+01	3.786201e+01	2.496804e+01
0.09          	back	3.570387e+00	7.782319e+00	5.806059e+00
0.09          	sides	6.131894e+00	2.073522e+01	1.192379e+01
0.1           	splitter	2.223763e+01	3.781106e+01	2.493472e+01
0.1           	back	3.456805e+00	7.642759e+00	5.663211e+00
0.1           	sides	6.127012e+00	2.071102e+01	1.191199e+01
0.11          	splitter	2.221617e+01	3.777383e+01	2.491053e+01
0.11          	back	3.389189e+00	7.548004e+00	5.570363e+00
0.11          	sides	6.123438e+00	2.069475e+01	1.190432e+01
0.12          	splitter	2.219903e+01	3.774424e+01	2.489143e+01
0.12          	back	3.325709e+00	7.458950e+00	5.483551e+00
0.12          	sides	6.120628e+00	2.068264e+01	1.189811e+01
0.13          	splitter	2.218531e+01	3.772123e+01	2.487605e+01
0.13          	back	3.270357e+00	7.383895e+00	5.409821e+00
0.13          	sides	6.118265e+00	2.066539e+01	1.189253e+01
0.14          	splitter	2.217359e+01	3.770128e+01	2.486285e+01
0.14          	back	3.205767e+00	7.297547e+00	5.323106e+00
0.14          	sides	6.116504e+00	2.066361e+01	1.188841e+01
0.15          	splitter	2.216497e+01	3.768761e+01	2.485346e+01
0.15          	back	3.137607e+00	7.216779e+00	5.240259e+00
0.15          	sides	6.115070e+00	2.065158e+01	1.188448e+01
0.16          	splitter	2.215886e+01	3.767609e+01	2.484607e+01
0.16          	back	3.073953e+00	7.144830e+00	5.161610e+00
0.16          	sides	6.114096e+00	2.065059e+01	1.188118e+01
0.17          	splitter	2.215390e+01	3.766900e+01	2.484126e+01
0.17          	back	3.018400e+00	7.076583e+00	5.095229e+00
0.17          	sides	6.113310e+00	2.063987e+01	1.187908e+01
0.18          	splitter	2.215120e+01	3.766266e+01	2.483729e+01
0.18          	back	2.975063e+00	7.031017e+00	5.042455e+00
0.18          	sides	6.112687e+00	2.064144e+01	1.187749e+01
0.19          	splitter	2.214746e+01	3.765799e+01	2.483405e+01
0.19          	back	2.940123e+00	6.986370e+00	5.000202e+00
0.19          	sides	6.112267e+00	2.065844e+01	1.187641e+01
0.2           	splitter	2.214650e+01	3.765634e+01	2.483242e+01
0.2           	back	2.913527e+00	6.954195e+00	4.967560e+00
0.2           	sides	6.111924e+00	2.066687e+01	1.187571e+01
0.21          	splitter	2.214507e+01	3.765428e+01	2.483079e+01
