# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
5.99995e-07   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	6.935215e-04
1.31998e-06   	1.000739e-01	3.614935e-01	4.981275e-02	2.463477e-01	3.267615e-04
2.18396e-06   	8.160100e-02	2.711333e-01	3.253649e-02	8.624074e-02	8.490489e-04
3.22072e-06   	8.072598e-02	2.177864e-01	2.614972e-02	3.476060e-02	2.422565e-03
4.46483e-06   	8.826852e-02	1.820302e-01	3.303231e-02	1.157396e-02	2.714318e-03
5.95772e-06   	1.051398e-01	1.915351e-01	5.576092e-02	4.243331e-03	1.622714e-03
7.74917e-06   	1.292387e-01	2.113315e-01	1.119971e-01	6.286004e-03	7.076418e-04
9.89892e-06   	1.257312e-01	2.316776e-01	1.612243e-01	9.397140e-03	1.785207e-03
1.24785e-05   	9.931431e-02	2.559095e-01	9.727253e-02	1.111712e-02	2.409855e-03
1.55739e-05   	8.315214e-02	2.905484e-01	7.973385e-02	1.229202e-02	2.645573e-03
1.92883e-05   	7.346655e-02	3.007547e-01	7.421387e-02	1.358260e-02	2.680164e-03
2.37453e-05   	6.805947e-02	2.710658e-01	7.374359e-02	1.483984e-02	2.640950e-03
2.90932e-05   	6.564143e-02	2.342825e-01	7.601074e-02	1.578503e-02	2.699845e-03
3.55104e-05   	6.502149e-02	2.031924e-01	7.985560e-02	1.619891e-02	2.952313e-03
4.32103e-05   	6.606301e-02	1.792789e-01	8.451827e-02	1.599508e-02	3.574918e-03
5.24496e-05   	6.850920e-02	1.609748e-01	8.878970e-02	1.545707e-02	4.231889e-03
6.35367e-05   	7.139914e-02	1.401005e-01	9.158232e-02	1.467442e-02	4.887436e-03
7.68389e-05   	7.492979e-02	1.194019e-01	9.209078e-02	1.398472e-02	5.428360e-03
9.2799e-05    	8.587654e-02	1.270329e-01	9.059227e-02	1.327820e-02	5.874085e-03
0.00011195    	9.045300e-02	1.494760e-01	8.827441e-02	1.304762e-02	6.604785e-03
0.000134503   	8.924731e-02	1.510481e-01	8.447100e-02	1.274022e-02	7.148024e-03
0.000160448   	8.885270e-02	1.269018e-01	8.031879e-02	1.245722e-02	7.715207e-03
0.000189782   	8.634622e-02	9.638506e-02	7.692262e-02	1.198597e-02	8.087124e-03
0.000222531   	8.655502e-02	7.306741e-02	7.473992e-02	1.163240e-02	8.231720e-03
0.000256813   	7.989370e-02	5.530236e-02	6.698800e-02	1.052333e-02	7.883554e-03
0.000291261   	6.917541e-02	5.713156e-02	5.901890e-02	9.355479e-03	7.219199e-03
0.000325853   	6.034075e-02	7.056407e-02	5.335458e-02	8.444304e-03	6.806407e-03
0.000360542   	5.327712e-02	8.249103e-02	4.896825e-02	7.717265e-03	6.321923e-03
0.000395328   	4.768566e-02	9.051674e-02	4.555455e-02	7.109780e-03	6.039259e-03
0.000430138   	4.352247e-02	1.001403e-01	4.287097e-02	6.675570e-03	5.803816e-03
0.000464924   	4.021147e-02	1.122842e-01	4.076809e-02	6.340595e-03	5.681333e-03
0.000499661   	3.757789e-02	1.220330e-01	3.909026e-02	6.227938e-03	5.697092e-03
0.000534132   	3.534983e-02	1.286587e-01	3.738341e-02	6.325722e-03	6.029218e-03
