# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
5.99995e-07   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	6.857382e-04
1.31998e-06   	1.040165e-01	3.692685e-01	4.691408e-02	1.724341e-01	4.273529e-04
2.18396e-06   	5.978486e-02	2.995515e-01	3.249197e-02	5.900046e-02	5.023459e-04
3.22072e-06   	4.464471e-02	2.598426e-01	2.563053e-02	6.695413e-02	9.610458e-04
4.46483e-06   	3.852270e-02	2.343938e-01	2.149442e-02	5.567688e-02	2.520980e-03
5.95772e-06   	3.572511e-02	2.168076e-01	1.897368e-02	3.432186e-02	4.938671e-03
7.74917e-06   	3.324270e-02	2.032451e-01	1.768658e-02	2.137885e-02	6.199985e-03
9.89892e-06   	3.228237e-02	1.923258e-01	1.783819e-02	1.743673e-02	7.569901e-03
1.24785e-05   	3.215412e-02	1.831364e-01	1.968661e-02	1.492137e-02	8.440808e-03
1.55739e-05   	3.284718e-02	1.747463e-01	2.215167e-02	1.333519e-02	9.093191e-03
1.92883e-05   	3.424057e-02	1.663742e-01	2.535510e-02	1.201278e-02	9.579306e-03
2.37453e-05   	3.652198e-02	1.578004e-01	2.967443e-02	1.092636e-02	9.515804e-03
2.90932e-05   	3.966355e-02	1.477737e-01	3.542994e-02	1.021356e-02	9.659894e-03
3.55104e-05   	4.390485e-02	1.376600e-01	4.321336e-02	8.990596e-03	8.100352e-03
