# Region type : patch outlet
# Faces  :      1392
# Area   :      4.51098470e-02
# Time          	average(T)
0               	9.00000000e+02
1.2e-05         	9.00000000e+02
2.64e-05        	9.00000002e+02
4.368e-05       	9.00000005e+02
6.4416e-05      	9.00000007e+02
8.92992e-05     	9.00000011e+02
0.000119151     	9.00000015e+02
0.000154951     	9.00000020e+02
0.000197755     	9.00000025e+02
0.000249076     	9.00000021e+02
0.000310403     	8.99999908e+02
0.000383809     	8.99999223e+02
0.000471229     	8.99996919e+02
0.00057594      	8.99992359e+02
0.000701595     	8.99987411e+02
0.000851569     	8.99985784e+02
0.0010275       	8.99988928e+02
0.00122689      	8.99994863e+02
0.00145184      	9.00001191e+02
0.00170326      	9.00006320e+02
0.00197089      	9.00009409e+02
0.00224776      	9.00010715e+02
0.00252463      	9.00011071e+02
0.00280149      	9.00011249e+02
0.00307836      	9.00011653e+02
0.00335522      	9.00012375e+02
0.00363209      	9.00013351e+02
0.00390895      	9.00014480e+02
0.00418582      	9.00015677e+02
0.00446269      	9.00016893e+02
0.00473955      	9.00018101e+02
0.00501642      	9.00019289e+02
0.00529328      	9.00020454e+02
0.00557015      	9.00021595e+02
0.00584701      	9.00022711e+02
0.00612388      	9.00023804e+02
0.00640075      	9.00024872e+02
0.00667761      	9.00025916e+02
0.00695448      	9.00026937e+02
0.00723134      	9.00027935e+02
0.00750821      	9.00028910e+02
0.00778507      	9.00029863e+02
0.00806194      	9.00030794e+02
0.00833881      	9.00031703e+02
0.00861567      	9.00032592e+02
0.00889254      	9.00033459e+02
0.0091694       	9.00034307e+02
0.00944627      	9.00035134e+02
0.00972313      	9.00035943e+02
0.01            	9.00036732e+02
0.0102941       	9.00037550e+02
0.0105882       	9.00038347e+02
0.0108824       	9.00039124e+02
0.0111765       	9.00039882e+02
0.0114706       	9.00040620e+02
0.0117647       	9.00041340e+02
0.0120588       	9.00042042e+02
0.0123529       	9.00042727e+02
0.0126471       	9.00043394e+02
0.0129412       	9.00044045e+02
0.0132353       	9.00044679e+02
0.0135294       	9.00045298e+02
0.0138235       	9.00045901e+02
0.0141176       	9.00046489e+02
0.0144118       	9.00047062e+02
0.0147059       	9.00047621e+02
0.015           	9.00048165e+02
0.0152941       	9.00048696e+02
0.0155882       	9.00049214e+02
0.0158824       	9.00049719e+02
0.0161765       	9.00050211e+02
0.0164706       	9.00050691e+02
0.0167647       	9.00051159e+02
0.0170588       	9.00051615e+02
0.0173529       	9.00052060e+02
0.0176471       	9.00052494e+02
0.0179412       	9.00052917e+02
0.0182353       	9.00053329e+02
0.0185294       	9.00053730e+02
0.0188235       	9.00054121e+02
0.0191176       	9.00054502e+02
0.0194118       	9.00054874e+02
0.0197059       	9.00055236e+02
0.02            	9.00055589e+02
0.020303        	9.00055943e+02
0.0206061       	9.00056288e+02
0.0209091       	9.00056623e+02
0.0212121       	9.00056950e+02
0.0215152       	9.00057268e+02
0.0218182       	9.00057577e+02
0.0221212       	9.00057878e+02
0.0224242       	9.00058171e+02
0.0227273       	9.00058456e+02
0.0230303       	9.00058733e+02
0.0233333       	9.00059003e+02
0.0236364       	9.00059266e+02
0.0239394       	9.00059521e+02
0.0242424       	9.00059770e+02
0.0245455       	9.00060011e+02
0.0248485       	9.00060246e+02
0.0251515       	9.00060475e+02
0.0254545       	9.00060697e+02
0.0257576       	9.00060913e+02
0.0260606       	9.00061124e+02
0.0263636       	9.00061328e+02
0.0266667       	9.00061527e+02
0.0269697       	9.00061720e+02
0.0272727       	9.00061908e+02
0.0275758       	9.00062090e+02
0.0278788       	9.00062268e+02
0.0281818       	9.00062441e+02
0.0284848       	9.00062609e+02
0.0287879       	9.00062772e+02
0.0290909       	9.00062930e+02
0.0293939       	9.00063083e+02
0.029697        	9.00063233e+02
0.03            	9.00063378e+02
0.030303        	9.00063519e+02
0.0306061       	9.00063657e+02
0.0309091       	9.00063790e+02
0.0312121       	9.00063921e+02
0.0315152       	9.00064047e+02
0.0318182       	9.00064170e+02
0.0321212       	9.00064291e+02
0.0324242       	9.00064408e+02
0.0327273       	9.00064522e+02
0.0330303       	9.00064634e+02
0.0333333       	9.00064743e+02
0.0336364       	9.00064850e+02
0.0339394       	9.00064955e+02
0.0342424       	9.00065059e+02
0.0345455       	9.00065160e+02
0.0348485       	9.00065260e+02
0.0351515       	9.00065359e+02
0.0354545       	9.00065458e+02
0.0357576       	9.00065555e+02
0.0360606       	9.00065652e+02
0.0363636       	9.00065749e+02
0.0366667       	9.00065846e+02
0.0369697       	9.00065944e+02
0.0372727       	9.00066043e+02
0.0375758       	9.00066143e+02
0.0378788       	9.00066245e+02
0.0381818       	9.00066350e+02
0.0384848       	9.00066458e+02
0.0387879       	9.00066571e+02
0.0390909       	9.00066688e+02
0.0393939       	9.00066811e+02
0.039697        	9.00066940e+02
0.04            	9.00067075e+02
0.0403125       	9.00067224e+02
0.040625        	9.00067382e+02
0.0409375       	9.00067550e+02
0.04125         	9.00067728e+02
0.0415625       	9.00067918e+02
0.041875        	9.00068119e+02
0.0421875       	9.00068331e+02
0.0425          	9.00068554e+02
0.0428125       	9.00068788e+02
0.043125        	9.00069034e+02
0.0434375       	9.00069291e+02
0.04375         	9.00069558e+02
0.0440625       	9.00069835e+02
0.044375        	9.00070120e+02
0.0446875       	9.00070412e+02
0.045           	9.00070711e+02
0.0453125       	9.00071016e+02
0.045625        	9.00071326e+02
0.0459375       	9.00071640e+02
0.04625         	9.00071956e+02
0.0465625       	9.00072273e+02
0.046875        	9.00072591e+02
0.0471875       	9.00072908e+02
0.0475          	9.00073225e+02
0.0478125       	9.00073538e+02
0.048125        	9.00073846e+02
0.0484375       	9.00074150e+02
0.04875         	9.00074451e+02
0.0490625       	9.00074746e+02
0.049375        	9.00075034e+02
0.0496875       	9.00075315e+02
0.05            	9.00075592e+02
