# Region type : patch outerWalls
# Faces  :      5760
# Area   :      6.02755206e-01
# Time          	max(T)
0               	9.00000000e+02
1.2e-05         	9.00000484e+02
2.64e-05        	9.00000943e+02
4.368e-05       	9.00002655e+02
6.4416e-05      	9.00012585e+02
8.92992e-05     	9.00035444e+02
0.000119151     	9.00062790e+02
0.000154951     	9.00074594e+02
0.000197755     	9.00067009e+02
0.000249076     	9.00052557e+02
0.000310403     	9.00041130e+02
0.000383809     	9.00035598e+02
0.000471229     	9.00040498e+02
0.00057594      	9.00047554e+02
0.000701595     	9.00042075e+02
0.000851569     	9.00031144e+02
0.0010275       	9.00024239e+02
0.00122689      	9.00022336e+02
0.00145184      	9.00020474e+02
0.00170326      	9.00019776e+02
0.00197089      	9.00021332e+02
0.00224776      	9.00023060e+02
0.00252463      	9.00024763e+02
0.00280149      	9.00026410e+02
0.00307836      	9.00027998e+02
0.00335522      	9.00029526e+02
0.00363209      	9.00031021e+02
0.00390895      	9.00032472e+02
0.00418582      	9.00033891e+02
0.00446269      	9.00035274e+02
0.00473955      	9.00036622e+02
0.00501642      	9.00037936e+02
0.00529328      	9.00039213e+02
0.00557015      	9.00040456e+02
0.00584701      	9.00041664e+02
0.00612388      	9.00042839e+02
0.00640075      	9.00043979e+02
0.00667761      	9.00045088e+02
0.00695448      	9.00046165e+02
0.00723134      	9.00047209e+02
0.00750821      	9.00048224e+02
0.00778507      	9.00049207e+02
0.00806194      	9.00050163e+02
0.00833881      	9.00051087e+02
0.00861567      	9.00051989e+02
0.00889254      	9.00052859e+02
0.0091694       	9.00053708e+02
0.00944627      	9.00054527e+02
0.00972313      	9.00055325e+02
0.01            	9.00056099e+02
0.0102941       	9.00056893e+02
0.0105882       	9.00057665e+02
0.0108824       	9.00058411e+02
0.0111765       	9.00059138e+02
0.0114706       	9.00059842e+02
0.0117647       	9.00060530e+02
0.0120588       	9.00061195e+02
0.0123529       	9.00061848e+02
0.0126471       	9.00062480e+02
0.0129412       	9.00063098e+02
0.0132353       	9.00063700e+02
0.0135294       	9.00064284e+02
0.0138235       	9.00064857e+02
0.0141176       	9.00065411e+02
0.0144118       	9.00065956e+02
0.0147059       	9.00066484e+02
0.015           	9.00066998e+02
0.0152941       	9.00067501e+02
0.0155882       	9.00067987e+02
0.0158824       	9.00068462e+02
0.0161765       	9.00068925e+02
0.0164706       	9.00069369e+02
0.0167647       	9.00069808e+02
0.0170588       	9.00070230e+02
0.0173529       	9.00070637e+02
0.0176471       	9.00071036e+02
0.0179412       	9.00071417e+02
0.0182353       	9.00071787e+02
0.0185294       	9.00072148e+02
0.0188235       	9.00072492e+02
0.0191176       	9.00072826e+02
0.0194118       	9.00073150e+02
0.0197059       	9.00073457e+02
0.02            	9.00073755e+02
0.020303        	9.00074051e+02
0.0206061       	9.00074327e+02
0.0209091       	9.00074596e+02
0.0212121       	9.00074853e+02
0.0215152       	9.00075091e+02
0.0218182       	9.00075323e+02
0.0221212       	9.00075543e+02
0.0224242       	9.00075743e+02
0.0227273       	9.00075939e+02
0.0230303       	9.00076121e+02
0.0233333       	9.00076285e+02
0.0236364       	9.00076445e+02
0.0239394       	9.00076592e+02
0.0242424       	9.00076718e+02
0.0245455       	9.00076845e+02
0.0248485       	9.00076956e+02
0.0251515       	9.00077048e+02
0.0254545       	9.00077142e+02
0.0257576       	9.00077219e+02
0.0260606       	9.00077282e+02
0.0263636       	9.00077344e+02
0.0266667       	9.00077387e+02
0.0269697       	9.00077425e+02
0.0272727       	9.00077455e+02
0.0275758       	9.00077470e+02
0.0278788       	9.00077487e+02
0.0281818       	9.00077487e+02
