# Region type : patch outlet
# Faces  :      1392
# Area   :      4.51098470e-02
# Time          	sum(phi)
0               	1.76526018e-01
1.2e-05         	1.76524031e-01
2.64e-05        	1.76521653e-01
4.368e-05       	1.76518800e-01
6.4416e-05      	1.76515380e-01
8.92992e-05     	1.76511280e-01
0.000119151     	1.76506366e-01
0.000154951     	1.76500479e-01
0.000197755     	1.76493433e-01
0.000249076     	1.76484673e-01
0.000310403     	1.76471050e-01
0.000383809     	1.76438184e-01
0.000471229     	1.76353595e-01
0.00057594      	1.76195670e-01
0.000701595     	1.76019298e-01
0.000851569     	1.75938717e-01
0.0010275       	1.76001810e-01
0.00122689      	1.76149690e-01
0.00145184      	1.76307627e-01
0.00170326      	1.76426338e-01
0.00197089      	1.76481580e-01
0.00224776      	1.76481842e-01
0.00252463      	1.76453591e-01
0.00280149      	1.76420405e-01
0.00307836      	1.76394700e-01
0.00335522      	1.76379434e-01
0.00363209      	1.76372682e-01
0.00390895      	1.76371347e-01
0.00418582      	1.76372917e-01
0.00446269      	1.76375835e-01
0.00473955      	1.76379302e-01
0.00501642      	1.76382958e-01
0.00529328      	1.76386672e-01
0.00557015      	1.76390399e-01
0.00584701      	1.76394116e-01
0.00612388      	1.76397828e-01
0.00640075      	1.76401507e-01
0.00667761      	1.76405156e-01
0.00695448      	1.76408763e-01
0.00723134      	1.76412320e-01
0.00750821      	1.76415824e-01
0.00778507      	1.76419272e-01
0.00806194      	1.76422665e-01
0.00833881      	1.76425999e-01
0.00861567      	1.76429270e-01
0.00889254      	1.76432478e-01
0.0091694       	1.76435621e-01
0.00944627      	1.76438699e-01
0.00972313      	1.76441712e-01
0.01            	1.76444658e-01
0.0102941       	1.76447715e-01
0.0105882       	1.76450692e-01
0.0108824       	1.76453593e-01
0.0111765       	1.76456416e-01
0.0114706       	1.76459164e-01
0.0117647       	1.76461839e-01
0.0120588       	1.76464438e-01
0.0123529       	1.76466972e-01
0.0126471       	1.76469442e-01
0.0129412       	1.76471845e-01
0.0132353       	1.76474185e-01
0.0135294       	1.76476463e-01
0.0138235       	1.76478682e-01
0.0141176       	1.76480842e-01
0.0144118       	1.76482953e-01
0.0147059       	1.76485004e-01
0.015           	1.76487002e-01
0.0152941       	1.76488945e-01
0.0155882       	1.76490852e-01
0.0158824       	1.76492712e-01
0.0161765       	1.76494530e-01
0.0164706       	1.76496309e-01
0.0167647       	1.76498048e-01
0.0170588       	1.76499745e-01
0.0173529       	1.76501416e-01
0.0176471       	1.76503054e-01
0.0179412       	1.76504653e-01
0.0182353       	1.76506211e-01
0.0185294       	1.76507727e-01
0.0188235       	1.76509205e-01
0.0191176       	1.76510642e-01
0.0194118       	1.76512055e-01
0.0197059       	1.76513429e-01
0.02            	1.76514776e-01
0.020303        	1.76516141e-01
0.0206061       	1.76517479e-01
0.0209091       	1.76518782e-01
0.0212121       	1.76520050e-01
0.0215152       	1.76521284e-01
0.0218182       	1.76522487e-01
0.0221212       	1.76523659e-01
0.0224242       	1.76524803e-01
0.0227273       	1.76525920e-01
0.0230303       	1.76527011e-01
0.0233333       	1.76528077e-01
0.0236364       	1.76529117e-01
0.0239394       	1.76530135e-01
0.0242424       	1.76531128e-01
0.0245455       	1.76532096e-01
0.0248485       	1.76533040e-01
0.0251515       	1.76533960e-01
0.0254545       	1.76534859e-01
0.0257576       	1.76535737e-01
0.0260606       	1.76536593e-01
0.0263636       	1.76537433e-01
0.0266667       	1.76538247e-01
0.0269697       	1.76539036e-01
0.0272727       	1.76539817e-01
0.0275758       	1.76540569e-01
0.0278788       	1.76541310e-01
0.0281818       	1.76542036e-01
0.0284848       	1.76542738e-01
0.0287879       	1.76543423e-01
0.0290909       	1.76544074e-01
0.0293939       	1.76544710e-01
0.029697        	1.76545323e-01
0.03            	1.76545922e-01
0.030303        	1.76546510e-01
0.0306061       	1.76547076e-01
0.0309091       	1.76547631e-01
0.0312121       	1.76548172e-01
0.0315152       	1.76548700e-01
0.0318182       	1.76549208e-01
0.0321212       	1.76549702e-01
0.0324242       	1.76550180e-01
0.0327273       	1.76550637e-01
0.0330303       	1.76551075e-01
0.0333333       	1.76551498e-01
0.0336364       	1.76551891e-01
0.0339394       	1.76552262e-01
0.0342424       	1.76552609e-01
0.0345455       	1.76552931e-01
0.0348485       	1.76553232e-01
0.0351515       	1.76553501e-01
0.0354545       	1.76553731e-01
0.0357576       	1.76553912e-01
0.0360606       	1.76554048e-01
0.0363636       	1.76554134e-01
0.0366667       	1.76554168e-01
0.0369697       	1.76554147e-01
0.0372727       	1.76554058e-01
0.0375758       	1.76553899e-01
0.0378788       	1.76553659e-01
0.0381818       	1.76553329e-01
0.0384848       	1.76552878e-01
0.0387879       	1.76552315e-01
0.0390909       	1.76551620e-01
0.0393939       	1.76550802e-01
0.039697        	1.76549853e-01
0.04            	1.76548764e-01
0.0403125       	1.76547492e-01
0.040625        	1.76546093e-01
0.0409375       	1.76544553e-01
0.04125         	1.76542906e-01
0.0415625       	1.76541169e-01
0.041875        	1.76539361e-01
0.0421875       	1.76537530e-01
0.0425          	1.76535705e-01
0.0428125       	1.76533912e-01
0.043125        	1.76532184e-01
0.0434375       	1.76530538e-01
0.04375         	1.76529009e-01
0.0440625       	1.76527635e-01
0.044375        	1.76526451e-01
0.0446875       	1.76525446e-01
0.045           	1.76524634e-01
0.0453125       	1.76524018e-01
0.045625        	1.76523593e-01
0.0459375       	1.76523359e-01
0.04625         	1.76523314e-01
0.0465625       	1.76523452e-01
0.046875        	1.76523785e-01
0.0471875       	1.76524299e-01
0.0475          	1.76524953e-01
0.0478125       	1.76525729e-01
0.048125        	1.76526627e-01
0.0484375       	1.76527646e-01
0.04875         	1.76528781e-01
0.0490625       	1.76529981e-01
0.049375        	1.76531250e-01
0.0496875       	1.76532549e-01
0.05            	1.76533911e-01
