# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0               	((-9.23705556e-14 -1.05200570e-13 -1.13686838e-13) (-6.46300945e-07 3.70646971e-02 -4.19702831e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.79614900e-08 -3.51502916e-09 -7.48072271e-10) (-3.84857998e-08 4.58097842e-09 1.29599383e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.2e-05         	((-4.88632891e-05 7.23176169e+00 4.50407535e-05) (7.43117315e-07 2.22029553e-02 -3.53209854e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.72225037e-06 6.37513266e-08 1.27661291e-06) (-2.19747225e-08 -4.57302072e-09 -2.18556309e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.64e-05        	((5.62909511e-05 5.11653396e+00 -1.40572956e-05) (4.19388036e-07 1.84364934e-02 3.16785755e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.25743787e-06 2.27339786e-07 -5.01073576e-07) (-1.07006987e-08 -2.42874183e-09 -1.58282584e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4.368e-05       	((8.11944568e-05 2.93953961e+00 -2.88505382e-05) (-4.24764794e-08 1.59291011e-02 3.83918221e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.92595253e-07 -1.40827416e-07 -1.68185695e-06) (-9.60560414e-09 2.78849067e-09 -1.77828111e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6.4416e-05      	((7.14282365e-05 1.18465954e+00 -3.10671390e-05) (-2.10492854e-07 1.35647736e-02 5.15293225e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.60681591e-08 -1.06979503e-09 -1.88135691e-06) (-1.08030344e-08 7.75086179e-09 -2.02272826e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8.92992e-05     	((4.18219397e-05 1.48812923e-01 2.12917082e-06) (-1.02512257e-07 1.13056682e-02 1.10094040e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.00495539e-07 -2.08844765e-07 -9.28044737e-07) (1.91658655e-08 5.87473535e-09 -3.30991492e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000119151     	((2.57378036e-05 -1.89852728e-01 7.90393680e-06) (-4.96229277e-07 9.27864302e-03 1.28378481e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.99645388e-07 -1.23901696e-07 -3.90138270e-07) (3.58895585e-08 -1.30683157e-09 -6.50197409e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000154951     	((1.69168988e-05 -1.22201702e-01 1.26822090e-05) (-8.31514078e-07 7.64407314e-03 1.26010244e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.59915791e-07 6.02187431e-08 -1.44666858e-07) (3.08858647e-08 -7.89290149e-09 5.29886119e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000197755     	((1.20519776e-05 3.37452870e-02 1.25766878e-05) (-1.01232297e-06 6.43159841e-03 1.13383019e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.71335514e-08 4.32797256e-08 -7.12188592e-08) (2.51758937e-08 -1.17860002e-08 5.34824807e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000249076     	((8.10642733e-06 1.21704408e-01 1.09487920e-05) (-1.11097155e-06 5.57217853e-03 9.46159460e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.21735971e-09 2.68646014e-08 -5.61610737e-09) (2.13386226e-08 -1.35520201e-08 5.16368523e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
