# Region type : patch inlet
# Faces  :      720
# Area   :      4.51098470e-02
# Time          	average(p)
0               	1.01325000e+05
1.2e-05         	1.01325032e+05
2.64e-05        	1.01325076e+05
4.368e-05       	1.01325121e+05
6.4416e-05      	1.01325168e+05
8.92992e-05     	1.01325221e+05
0.000119151     	1.01325286e+05
0.000154951     	1.01325375e+05
0.000197755     	1.01325579e+05
0.000249076     	1.01326362e+05
0.000310403     	1.01328898e+05
0.000383809     	1.01334127e+05
0.000471229     	1.01340262e+05
0.00057594      	1.01343171e+05
0.000701595     	1.01340999e+05
0.000851569     	1.01336400e+05
0.0010275       	1.01332807e+05
0.00122689      	1.01331195e+05
0.00145184      	1.01330874e+05
0.00170326      	1.01331128e+05
0.00197089      	1.01331587e+05
0.00224776      	1.01332106e+05
0.00252463      	1.01332623e+05
0.00280149      	1.01333126e+05
0.00307836      	1.01333613e+05
0.00335522      	1.01334089e+05
0.00363209      	1.01334556e+05
0.00390895      	1.01335016e+05
0.00418582      	1.01335470e+05
0.00446269      	1.01335917e+05
0.00473955      	1.01336357e+05
0.00501642      	1.01336790e+05
0.00529328      	1.01337214e+05
0.00557015      	1.01337631e+05
0.00584701      	1.01338039e+05
0.00612388      	1.01338439e+05
0.00640075      	1.01338831e+05
0.00667761      	1.01339214e+05
0.00695448      	1.01339589e+05
0.00723134      	1.01339956e+05
0.00750821      	1.01340315e+05
0.00778507      	1.01340665e+05
0.00806194      	1.01341008e+05
0.00833881      	1.01341342e+05
0.00861567      	1.01341669e+05
0.00889254      	1.01341988e+05
0.0091694       	1.01342299e+05
0.00944627      	1.01342603e+05
0.00972313      	1.01342900e+05
0.01            	1.01343190e+05
0.0102941       	1.01343489e+05
0.0105882       	1.01343782e+05
0.0108824       	1.01344066e+05
0.0111765       	1.01344344e+05
0.0114706       	1.01344614e+05
0.0117647       	1.01344878e+05
0.0120588       	1.01345135e+05
0.0123529       	1.01345386e+05
0.0126471       	1.01345630e+05
0.0129412       	1.01345869e+05
0.0132353       	1.01346101e+05
0.0135294       	1.01346328e+05
0.0138235       	1.01346549e+05
0.0141176       	1.01346765e+05
0.0144118       	1.01346975e+05
0.0147059       	1.01347181e+05
0.015           	1.01347381e+05
0.0152941       	1.01347577e+05
0.0155882       	1.01347768e+05
0.0158824       	1.01347954e+05
0.0161765       	1.01348135e+05
0.0164706       	1.01348312e+05
0.0167647       	1.01348485e+05
0.0170588       	1.01348653e+05
0.0173529       	1.01348817e+05
0.0176471       	1.01348977e+05
0.0179412       	1.01349132e+05
0.0182353       	1.01349284e+05
0.0185294       	1.01349431e+05
0.0188235       	1.01349575e+05
