# Region type : patch outlet
# Faces  :      1392
# Area   :      4.51098470e-02
# Time          	average(p)
0               	1.01325000e+05
1.2e-05         	1.01325000e+05
2.64e-05        	1.01325000e+05
4.368e-05       	1.01325000e+05
6.4416e-05      	1.01325000e+05
8.92992e-05     	1.01325000e+05
0.000119151     	1.01325001e+05
0.000154951     	1.01325001e+05
0.000197755     	1.01325001e+05
0.000249076     	1.01324997e+05
0.000310403     	1.01324952e+05
0.000383809     	1.01324689e+05
0.000471229     	1.01323800e+05
0.00057594      	1.01322021e+05
0.000701595     	1.01320061e+05
0.000851569     	1.01319376e+05
0.0010275       	1.01320572e+05
0.00122689      	1.01322890e+05
0.00145184      	1.01325378e+05
0.00170326      	1.01327398e+05
0.00197089      	1.01328613e+05
0.00224776      	1.01329121e+05
0.00252463      	1.01329251e+05
0.00280149      	1.01329309e+05
0.00307836      	1.01329455e+05
0.00335522      	1.01329728e+05
0.00363209      	1.01330101e+05
0.00390895      	1.01330534e+05
0.00418582      	1.01330995e+05
0.00446269      	1.01331464e+05
0.00473955      	1.01331929e+05
0.00501642      	1.01332387e+05
0.00529328      	1.01332837e+05
0.00557015      	1.01333276e+05
0.00584701      	1.01333706e+05
0.00612388      	1.01334127e+05
0.00640075      	1.01334539e+05
0.00667761      	1.01334941e+05
0.00695448      	1.01335334e+05
0.00723134      	1.01335718e+05
0.00750821      	1.01336094e+05
0.00778507      	1.01336460e+05
0.00806194      	1.01336818e+05
0.00833881      	1.01337168e+05
0.00861567      	1.01337510e+05
0.00889254      	1.01337843e+05
0.0091694       	1.01338169e+05
0.00944627      	1.01338487e+05
0.00972313      	1.01338797e+05
0.01            	1.01339100e+05
0.0102941       	1.01339414e+05
0.0105882       	1.01339720e+05
0.0108824       	1.01340018e+05
0.0111765       	1.01340309e+05
0.0114706       	1.01340592e+05
0.0117647       	1.01340868e+05
0.0120588       	1.01341137e+05
0.0123529       	1.01341399e+05
0.0126471       	1.01341654e+05
0.0129412       	1.01341903e+05
0.0132353       	1.01342145e+05
0.0135294       	1.01342382e+05
0.0138235       	1.01342612e+05
0.0141176       	1.01342837e+05
0.0144118       	1.01343055e+05
0.0147059       	1.01343268e+05
0.015           	1.01343476e+05
0.0152941       	1.01343679e+05
0.0155882       	1.01343876e+05
0.0158824       	1.01344068e+05
0.0161765       	1.01344256e+05
0.0164706       	1.01344438e+05
0.0167647       	1.01344616e+05
0.0170588       	1.01344790e+05
0.0173529       	1.01344959e+05
0.0176471       	1.01345124e+05
0.0179412       	1.01345285e+05
0.0182353       	1.01345441e+05
0.0185294       	1.01345593e+05
0.0188235       	1.01345741e+05
0.0191176       	1.01345886e+05
0.0194118       	1.01346026e+05
0.0197059       	1.01346163e+05
0.02            	1.01346296e+05
0.020303        	1.01346430e+05
