# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
1.2e-05         	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	5.69036945e-04	7.68369333e-01
2.64e-05        	1.16095232e-01	2.82877327e-01	4.82057860e-03	2.87646362e-01	8.86641249e-03	4.03677846e-05	4.99561667e-02
4.368e-05       	5.68879094e-02	1.74694921e-01	5.49371623e-03	2.08771253e-01	4.31180796e-03	7.72187865e-05	3.01340282e-02
6.4416e-05      	5.13234217e-02	1.45284357e-01	6.23284114e-03	1.51160444e-01	2.49579694e-03	1.25752157e-04	2.98703324e-02
8.92992e-05     	6.07396159e-02	1.25325967e-01	6.60963490e-03	1.05289550e-01	1.70741695e-03	1.45541857e-04	4.01656532e-02
0.000119151     	8.29079693e-02	9.95120579e-02	6.73520807e-03	7.50922061e-02	1.29824778e-03	1.51126879e-04	6.53840584e-02
0.000154951     	1.24290257e-01	8.08714151e-02	6.61213701e-03	6.76314174e-02	1.10071976e-03	1.35649153e-04	1.20872470e-01
0.000197755     	1.76653327e-01	7.06847815e-02	6.37099753e-03	5.51884739e-02	1.02805181e-03	1.20505259e-04	1.93322304e-01
0.000249076     	1.92894002e-01	6.06551109e-02	5.98042114e-03	4.63576153e-02	1.02647512e-03	1.10577648e-04	1.65365470e-01
0.000310403     	1.83199207e-01	5.75612618e-02	5.18797700e-03	4.55426427e-02	1.04627639e-03	1.07550249e-04	1.71634059e-01
0.000383809     	1.59820188e-01	4.41707647e-02	4.27307986e-03	3.09374015e-02	1.07221941e-03	1.08151060e-04	1.84191813e-01
0.000471229     	1.19311866e-01	2.57701517e-02	3.50899319e-03	2.06981352e-02	1.08468350e-03	1.04322951e-04	1.64561264e-01
0.00057594      	9.10598116e-02	2.01404072e-02	3.22092339e-03	1.79559415e-02	1.10579615e-03	1.03325779e-04	1.27348715e-01
0.000701595     	6.67157645e-02	1.43818402e-02	3.37585697e-03	1.34553220e-02	1.12565919e-03	1.02706375e-04	8.34283227e-02
0.000851569     	7.46053070e-02	1.09932777e-02	2.99562087e-03	1.06043828e-02	1.14910250e-03	1.01681715e-04	9.12514198e-02
0.0010275       	7.07920574e-02	1.03251114e-02	2.35443416e-03	1.03062431e-02	1.15655194e-03	9.83237194e-05	1.23039714e-01
0.00122689      	6.41399952e-02	1.03236051e-02	2.08467968e-03	1.05657176e-02	1.14964512e-03	9.61269987e-05	1.45377389e-01
0.00145184      	5.74831158e-02	1.02007327e-02	2.00779889e-03	1.05616747e-02	1.15017099e-03	9.71665456e-05	1.26060082e-01
0.00170326      	4.69920708e-02	1.00390554e-02	1.67891631e-03	1.04187325e-02	1.13852245e-03	9.64508973e-05	8.80920969e-02
0.00197089      	3.64586457e-02	9.72549465e-03	1.28222319e-03	1.00519953e-02	1.09167471e-03	9.35662297e-05	5.21149539e-02
0.00224776      	3.00218953e-02	9.34942951e-03	1.10222151e-03	9.58796965e-03	1.02907894e-03	8.91413141e-05	3.09086139e-02
0.00252463      	2.63605878e-02	8.87205159e-03	1.03414229e-03	9.01344577e-03	9.50678422e-04	8.23042200e-05	2.20991602e-02
0.00280149      	2.47595160e-02	8.44191107e-03	1.00258330e-03	8.49923300e-03	8.83995996e-04	7.56815876e-05	2.40113188e-02
0.00307836      	2.49538846e-02	8.04885455e-03	1.01317108e-03	8.02409126e-03	8.32559246e-04	7.22570568e-05	3.33176738e-02
0.00335522      	2.56033931e-02	7.69574032e-03	1.02115236e-03	7.59911813e-03	7.90330422e-04	6.86321593e-05	4.18927034e-02
0.00363209      	2.57810960e-02	7.37224218e-03	1.01762483e-03	7.21686350e-03	7.56996044e-04	6.56124931e-05	4.72929945e-02
0.00390895      	2.55213678e-02	7.07782625e-03	1.00454804e-03	6.87066668e-03	7.32243467e-04	6.17619409e-05	5.01628230e-02
0.00418582      	2.50149321e-02	6.80962361e-03	9.86077255e-04	6.55483463e-03	7.15501506e-04	6.04530137e-05	5.10962349e-02
0.00446269      	2.43977595e-02	6.56045826e-03	9.65475792e-04	6.26552828e-03	7.02317939e-04	5.87998489e-05	5.08786082e-02
0.00473955      	2.36999014e-02	6.32959958e-03	9.44741653e-04	6.00132646e-03	6.90872522e-04	5.58677119e-05	5.00644644e-02
0.00501642      	2.29742741e-02	6.11598112e-03	9.24718490e-04	5.75870326e-03	6.80695787e-04	5.45284885e-05	4.88975157e-02
0.00529328      	2.24097208e-02	5.91516814e-03	9.05575562e-04	5.52467268e-03	6.73788520e-04	5.42571424e-05	4.75300851e-02
0.00557015      	2.18054384e-02	5.72543766e-03	8.87477092e-04	5.30985785e-03	6.66948870e-04	5.37642011e-05	4.59866419e-02
0.00584701      	2.12462676e-02	5.54733631e-03	8.70356343e-04	5.11090900e-03	6.59794286e-04	5.31843743e-05	4.44191730e-02
0.00612388      	2.06959036e-02	5.38255370e-03	8.54060149e-04	4.92621242e-03	6.52525568e-04	5.25791833e-05	4.27818518e-02
0.00640075      	2.01808488e-02	5.22788874e-03	8.38591367e-04	4.75318450e-03	6.45098333e-04	5.18252138e-05	4.10780898e-02
0.00667761      	1.96807897e-02	5.08254036e-03	8.23796845e-04	4.59174734e-03	6.37616392e-04	5.05195482e-05	3.94109571e-02
0.00695448      	1.92000964e-02	4.94656107e-03	8.09646699e-04	4.44212256e-03	6.30281082e-04	5.04072589e-05	3.77047819e-02
0.00723134      	1.86850478e-02	4.81850648e-03	7.96032994e-04	4.30328405e-03	6.22934217e-04	4.92070408e-05	3.60945532e-02
0.00750821      	1.83144513e-02	4.69817001e-03	7.82840896e-04	4.16431613e-03	6.16824039e-04	5.08924354e-05	3.44678703e-02
0.00778507      	1.79112982e-02	4.58409828e-03	7.70102034e-04	4.03640113e-03	6.10190471e-04	4.95364198e-05	3.29287997e-02
0.00806194      	1.75115510e-02	4.47829603e-03	7.57833795e-04	3.91623737e-03	6.03744575e-04	4.92989608e-05	3.14390651e-02
0.00833881      	1.71117453e-02	4.37998339e-03	7.46000048e-04	3.80431954e-03	5.97216246e-04	4.81517718e-05	3.00108068e-02
0.00861567      	1.67496073e-02	4.29017997e-03	7.34585577e-04	3.70041087e-03	5.90923187e-04	4.70468980e-05	2.86282326e-02
0.00889254      	1.63614141e-02	4.20644335e-03	7.23566769e-04	3.60254969e-03	5.84744490e-04	4.60681223e-05	2.73050770e-02
0.0091694       	1.60278454e-02	4.12449893e-03	7.12687566e-04	3.50488852e-03	5.80243912e-04	4.63720871e-05	2.60274756e-02
0.00944627      	1.56940880e-02	4.04892822e-03	7.02131546e-04	3.41298669e-03	5.76004957e-04	4.71312191e-05	2.48165015e-02
0.00972313      	1.53700083e-02	3.97818867e-03	6.91945410e-04	3.32732256e-03	5.71824760e-04	4.52092601e-05	2.36599352e-02
0.01            	1.50534028e-02	3.91206811e-03	6.82103085e-04	3.24580181e-03	5.67771781e-04	4.42831186e-05	2.25635819e-02
0.0102941       	1.52032069e-02	3.97479333e-03	7.03782494e-04	3.26317092e-03	5.91701971e-04	4.58226692e-05	2.26065180e-02
0.0105882       	1.47555853e-02	3.90960313e-03	6.93505213e-04	3.18316200e-03	5.88062626e-04	4.57146963e-05	2.15132092e-02
0.0108824       	1.44423364e-02	3.84887817e-03	6.83563821e-04	3.10674099e-03	5.84420523e-04	4.48960495e-05	2.04797115e-02
0.0111765       	1.41546135e-02	3.79203867e-03	6.73945614e-04	3.03495322e-03	5.80552903e-04	4.43986184e-05	1.95147976e-02
0.0114706       	1.38790056e-02	3.73838816e-03	6.64651280e-04	2.96631083e-03	5.76304683e-04	4.38951571e-05	1.85962005e-02
0.0117647       	1.36161959e-02	3.68838545e-03	6.55663000e-04	2.90187208e-03	5.71707276e-04	4.33340405e-05	1.77443060e-02
0.0120588       	1.33681689e-02	3.64015950e-03	6.46964102e-04	2.84025379e-03	5.66809615e-04	4.27042888e-05	1.69318311e-02
0.0123529       	1.31364740e-02	3.59520818e-03	6.38524812e-04	2.78264468e-03	5.61470851e-04	4.32286017e-05	1.61757526e-02
0.0126471       	1.29095528e-02	3.55163166e-03	6.30356572e-04	2.72741983e-03	5.55656342e-04	4.27068421e-05	1.54585046e-02
0.0129412       	1.26933556e-02	3.51016608e-03	6.22426614e-04	2.67486762e-03	5.49373753e-04	4.33068138e-05	1.47914131e-02
0.0132353       	1.24851239e-02	3.47085800e-03	6.14730177e-04	2.62540880e-03	5.42631497e-04	4.34214186e-05	1.41551280e-02
0.0135294       	1.22563294e-02	3.43216108e-03	6.07223330e-04	2.57778592e-03	5.35671615e-04	4.18941002e-05	1.35602553e-02
0.0138235       	1.20371139e-02	3.39555786e-03	5.99906936e-04	2.53169980e-03	5.28598540e-04	4.21628700e-05	1.29967365e-02
0.0141176       	1.18878220e-02	3.36525656e-03	5.93078739e-04	2.49301525e-03	5.20863080e-04	4.22296356e-05	1.24682959e-02
0.0144118       	1.16798604e-02	3.33407194e-03	5.86395913e-04	2.45743508e-03	5.13556797e-04	4.13964429e-05	1.19714626e-02
0.0147059       	1.15199910e-02	3.30685592e-03	5.79874077e-04	2.42023248e-03	5.06370826e-04	4.05560975e-05	1.14999997e-02
0.015           	1.13549871e-02	3.28248800e-03	5.73756102e-04	2.39027914e-03	4.98742255e-04	3.98080046e-05	1.10603779e-02
0.0152941       	1.11748119e-02	3.25474315e-03	5.67525074e-04	2.35723732e-03	4.91783864e-04	4.06583660e-05	1.06360553e-02
0.0155882       	1.10114529e-02	3.22923861e-03	5.61683089e-04	2.32988150e-03	4.84589031e-04	3.95699427e-05	1.02433054e-02
0.0158824       	1.08342623e-02	3.20672347e-03	5.55955427e-04	2.30064582e-03	4.77693691e-04	3.98732202e-05	9.87013686e-03
0.0161765       	1.06706183e-02	3.18279796e-03	5.50335620e-04	2.27376450e-03	4.70917356e-04	3.82363428e-05	9.51890414e-03
0.0164706       	1.04955797e-02	3.15775966e-03	5.44826442e-04	2.24889266e-03	4.64453215e-04	3.75635389e-05	9.18433842e-03
0.0167647       	1.03233804e-02	3.13387140e-03	5.39422421e-04	2.22430546e-03	4.58172231e-04	3.56919227e-05	8.86658484e-03
0.0170588       	1.01793068e-02	3.11030911e-03	5.34038165e-04	2.19688885e-03	4.51678619e-04	3.63030483e-05	8.56450470e-03
0.0173529       	1.00697394e-02	3.08562792e-03	5.28804348e-04	2.17342342e-03	4.45644396e-04	3.63729687e-05	8.27633356e-03
0.0176471       	9.84157488e-03	3.06067419e-03	5.23635729e-04	2.14791505e-03	4.39462095e-04	3.71910519e-05	8.00835722e-03
0.0179412       	9.68832346e-03	3.03616719e-03	5.18563740e-04	2.12521847e-03	4.33478846e-04	3.79536927e-05	7.74921331e-03
0.0182353       	9.57367149e-03	3.01080451e-03	5.13511851e-04	2.10201580e-03	4.27836456e-04	3.47648968e-05	7.50620725e-03
0.0185294       	9.42173198e-03	2.98845481e-03	5.08769812e-04	2.08422387e-03	4.22261373e-04	3.41002173e-05	7.27295405e-03
0.0188235       	9.25843017e-03	2.96350550e-03	5.03817948e-04	2.06035654e-03	4.16603827e-04	3.49193562e-05	7.04880790e-03
0.0191176       	9.18840016e-03	2.93748555e-03	4.99024632e-04	2.03951392e-03	4.11211741e-04	3.48718746e-05	6.83541568e-03
0.0194118       	8.96250836e-03	2.91176827e-03	4.94232383e-04	2.01686738e-03	4.05851565e-04	3.23652739e-05	6.63338817e-03
0.0197059       	8.89020563e-03	2.88539342e-03	4.89564332e-04	1.99718581e-03	4.00663457e-04	3.34977572e-05	6.44538846e-03
0.02            	8.72706389e-03	2.86022712e-03	4.84914170e-04	1.97557700e-03	3.95651569e-04	3.29147875e-05	6.26135212e-03
0.020303        	8.77205179e-03	2.87896166e-03	4.90899646e-04	1.98353167e-03	3.99801773e-04	3.35792397e-05	6.24123812e-03
