# y+ ()         
# Time          	patch           	min             	max             	average         
0               	outerWalls	5.30956287e+00	6.45774967e+00	5.99163624e+00
0               	splitterFront	3.03302540e-02	1.96977927e+00	3.79536853e-01
0               	splitterRight	1.37354296e-01	2.61931524e+00	4.69434995e-01
0               	splitterRear	4.63990400e-02	2.18687154e+00	3.54431399e-01
0               	splitterLeft	1.37367489e-01	2.61932583e+00	4.69441465e-01
0               	splitterBottom	8.77602574e-02	2.09915502e+00	4.28994599e-01
0               	splitterTop	8.77602574e-02	2.10046467e+00	4.29009639e-01
1.2e-05         	outerWalls	5.30411311e+00	6.45325295e+00	5.98677511e+00
1.2e-05         	splitterFront	5.12219137e-03	4.08439874e+00	3.48404658e-01
1.2e-05         	splitterRight	7.82756643e-02	2.91138931e+00	4.39014598e-01
1.2e-05         	splitterRear	1.15274734e-02	3.44509772e+00	3.02222995e-01
1.2e-05         	splitterLeft	7.84453037e-02	2.91252572e+00	4.38402387e-01
1.2e-05         	splitterBottom	4.67050216e-02	3.93419861e+00	4.10268179e-01
1.2e-05         	splitterTop	4.63612768e-02	4.08439874e+00	4.10123099e-01
2.64e-05        	outerWalls	5.29764803e+00	6.44791178e+00	5.98100442e+00
2.64e-05        	splitterFront	3.35032258e-03	6.23013680e+00	3.48492883e-01
2.64e-05        	splitterRight	4.95069783e-02	5.16791338e+00	4.58801563e-01
2.64e-05        	splitterRear	5.96951092e-03	4.51775468e+00	2.84166956e-01
2.64e-05        	splitterLeft	4.93919224e-02	5.16549489e+00	4.57784453e-01
2.64e-05        	splitterBottom	3.08630045e-02	5.92259529e+00	4.66322201e-01
2.64e-05        	splitterTop	3.08579797e-02	6.23013680e+00	4.65573041e-01
4.368e-05       	outerWalls	5.28997351e+00	6.44158322e+00	5.97415309e+00
4.368e-05       	splitterFront	3.02404136e-03	9.01851927e+00	3.88409172e-01
4.368e-05       	splitterRight	3.70145956e-02	8.09764669e+00	5.17438551e-01
4.368e-05       	splitterRear	4.66985794e-03	8.04304298e+00	2.99717507e-01
4.368e-05       	splitterLeft	3.66632862e-02	8.08807962e+00	5.16339521e-01
4.368e-05       	splitterBottom	2.34966985e-02	9.01851927e+00	6.24891847e-01
4.368e-05       	splitterTop	2.34710075e-02	8.52759574e+00	6.24582816e-01
6.4416e-05      	outerWalls	5.28086362e+00	6.43412894e+00	5.96602406e+00
6.4416e-05      	splitterFront	2.80341789e-03	1.50295392e+01	4.45138724e-01
6.4416e-05      	splitterRight	3.47045270e-02	1.03192492e+01	5.82993119e-01
6.4416e-05      	splitterRear	3.88124659e-03	1.06327669e+01	3.20471918e-01
6.4416e-05      	splitterLeft	3.43441315e-02	1.02969897e+01	5.82101406e-01
6.4416e-05      	splitterBottom	2.25410447e-02	1.49507362e+01	7.96002958e-01
6.4416e-05      	splitterTop	2.24804506e-02	1.50295392e+01	7.96668740e-01
8.92992e-05     	outerWalls	5.27004829e+00	6.42534445e+00	5.95638787e+00
8.92992e-05     	splitterFront	2.89089161e-03	1.77482937e+01	5.17564336e-01
8.92992e-05     	splitterRight	3.69415724e-02	1.10833284e+01	6.34490148e-01
8.92992e-05     	splitterRear	3.50148906e-03	1.40617606e+01	3.33109728e-01
8.92992e-05     	splitterLeft	3.66292897e-02	1.10647716e+01	6.33792986e-01
8.92992e-05     	splitterBottom	2.34427825e-02	1.77192026e+01	9.49721895e-01
8.92992e-05     	splitterTop	2.33587569e-02	1.77482937e+01	9.50998187e-01
0.01            	outerWalls	3.69705529e+00	6.35269986e+00	4.57616501e+00
0.01            	splitterFront	9.49406553e-03	1.47241233e+01	8.75285824e-01
0.01            	splitterRight	1.06713578e-01	1.40719899e+01	1.09261926e+00
0.01            	splitterRear	3.46202487e-03	8.88352178e+00	3.44848765e-01
0.01            	splitterLeft	1.06719726e-01	1.40714040e+01	1.09261264e+00
0.01            	splitterBottom	8.21798251e-02	1.49362541e+01	1.05103466e+00
0.01            	splitterTop	8.21803511e-02	1.49372226e+01	1.05113960e+00
0.02            	outerWalls	3.70172419e+00	6.35340576e+00	5.62440325e+00
0.02            	splitterFront	9.48818847e-03	1.42991689e+01	8.58695128e-01
