# Region type : patch outlet
# Faces  :      624
# Area   :      4.50063861e-02
# Time          	average(T)
0               	9.00000000e+02
1.19904e-05     	9.00000160e+02
2.63616e-05     	9.00000300e+02
4.35873e-05     	9.00000465e+02
6.42437e-05     	9.00000653e+02
8.90212e-05     	9.00000861e+02
0.000118695     	9.00001092e+02
0.000154239     	9.00001342e+02
0.000196861     	9.00001598e+02
0.000247919     	9.00001827e+02
0.00030887      	9.00001915e+02
0.000381736     	9.00001390e+02
0.000469174     	8.99999182e+02
0.000573909     	8.99994672e+02
0.00069959      	8.99989798e+02
0.000849596     	8.99988408e+02
0.00102557      	8.99992215e+02
0.001225        	8.99999503e+02
0.00145         	9.00007923e+02
0.00170147      	9.00015561e+02
0.00197809      	9.00021106e+02
0.0022547       	9.00024215e+02
0.00253132      	9.00025814e+02
0.00280794      	9.00026754e+02
0.00308456      	9.00027544e+02
0.00336117      	9.00028377e+02
0.00363779      	9.00029267e+02
0.00391441      	9.00030174e+02
0.00419103      	9.00031060e+02
0.00446765      	9.00031906e+02
0.00474426      	9.00032707e+02
0.00502088      	9.00033467e+02
0.0052975       	9.00034190e+02
0.00557412      	9.00034883e+02
0.00585073      	9.00035550e+02
0.00612735      	9.00036194e+02
0.00640397      	9.00036818e+02
0.00668059      	9.00037426e+02
0.00695721      	9.00038018e+02
0.00721077      	9.00038549e+02
0.00746434      	9.00039072e+02
0.0077179       	9.00039586e+02
0.00797147      	9.00040092e+02
0.00822504      	9.00040592e+02
0.0084786       	9.00041085e+02
0.00873217      	9.00041573e+02
0.00898574      	9.00042056e+02
0.0092393       	9.00042534e+02
0.00949287      	9.00043008e+02
0.00974643      	9.00043479e+02
0.01            	9.00043946e+02
0.0102703       	9.00044441e+02
0.0105405       	9.00044934e+02
0.0108108       	9.00045423e+02
0.0110811       	9.00045911e+02
0.0113514       	9.00046396e+02
0.0116216       	9.00046881e+02
0.0118919       	9.00047364e+02
0.0121622       	9.00047846e+02
0.0124324       	9.00048328e+02
0.0127027       	9.00048810e+02
0.012973        	9.00049291e+02
0.0132432       	9.00049772e+02
0.0135135       	9.00050253e+02
0.0137838       	9.00050735e+02
0.0140541       	9.00051217e+02
0.0143243       	9.00051700e+02
0.0145946       	9.00052183e+02
0.0148649       	9.00052668e+02
0.0151351       	9.00053153e+02
0.0154054       	9.00053640e+02
0.0156757       	9.00054128e+02
0.0159459       	9.00054618e+02
0.0162162       	9.00055108e+02
0.0164865       	9.00055601e+02
0.0167568       	9.00056094e+02
0.017027        	9.00056590e+02
0.0172973       	9.00057087e+02
0.0175676       	9.00057585e+02
0.0178378       	9.00058085e+02
0.0181081       	9.00058587e+02
0.0183784       	9.00059091e+02
0.0186486       	9.00059596e+02
0.0189189       	9.00060103e+02
0.0191892       	9.00060612e+02
0.0194595       	9.00061123e+02
0.0197297       	9.00061635e+02
0.02            	9.00062149e+02
0.0202703       	9.00062665e+02
