# Region type : patch outerWalls
# Faces  :      2160
# Area   :      6.02416123e-01
# Time          	max(T)
0               	9.00000000e+02
1.19904e-05     	9.00014561e+02
2.63616e-05     	9.00017401e+02
4.35873e-05     	9.00016158e+02
6.42437e-05     	9.00025006e+02
8.90212e-05     	9.00052647e+02
0.000118695     	9.00081243e+02
0.000154239     	9.00094376e+02
0.000196861     	9.00088382e+02
0.000247919     	9.00081744e+02
0.00030887      	9.00075650e+02
0.000381736     	9.00074687e+02
0.000469174     	9.00086765e+02
0.000573909     	9.00094728e+02
0.00069959      	9.00090255e+02
0.000849596     	9.00079947e+02
0.00102557      	9.00072023e+02
0.001225        	9.00068173e+02
0.00145         	9.00067300e+02
0.00170147      	9.00067063e+02
0.00197809      	9.00066945e+02
0.0022547       	9.00066434e+02
0.00253132      	9.00066256e+02
0.00280794      	9.00066061e+02
0.00308456      	9.00065772e+02
0.00336117      	9.00065114e+02
0.00363779      	9.00064828e+02
0.00391441      	9.00064522e+02
0.00419103      	9.00064198e+02
0.00446765      	9.00063823e+02
0.00474426      	9.00063406e+02
0.00502088      	9.00063168e+02
0.0052975       	9.00062935e+02
0.00557412      	9.00062674e+02
0.00585073      	9.00062383e+02
0.00612735      	9.00062294e+02
0.00640397      	9.00062132e+02
0.00668059      	9.00062015e+02
0.00695721      	9.00061939e+02
0.00721077      	9.00062015e+02
0.00746434      	9.00062049e+02
0.0077179       	9.00062039e+02
0.00797147      	9.00062018e+02
0.00822504      	9.00062136e+02
0.0084786       	9.00062257e+02
0.00873217      	9.00062365e+02
0.00898574      	9.00062584e+02
0.0092393       	9.00062831e+02
0.00949287      	9.00063051e+02
0.00974643      	9.00063238e+02
0.01            	9.00063408e+02
0.0102703       	9.00063578e+02
0.0105405       	9.00063825e+02
0.0108108       	9.00064123e+02
0.0110811       	9.00064405e+02
0.0113514       	9.00064775e+02
0.0116216       	9.00065165e+02
0.0118919       	9.00065543e+02
0.0121622       	9.00065893e+02
0.0124324       	9.00066224e+02
0.0127027       	9.00066667e+02
0.012973        	9.00067100e+02
0.0132432       	9.00067516e+02
0.0135135       	9.00067912e+02
0.0137838       	9.00068279e+02
0.0140541       	9.00068752e+02
0.0143243       	9.00069221e+02
0.0145946       	9.00069668e+02
0.0148649       	9.00070100e+02
0.0151351       	9.00070511e+02
0.0154054       	9.00071009e+02
0.0156757       	9.00071495e+02
0.0159459       	9.00071963e+02
0.0162162       	9.00072412e+02
0.0164865       	9.00072919e+02
0.0167568       	9.00073427e+02
0.017027        	9.00073922e+02
0.0172973       	9.00074396e+02
0.0175676       	9.00074850e+02
0.0178378       	9.00075301e+02
0.0181081       	9.00075820e+02
0.0183784       	9.00076355e+02
0.0186486       	9.00076885e+02
0.0189189       	9.00077408e+02
0.0191892       	9.00077920e+02
0.0194595       	9.00078422e+02
0.0197297       	9.00078910e+02
