# Region type : patch outlet
# Faces  :      624
# Area   :      4.50063861e-02
# Time          	sum(phi)
0               	1.76121150e-01
1.19904e-05     	1.76108685e-01
2.63616e-05     	1.76093277e-01
4.35873e-05     	1.76074640e-01
6.42437e-05     	1.76052717e-01
8.90212e-05     	1.76027451e-01
0.000118695     	1.75998757e-01
0.000154239     	1.75966482e-01
0.000196861     	1.75930492e-01
0.000247919     	1.75890530e-01
0.00030887      	1.75843960e-01
0.000381736     	1.75777027e-01
0.000469174     	1.75656774e-01
0.000573909     	1.75462190e-01
0.00069959      	1.75250773e-01
0.000849596     	1.75145062e-01
0.00102557      	1.75205279e-01
0.001225        	1.75380809e-01
0.00145         	1.75595783e-01
0.00170147      	1.75789749e-01
0.00197809      	1.75922247e-01
0.0022547       	1.75984469e-01
0.00253132      	1.76003529e-01
0.00280794      	1.76005033e-01
0.00308456      	1.76004224e-01
0.00336117      	1.76006543e-01
0.00363779      	1.76012021e-01
0.00391441      	1.76019042e-01
0.00419103      	1.76026209e-01
0.00446765      	1.76032787e-01
0.00474426      	1.76038548e-01
0.00502088      	1.76043516e-01
0.0052975       	1.76047800e-01
0.00557412      	1.76051519e-01
0.00585073      	1.76054772e-01
0.00612735      	1.76057634e-01
0.00640397      	1.76060163e-01
0.00668059      	1.76062409e-01
0.00695721      	1.76064416e-01
0.00721077      	1.76066113e-01
0.00746434      	1.76067654e-01
0.0077179       	1.76069067e-01
0.00797147      	1.76070370e-01
0.00822504      	1.76071571e-01
0.0084786       	1.76072673e-01
0.00873217      	1.76073686e-01
0.00898574      	1.76074615e-01
0.0092393       	1.76075470e-01
0.00949287      	1.76076254e-01
0.00974643      	1.76076974e-01
0.01            	1.76077631e-01
0.0102703       	1.76078247e-01
0.0105405       	1.76078813e-01
0.0108108       	1.76079324e-01
0.0110811       	1.76079783e-01
0.0113514       	1.76080196e-01
0.0116216       	1.76080568e-01
0.0118919       	1.76080906e-01
0.0121622       	1.76081209e-01
0.0124324       	1.76081485e-01
0.0127027       	1.76081733e-01
0.012973        	1.76081950e-01
0.0132432       	1.76082139e-01
0.0135135       	1.76082301e-01
0.0137838       	1.76082437e-01
0.0140541       	1.76082551e-01
0.0143243       	1.76082644e-01
0.0145946       	1.76082722e-01
0.0148649       	1.76082783e-01
0.0151351       	1.76082829e-01
0.0154054       	1.76082863e-01
0.0156757       	1.76082890e-01
0.0159459       	1.76082909e-01
0.0162162       	1.76082917e-01
0.0164865       	1.76082916e-01
0.0167568       	1.76082908e-01
0.017027        	1.76082898e-01
0.0172973       	1.76082878e-01
0.0175676       	1.76082859e-01
0.0178378       	1.76082831e-01
0.0181081       	1.76082807e-01
0.0183784       	1.76082777e-01
0.0186486       	1.76082749e-01
0.0189189       	1.76082725e-01
0.0191892       	1.76082703e-01
0.0194595       	1.76082683e-01
0.0197297       	1.76082670e-01
0.02            	1.76082668e-01
0.0202703       	1.76082676e-01
0.0205405       	1.76082695e-01
0.0208108       	1.76082723e-01
0.0210811       	1.76082765e-01
0.0213514       	1.76082822e-01
0.0216216       	1.76082895e-01
0.0218919       	1.76082980e-01
0.0221622       	1.76083082e-01
0.0224324       	1.76083203e-01
0.0227027       	1.76083338e-01
0.022973        	1.76083488e-01
0.0232432       	1.76083661e-01
0.0235135       	1.76083845e-01
0.0237838       	1.76084050e-01
0.0240541       	1.76084273e-01
0.0243243       	1.76084521e-01
0.0245946       	1.76084785e-01
0.0248649       	1.76085072e-01
0.0251351       	1.76085381e-01
0.0254054       	1.76085711e-01
0.0256757       	1.76086064e-01
0.0259459       	1.76086440e-01
0.0262162       	1.76086840e-01
0.0264865       	1.76087263e-01
0.0267568       	1.76087708e-01
0.027027        	1.76088179e-01
0.0272973       	1.76088672e-01
0.0275676       	1.76089193e-01
0.0278378       	1.76089735e-01
0.0281081       	1.76090302e-01
0.0283784       	1.76090892e-01
0.0286486       	1.76091507e-01
0.0289189       	1.76092143e-01
0.0291892       	1.76092799e-01
0.0294595       	1.76093478e-01
0.0297297       	1.76094184e-01
0.03            	1.76094917e-01
0.0302632       	1.76095660e-01
0.0305263       	1.76096422e-01
0.0307895       	1.76097206e-01
0.0310526       	1.76098013e-01
0.0313158       	1.76098846e-01
0.0315789       	1.76099709e-01
0.0318421       	1.76100595e-01
0.0321053       	1.76101494e-01
0.0323684       	1.76102417e-01
0.0326316       	1.76103358e-01
0.0328947       	1.76104326e-01
0.0331579       	1.76105325e-01
0.0334211       	1.76106329e-01
0.0336842       	1.76107358e-01
0.0339474       	1.76108413e-01
0.0342105       	1.76109505e-01
0.0344737       	1.76110630e-01
0.0347368       	1.76111787e-01
0.035           	1.76112980e-01
0.0352632       	1.76114225e-01
0.0355263       	1.76115521e-01
0.0357895       	1.76116871e-01
0.0360526       	1.76118266e-01
0.0363158       	1.76119714e-01
0.0365789       	1.76121216e-01
0.0368421       	1.76122771e-01
0.0371053       	1.76124376e-01
0.0373684       	1.76126018e-01
0.0376316       	1.76127699e-01
0.0378947       	1.76129409e-01
0.0381579       	1.76131150e-01
0.0384211       	1.76132918e-01
0.0386842       	1.76134696e-01
0.0389474       	1.76136470e-01
0.0392105       	1.76138235e-01
0.0394737       	1.76139983e-01
0.0397368       	1.76141721e-01
0.04            	1.76143449e-01
0.0402632       	1.76145165e-01
0.0405263       	1.76146871e-01
0.0407895       	1.76148599e-01
0.0410526       	1.76150356e-01
0.0413158       	1.76152147e-01
0.0415789       	1.76153967e-01
0.0418421       	1.76155794e-01
0.0421053       	1.76157608e-01
0.0423684       	1.76159393e-01
0.0426316       	1.76161144e-01
0.0428947       	1.76162851e-01
0.0431579       	1.76164510e-01
0.0434211       	1.76166115e-01
0.0436842       	1.76167665e-01
0.0439474       	1.76169168e-01
0.0442105       	1.76170640e-01
0.0444737       	1.76172053e-01
0.0447368       	1.76173404e-01
0.045           	1.76174694e-01
0.0452632       	1.76175921e-01
0.0455263       	1.76177054e-01
0.0457895       	1.76178121e-01
0.0460526       	1.76179108e-01
0.0463158       	1.76179988e-01
0.0465789       	1.76180732e-01
0.0468421       	1.76181346e-01
0.0471053       	1.76181826e-01
0.0473684       	1.76182182e-01
0.0476316       	1.76182423e-01
0.0478947       	1.76182579e-01
0.0481579       	1.76182655e-01
0.0484211       	1.76182628e-01
0.0486842       	1.76182480e-01
0.0489474       	1.76182211e-01
0.0492105       	1.76181836e-01
0.0494737       	1.76181357e-01
0.0497368       	1.76180788e-01
0.05            	1.76180136e-01
