# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0               	((3.73034936e-14 1.19168564e-13 0.00000000e+00) (-1.05962089e-08 7.47779553e-03 -2.20079822e-12) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.88729065e-12 -1.34159350e-12 -2.88635812e-09) (-2.57988173e-09 -9.52465875e-12 -2.68484404e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.19904e-05     	((-3.63250202e-05 7.15644337e+00 -2.73538337e-05) (8.37241462e-08 4.20899152e-03 1.87290373e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.07272964e-06 -7.20366179e-07 1.00264163e-06) (4.20507550e-09 -5.43516383e-10 -3.19914394e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.63616e-05     	((2.27607126e-05 5.27904857e+00 -9.27941514e-07) (1.49496255e-07 3.70416474e-03 6.02031005e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.66088351e-06 -1.55918704e-07 -2.68154457e-06) (8.51668003e-09 -5.01862963e-10 -4.43612000e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
4.35873e-05     	((3.03837208e-05 3.05177702e+00 2.20617596e-06) (8.22580463e-08 3.51130681e-03 8.05025480e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.17233999e-06 -4.89981937e-07 -2.72106598e-06) (1.02344133e-08 -4.68456455e-11 3.57952267e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
6.42437e-05     	((4.59537703e-05 1.24510830e+00 1.10293001e-07) (6.68649273e-08 3.34606741e-03 4.55805893e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.97807537e-07 -5.00111314e-07 -3.04050608e-06) (8.64462319e-09 -5.62387374e-10 6.56664899e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
8.90212e-05     	((2.97713196e-05 1.73849936e-01 3.21331829e-06) (1.50648986e-07 3.17928721e-03 -8.51005046e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.34196391e-08 -3.94584474e-07 -1.84050019e-06) (2.05690012e-09 -1.82898679e-09 3.25741848e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000118695     	((4.51990392e-05 -1.86884369e-01 1.60845939e-06) (1.97234173e-07 3.01350231e-03 -1.32149120e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.82139359e-07 -1.14232062e-07 -2.88388925e-06) (-1.09040683e-09 -7.87622166e-10 2.22980822e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000154239     	((1.07375260e-05 -1.27398840e-01 1.13972870e-06) (2.12808995e-07 2.86072061e-03 -1.64915392e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.24129046e-07 6.45465237e-10 -4.81436647e-07) (-3.10245243e-09 -4.63167584e-10 1.36462678e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000196861     	((1.17160391e-05 3.17638254e-02 -3.73511503e-06) (1.94761021e-07 2.72406033e-03 -1.39556053e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.71059380e-07 3.16003336e-08 -4.47800765e-07) (-3.39557501e-09 -7.07531698e-10 7.92604461e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.000247919     	((-4.41187663e-06 1.26089192e-01 5.10666619e-06) (2.13766876e-07 2.60046046e-03 -1.13007752e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.77959010e-07 9.06153563e-08 3.36310746e-07) (-3.12514536e-09 6.29272217e-10 -2.30313517e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00030887      	((-5.05678306e-06 1.46902337e-01 4.44816506e-06) (1.91945572e-07 2.48598459e-03 -7.98369782e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.86103676e-07 3.21576038e-08 4.45697015e-07) (-2.14482778e-09 1.44637028e-09 -4.40722035e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
